Round,Aggregated Test Loss,Aggregated Test Acc
1,4.5768,0.0255
2,4.432,0.0428
3,4.379,0.0462
4,4.2975,0.0767
5,4.3705,0.0703
6,4.2603,0.0811
7,4.2375,0.0901
8,4.1103,0.0899
9,4.0217,0.1047
10,4.2729,0.1003
11,4.2932,0.106
12,4.0756,0.1257
13,4.1708,0.1177
14,4.2104,0.1189
15,3.9708,0.1366
16,3.9365,0.1313
17,3.9574,0.133
18,3.8551,0.1498
19,3.7742,0.1477
20,3.7799,0.134
21,3.7861,0.1578
22,4.0648,0.1389
23,3.7023,0.1664
24,3.9584,0.1405
25,3.9108,0.1515
26,3.7987,0.1506
27,4.3294,0.1476
28,3.8632,0.1588
29,3.7621,0.1599
30,3.6814,0.1648
31,3.7374,0.1619
32,3.8035,0.1728
33,3.6405,0.1835
34,3.6868,0.1642
35,3.5401,0.1894
36,3.5943,0.1885
37,4.2226,0.1764
38,3.7081,0.1915
39,3.471,0.1967
40,3.5651,0.1959
41,3.678,0.1999
42,3.5526,0.212
43,3.6873,0.2055
44,3.4976,0.2115
45,3.5285,0.1921
46,3.4905,0.2173
47,3.5448,0.1816
48,3.4339,0.1987
49,3.4407,0.2003
50,3.4411,0.2096
51,3.5594,0.196
52,3.8725,0.1698
53,3.6307,0.2022
54,3.5073,0.217
55,3.398,0.2226
56,3.3896,0.2259
57,3.9009,0.1759
58,3.3544,0.2344
59,3.4551,0.2021
60,3.6107,0.1998
61,3.4995,0.1938
62,3.421,0.2203
63,3.4296,0.2048
64,3.6407,0.2007
65,3.513,0.2294
66,3.8573,0.1902
67,3.5188,0.2118
68,3.4431,0.1985
69,3.4603,0.1943
70,3.5163,0.1938
71,3.3125,0.2293
72,3.3623,0.2271
73,3.3459,0.2329
74,3.3897,0.2341
75,3.5455,0.2246
76,3.3325,0.2189
77,3.3613,0.2233
78,3.4527,0.2265
79,3.6797,0.199
80,3.472,0.2322
81,3.3715,0.2284
82,3.4469,0.2133
83,3.5167,0.2151
84,3.389,0.2133
85,3.3344,0.2307
86,3.3107,0.2435
87,3.309,0.2308
88,3.3744,0.2369
89,3.4107,0.2263
90,3.4138,0.2337
91,3.6882,0.1541
92,3.3518,0.2377
93,3.42,0.2092
94,3.5154,0.2214
95,3.444,0.213
96,3.4967,0.1802
97,3.3631,0.2166
98,3.383,0.211
99,3.3373,0.2168
100,3.3499,0.2153
101,3.4433,0.2019
102,3.3418,0.2138
103,3.5147,0.2136
104,3.3628,0.2204
