Round,Aggregated Test Loss,Aggregated Test Acc
1,4.5614,0.0331
2,4.5133,0.0408
3,4.4675,0.0654
4,4.4017,0.0672
5,4.4553,0.0691
6,4.3148,0.08
7,4.1776,0.0863
8,4.3765,0.0967
9,4.1907,0.0829
10,4.0894,0.0931
11,4.0328,0.1028
12,4.2074,0.1194
13,4.0467,0.1088
14,4.038,0.1259
15,4.1304,0.1256
16,4.5413,0.1228
17,4.5175,0.1263
18,4.1382,0.1378
19,3.8935,0.1388
20,4.0184,0.1398
21,3.8767,0.1625
22,3.9069,0.1484
23,3.9444,0.1704
24,4.1236,0.1648
25,3.7983,0.1778
26,3.7634,0.1627
27,3.7597,0.1853
28,3.7629,0.1945
29,3.6735,0.1826
30,3.6652,0.1694
31,3.7958,0.19
32,3.8448,0.1679
33,4.1361,0.1787
34,3.905,0.1875
35,3.5123,0.1913
36,4.1108,0.1772
37,3.8012,0.1729
38,3.6136,0.2113
39,3.899,0.1838
40,3.5697,0.1917
41,3.5011,0.1986
42,3.6217,0.2108
43,3.7049,0.2036
44,3.7951,0.2003
45,3.7007,0.1704
46,3.6033,0.224
47,3.8923,0.1896
48,3.7869,0.218
49,3.6111,0.2147
50,3.6394,0.2164
51,4.0574,0.1634
52,3.6758,0.2192
53,3.4994,0.2168
54,3.5633,0.2054
55,3.7304,0.2204
56,3.6054,0.183
57,3.4477,0.2115
58,3.4698,0.2146
59,3.431,0.2163
60,3.6645,0.2234
61,3.5073,0.2211
62,3.8709,0.2112
63,3.7475,0.2336
64,3.8211,0.2052
65,3.4796,0.2045
66,3.9073,0.1987
67,3.7153,0.1829
68,3.4544,0.2221
69,3.4587,0.2376
70,3.8591,0.202
71,3.6871,0.2186
72,3.5967,0.2334
73,3.5079,0.2018
74,3.5462,0.2278
75,3.4445,0.2126
76,3.4428,0.2189
77,3.4535,0.2422
78,3.3708,0.2349
79,3.3982,0.2276
80,3.625,0.213
81,3.3917,0.2412
82,3.596,0.2071
83,3.4058,0.2405
84,3.3899,0.2224
85,3.3844,0.2175
86,3.3399,0.2442
87,3.3451,0.2325
88,3.7602,0.2032
89,3.3307,0.2549
90,3.4042,0.2138
91,3.412,0.2129
92,3.5068,0.2345
93,3.3497,0.2186
94,3.5179,0.225
95,3.5791,0.2286
96,3.3274,0.2339
97,3.5193,0.2188
98,3.4777,0.2421
99,3.2321,0.2602
100,3.6475,0.2335
101,3.4635,0.2513
102,3.3359,0.235
103,3.4947,0.2468
104,3.2923,0.2412
105,3.9284,0.1996
106,3.4866,0.2388
107,3.535,0.2282
108,3.6998,0.1935
109,3.4156,0.229
110,3.5417,0.2211
111,3.4433,0.2034
112,3.3527,0.2408
113,3.4933,0.2381
114,3.6475,0.2146
115,3.5223,0.217
116,3.4195,0.2235
117,3.3567,0.2291
118,3.3676,0.2308
119,3.3273,0.239
120,3.4856,0.2476
121,3.3064,0.246
122,3.3953,0.2478
123,3.5637,0.2151
124,3.6721,0.2274
125,3.6643,0.215
126,3.5497,0.2037
127,3.7227,0.2166
128,3.4458,0.2419
129,3.5413,0.2312
130,3.5061,0.2335
131,3.7619,0.2098
132,3.5315,0.2176
133,3.5266,0.2459
134,3.4178,0.2085
135,3.423,0.2457
136,3.5654,0.2441
137,3.5313,0.2242
138,3.5448,0.2353
139,3.6321,0.2189
140,3.3674,0.2424
141,3.5263,0.205
142,3.6693,0.1754
143,3.832,0.1794
144,3.3772,0.2423
145,3.4001,0.2514
146,3.4049,0.2442
147,3.4493,0.252
148,3.4322,0.232
149,3.3954,0.2334
150,3.4977,0.2166
151,3.5477,0.2351
152,3.8041,0.2065
