Round,Aggregated Test Loss,Aggregated Test Acc
1,4.2484,0.1035
2,3.6117,0.1992
3,3.4246,0.2423
4,3.3682,0.261
5,3.2273,0.2788
6,3.2991,0.2826
7,3.835,0.2473
8,3.2808,0.2874
9,3.5191,0.3036
10,3.3054,0.3051
11,3.035,0.3241
12,3.1855,0.3129
13,3.0055,0.3359
14,3.1444,0.3301
15,2.8641,0.3436
16,3.0388,0.3386
17,3.0561,0.3388
18,3.0916,0.3408
19,3.0869,0.3332
20,3.2533,0.3372
21,2.9779,0.3477
22,3.0287,0.3404
23,3.0523,0.3428
24,3.009,0.3456
25,2.9101,0.3477
26,3.1802,0.3362
27,2.9568,0.3511
28,3.1559,0.3343
29,3.1485,0.3404
30,3.0703,0.3421
31,2.9041,0.3538
32,3.0229,0.3512
33,3.0348,0.3501
34,3.038,0.3592
35,3.0274,0.3606
36,3.0561,0.3529
37,3.0293,0.3603
38,2.9505,0.3676
39,3.0127,0.3627
40,3.0454,0.3505
41,3.0809,0.3558
42,2.8664,0.3657
43,2.9433,0.3656
44,2.885,0.3654
45,2.9103,0.363
46,2.9522,0.3552
47,2.9995,0.3605
48,3.2722,0.3548
49,3.0042,0.3643
50,2.8862,0.3641
51,3.1341,0.3523
52,2.9223,0.3691
53,2.9181,0.3723
54,3.0743,0.3704
55,3.0285,0.3767
56,3.0377,0.3621
57,3.1189,0.3592
58,3.2849,0.356
59,3.1518,0.3633
60,3.1704,0.3546
61,3.2022,0.3549
62,2.976,0.3691
63,3.1497,0.3594
64,2.8688,0.3744
65,2.8108,0.377
66,2.9717,0.3675
67,2.8633,0.3797
68,2.7923,0.388
69,2.7733,0.3885
70,3.0254,0.3762
71,3.133,0.3673
72,3.0669,0.3752
73,2.959,0.382
74,2.9421,0.3791
75,2.765,0.3867
76,2.8982,0.3818
77,3.0655,0.3683
78,3.0961,0.363
79,2.8162,0.388
80,3.1103,0.3711
81,2.9329,0.3793
82,3.0632,0.3791
83,3.0108,0.3812
84,2.9169,0.3842
85,2.9079,0.3821
86,2.902,0.3784
87,2.7854,0.3831
88,2.7934,0.3855
89,2.8648,0.3771
90,2.9417,0.3752
91,2.8625,0.3788
92,2.7418,0.3898
93,2.8064,0.3916
94,2.8329,0.3907
95,2.7681,0.3875
96,2.8419,0.3788
97,2.8776,0.3856
98,2.9154,0.3851
99,2.9888,0.3864
100,3.0621,0.3864
101,2.8533,0.3941
102,2.7804,0.396
103,2.8183,0.3921
104,2.7069,0.3967
105,2.8402,0.3985
106,2.7922,0.4047
107,2.9825,0.3927
108,2.8529,0.3978
109,2.7793,0.3935
110,3.0402,0.3863
111,3.1095,0.3892
112,3.0092,0.3919
113,3.1178,0.3907
114,3.1726,0.3933
115,2.9772,0.3955
116,2.9881,0.3952
117,3.0843,0.3892
118,3.0092,0.3871
119,3.137,0.3887
120,3.2339,0.3842
121,3.2648,0.3791
122,3.2441,0.3822
123,3.1237,0.3868
124,2.9982,0.3865
125,3.0916,0.3874
126,3.2967,0.3856
127,3.0966,0.3913
128,3.007,0.3934
129,2.9605,0.3946
130,3.0131,0.393
131,2.9942,0.394
132,3.0333,0.3926
133,3.0636,0.3906
134,2.9339,0.396
135,2.9163,0.3985
136,2.8673,0.3988
137,3.1479,0.3894
138,3.1081,0.3953
139,3.0904,0.3961
140,3.1175,0.3925
141,3.1904,0.3902
142,3.244,0.3861
143,3.3374,0.3879
144,3.5753,0.3829
145,3.6031,0.3827
146,3.5407,0.3847
147,3.4633,0.3854
148,3.5994,0.3873
149,3.7015,0.3842
150,3.5762,0.3883
151,3.5421,0.3863
152,3.5091,0.3869
153,3.2904,0.3887
154,3.425,0.3861
155,3.7004,0.3796
156,3.5739,0.3815
157,3.602,0.3809
158,3.5591,0.3827
159,3.433,0.387
160,3.3547,0.3862
161,3.4368,0.3861
162,3.3635,0.3907
163,3.5462,0.385
164,3.5485,0.3824
165,3.8231,0.3867
166,3.8645,0.3831
167,3.8109,0.3819
168,3.8666,0.3883
169,3.8542,0.3846
170,3.7532,0.3881
171,3.8909,0.385
172,3.7384,0.3861
173,3.652,0.3885
174,3.5712,0.3882
175,3.4541,0.394
176,3.6874,0.393
177,3.5744,0.395
178,3.5419,0.3953
179,3.5694,0.395
180,3.5682,0.3967
181,3.5478,0.3988
182,3.5595,0.3976
183,3.4829,0.3988
184,3.4885,0.3968
185,3.4661,0.3956
186,3.4413,0.3976
187,3.4218,0.3957
188,3.6128,0.3923
189,3.6436,0.3922
190,3.7804,0.3904
191,3.8746,0.3919
192,3.8005,0.3916
193,3.8448,0.3906
194,3.8341,0.3905
195,3.7988,0.3912
196,3.8373,0.3905
197,3.9972,0.3898
198,4.027,0.3915
199,3.9633,0.3909
200,3.9743,0.3915
201,3.8676,0.3923
202,3.9224,0.3913
203,3.925,0.3892
204,3.8097,0.3933
205,3.8528,0.3903
206,3.669,0.3951
207,3.7055,0.3942
208,3.8139,0.3931
209,3.7291,0.3955
210,3.6291,0.3941
211,3.8666,0.3929
212,3.9381,0.3916
213,3.8764,0.3911
214,3.8766,0.3927
215,3.862,0.3949
216,3.8218,0.3945
217,3.921,0.3931
218,3.9502,0.3913
219,4.0068,0.3921
220,3.9633,0.3934
221,4.1286,0.3897
222,4.13,0.3869
223,4.1862,0.3851
224,4.3179,0.3827
225,4.3964,0.3826
226,4.4485,0.3818
227,4.4059,0.3812
228,4.2957,0.385
229,4.3376,0.3854
230,4.3368,0.3855
231,4.1981,0.3878
232,4.3708,0.3867
233,4.3784,0.3885
234,4.1826,0.3919
235,4.2239,0.39
236,4.1482,0.3889
237,4.1132,0.3895
238,4.0356,0.393
239,4.0969,0.3917
240,4.2117,0.3902
241,4.0865,0.3921
242,4.1941,0.3906
243,4.0698,0.3934
244,4.2006,0.3909
245,4.2702,0.3915
246,4.2777,0.3893
247,4.3146,0.3878
248,4.3903,0.3847
249,4.346,0.3845
250,4.476,0.3845
251,4.657,0.382
252,4.8676,0.3783
253,4.9041,0.3789
254,4.9847,0.3764
255,4.7914,0.3799
256,4.7032,0.3804
257,4.6594,0.38
258,4.7922,0.3782
259,4.7775,0.3795
260,4.6926,0.3799
261,4.6593,0.3791
262,4.6849,0.3781
263,4.5918,0.3814
264,4.6974,0.3801
265,4.707,0.3818
266,4.7594,0.3835
267,4.7269,0.3829
268,4.6161,0.3817
269,4.5152,0.3834
270,4.349,0.3843
271,4.4314,0.3841
272,4.3538,0.3893
273,4.3728,0.387
274,4.3735,0.3856
275,4.5043,0.3848
276,4.683,0.382
277,4.6103,0.3828
278,4.7018,0.3844
279,4.5613,0.3846
280,4.5061,0.3843
281,4.4732,0.3831
282,4.4744,0.3791
283,4.4214,0.381
284,4.3415,0.3809
285,4.3698,0.3809
286,4.4403,0.3803
287,4.4303,0.3796
288,4.354,0.3831
289,4.3857,0.3838
290,4.4082,0.383
291,4.5559,0.3802
292,4.5032,0.3824
293,4.4534,0.3816
294,4.7171,0.3787
295,4.8456,0.3777
296,4.8102,0.3784
297,5.0411,0.3754
298,4.991,0.3764
299,4.9364,0.374
300,4.817,0.3777
