Round,Aggregated Test Loss,Aggregated Test Acc
1,4.2937,0.0993
2,3.5443,0.2046
3,3.4077,0.2483
4,3.3253,0.265
5,3.1737,0.2856
6,3.1639,0.2976
7,3.7987,0.2522
8,3.1819,0.3018
9,3.7354,0.2783
10,3.2519,0.3031
11,3.1449,0.3152
12,3.368,0.3104
13,3.2858,0.3254
14,3.3946,0.3132
15,3.09,0.3226
16,3.1785,0.3273
17,3.1858,0.3177
18,3.0956,0.3218
19,3.1898,0.3163
20,3.4584,0.3051
21,3.2156,0.3179
22,3.3604,0.3217
23,3.248,0.3283
24,3.1827,0.3342
25,3.1702,0.3241
26,3.4587,0.3282
27,3.2834,0.3151
28,3.0846,0.3267
29,3.4677,0.3068
30,3.2342,0.3249
31,3.3586,0.3082
32,3.6179,0.3243
33,3.4782,0.3004
34,3.0477,0.3306
35,3.4799,0.3195
36,3.343,0.315
37,3.3277,0.3202
38,3.4509,0.3185
39,3.7834,0.3236
40,3.1208,0.3316
41,3.1529,0.3517
42,3.0712,0.3341
43,3.1205,0.3399
44,3.4696,0.3254
45,3.312,0.3304
46,2.9481,0.3524
47,3.1278,0.3275
48,3.832,0.3159
49,3.6765,0.3108
50,3.0984,0.3462
51,3.2319,0.3296
52,3.0303,0.344
53,3.0174,0.3486
54,3.5137,0.3188
55,3.159,0.3379
56,3.3091,0.3349
57,3.3927,0.3239
58,4.1848,0.321
59,3.2466,0.3324
60,3.4527,0.3245
61,3.3653,0.3261
62,3.0695,0.3422
63,4.0161,0.2975
64,2.943,0.3438
65,2.9301,0.3537
66,3.0532,0.3364
67,3.3646,0.3245
68,3.4188,0.3493
69,3.024,0.3479
70,3.4593,0.3267
71,3.2692,0.3366
72,3.0434,0.3499
73,3.2713,0.3363
74,3.4856,0.3342
75,2.9845,0.3451
76,3.8405,0.2924
77,3.5428,0.3212
78,3.715,0.3183
79,3.899,0.3411
80,4.1045,0.3255
81,3.0101,0.3495
82,4.0048,0.3187
83,3.2162,0.3367
84,3.3892,0.3245
85,3.544,0.3363
86,3.9672,0.3307
87,3.3143,0.3229
88,3.8272,0.3447
89,3.3792,0.3359
90,2.8612,0.3541
91,3.0961,0.3473
92,3.1916,0.3429
93,3.686,0.36
94,3.2098,0.3506
95,2.8411,0.3592
96,3.2686,0.3446
97,3.2544,0.3424
98,3.2656,0.334
99,3.6645,0.3404
100,3.9649,0.3512
101,3.1644,0.3666
102,3.4321,0.3316
103,3.5086,0.3566
104,3.2265,0.3165
105,3.4576,0.3293
106,4.8104,0.3071
107,3.3508,0.3463
108,3.8501,0.3461
109,3.7214,0.347
110,4.2165,0.3589
111,3.7728,0.3488
112,4.2363,0.345
113,3.4921,0.3497
114,2.9425,0.3807
115,4.5737,0.3379
116,2.8318,0.3749
117,3.3943,0.3425
118,3.8277,0.3393
119,3.57,0.358
120,3.6672,0.3535
121,3.9626,0.3466
122,4.2342,0.3452
123,4.9379,0.325
124,3.7903,0.334
125,4.5083,0.3397
126,3.3439,0.3382
127,3.47,0.3699
128,3.2556,0.3564
129,4.5902,0.3281
130,4.7556,0.3247
131,4.8288,0.3472
132,3.6677,0.3512
133,3.9029,0.3432
134,3.6829,0.3593
135,3.0923,0.3482
136,3.4937,0.3339
137,3.4295,0.3653
138,3.8471,0.3485
139,3.1006,0.369
140,4.7163,0.3467
141,4.0888,0.3541
142,4.8177,0.3146
143,4.3531,0.3578
144,6.3514,0.3216
145,4.1362,0.3468
146,3.4321,0.3594
147,4.6276,0.3489
148,4.9086,0.3422
149,5.4697,0.3564
150,3.4234,0.3551
151,4.7435,0.3366
152,3.7992,0.3604
153,4.1129,0.3465
154,4.5842,0.3484
155,4.0755,0.3535
156,4.6413,0.3297
157,3.9122,0.3516
158,4.3821,0.3525
159,4.2753,0.3526
160,3.632,0.3521
161,3.5245,0.361
162,3.5107,0.3688
163,4.9939,0.32
164,3.9326,0.361
165,3.6045,0.3733
166,4.7884,0.3524
167,4.0735,0.3413
168,3.292,0.371
169,4.7073,0.354
170,5.2872,0.3373
171,4.4165,0.3461
172,5.4164,0.3243
173,4.542,0.3331
174,3.7296,0.3501
175,3.4621,0.3643
176,4.482,0.3518
177,3.9708,0.3555
178,4.1135,0.3493
179,3.3697,0.3658
180,3.2953,0.3734
181,5.7269,0.3021
182,4.7625,0.3503
183,3.4838,0.3654
184,3.8333,0.359
185,4.4894,0.3461
186,5.0057,0.334
187,4.5607,0.3551
188,3.609,0.3706
189,4.3757,0.3465
190,4.344,0.3514
191,5.298,0.3429
192,6.5375,0.3156
193,4.3568,0.3448
194,5.0031,0.3469
195,5.1928,0.3225
196,4.1121,0.3431
197,4.4302,0.3462
198,4.6951,0.3544
199,4.8642,0.3537
200,5.6748,0.3545
201,4.5731,0.3603
202,6.0787,0.328
203,5.4489,0.3163
204,4.2097,0.3517
205,4.3589,0.351
206,3.7967,0.3415
207,3.4881,0.3717
208,4.2844,0.3771
209,4.3164,0.3629
210,3.0867,0.3782
211,4.8283,0.3587
212,4.993,0.345
213,3.5678,0.3557
214,4.9985,0.3329
215,4.4072,0.3574
216,4.1405,0.3606
217,4.5934,0.3531
218,4.4852,0.3621
219,4.468,0.3464
220,3.515,0.3774
221,3.6975,0.373
222,4.8202,0.3565
223,4.8663,0.3105
224,5.4143,0.3197
225,4.9903,0.3457
226,4.2005,0.3685
227,4.1746,0.3545
228,3.74,0.368
229,3.8386,0.3489
230,4.0261,0.3697
231,4.4848,0.3512
232,4.2133,0.3514
233,3.7888,0.3746
234,4.0933,0.3645
235,4.5664,0.3484
236,4.2688,0.3629
237,4.5853,0.3626
238,4.7294,0.3433
239,4.2526,0.3596
240,4.2297,0.3585
241,4.3178,0.3447
242,3.7066,0.3535
243,3.7431,0.3581
244,3.8223,0.3577
245,3.8372,0.3454
246,4.1438,0.3527
247,4.2321,0.3319
248,3.7489,0.336
249,3.2905,0.3758
250,3.2798,0.3678
251,4.746,0.3596
252,4.1065,0.3578
253,3.6324,0.3493
254,4.2088,0.3516
255,5.018,0.3671
256,4.4294,0.3462
257,4.462,0.3557
258,5.3591,0.3593
259,4.787,0.3638
260,4.1364,0.3732
261,4.9909,0.321
262,5.0614,0.3672
263,4.1719,0.3818
264,4.3574,0.3501
265,4.6162,0.369
266,4.8036,0.3476
267,4.6994,0.33
268,4.2982,0.3591
269,3.8994,0.3642
270,4.1613,0.3539
271,4.0347,0.3535
272,3.3522,0.3831
273,3.4793,0.3787
274,3.4148,0.3708
275,3.3481,0.3749
276,4.8003,0.3585
277,4.0483,0.3626
278,4.5454,0.3513
279,3.8985,0.3105
280,3.2352,0.3736
281,3.1014,0.3753
282,5.291,0.3005
283,3.5673,0.3777
284,4.2796,0.354
285,4.7197,0.3564
286,4.5859,0.3514
287,4.9168,0.3427
288,3.2797,0.3788
289,5.4622,0.3374
290,4.8612,0.3471
291,4.2198,0.3569
292,5.296,0.3163
293,4.1315,0.357
294,4.6483,0.344
295,4.0695,0.3363
296,4.1222,0.3607
297,3.7931,0.3764
298,4.3081,0.3689
299,3.851,0.3576
300,3.8452,0.355
