Round,Aggregated Test Loss,Aggregated Test Acc
1,4.2564,0.0728
2,3.6903,0.1463
3,3.527,0.1811
4,3.3907,0.2071
5,3.3049,0.2199
6,3.2222,0.2368
7,3.1616,0.2498
8,3.1298,0.2521
9,3.0813,0.2585
10,3.0539,0.2589
11,3.0326,0.2691
12,3.0116,0.2722
13,2.9896,0.2752
14,2.9697,0.2799
15,2.9566,0.2812
16,2.9518,0.2838
17,2.9352,0.2853
18,2.9177,0.2889
19,2.9136,0.2914
20,2.8962,0.2902
21,2.8877,0.2949
22,2.874,0.2961
23,2.8782,0.294
24,2.8748,0.297
25,2.8534,0.3027
26,2.8518,0.2967
27,2.8472,0.301
28,2.8398,0.3074
29,2.8218,0.3076
30,2.8285,0.3052
31,2.821,0.3074
32,2.8196,0.3054
33,2.8124,0.3078
34,2.7999,0.3117
35,2.8015,0.3142
36,2.7915,0.3143
37,2.7897,0.3153
38,2.778,0.3176
39,2.7861,0.3115
40,2.7808,0.3136
41,2.7787,0.3153
42,2.7855,0.3152
43,2.7737,0.3148
44,2.7749,0.3164
45,2.7675,0.3173
46,2.7765,0.3181
47,2.7689,0.321
48,2.7615,0.3217
49,2.7619,0.3196
50,2.7579,0.32
51,2.76,0.3236
52,2.7656,0.3208
53,2.758,0.3231
54,2.7583,0.3213
55,2.7565,0.3202
56,2.7494,0.3231
57,2.7575,0.3214
58,2.76,0.3194
59,2.7594,0.323
60,2.757,0.3219
61,2.753,0.3231
62,2.7517,0.323
63,2.748,0.3269
64,2.743,0.327
65,2.7399,0.3231
66,2.7436,0.3228
67,2.7424,0.322
68,2.7485,0.3226
69,2.7505,0.3216
70,2.7491,0.3234
71,2.7434,0.325
72,2.7363,0.3254
73,2.738,0.3234
74,2.7354,0.3253
75,2.7355,0.3214
76,2.7339,0.3222
77,2.728,0.3244
78,2.7289,0.3243
79,2.7303,0.3234
80,2.7265,0.3231
81,2.7313,0.3233
82,2.7287,0.3224
83,2.7198,0.3231
84,2.7168,0.3251
85,2.7239,0.3248
86,2.7197,0.3233
87,2.7209,0.3239
88,2.7179,0.3248
89,2.7126,0.3277
90,2.7095,0.3264
91,2.7054,0.3275
92,2.711,0.3279
93,2.7131,0.3264
94,2.713,0.3258
95,2.7128,0.3262
96,2.7114,0.3263
97,2.7135,0.3279
98,2.7165,0.3268
99,2.7151,0.3265
100,2.7123,0.327
101,2.7071,0.3268
102,2.7083,0.328
103,2.7117,0.3278
104,2.7091,0.329
105,2.7067,0.33
106,2.7068,0.3304
107,2.704,0.3313
108,2.7015,0.3315
109,2.7016,0.3296
110,2.7022,0.3303
111,2.7014,0.3306
112,2.7021,0.3294
113,2.7051,0.3309
114,2.7034,0.3304
115,2.7061,0.331
116,2.7052,0.3321
117,2.7047,0.3313
118,2.7042,0.3293
119,2.6986,0.3315
120,2.7003,0.3317
121,2.6987,0.3311
122,2.6962,0.3322
123,2.6976,0.3324
124,2.6954,0.3341
125,2.6939,0.3334
126,2.6945,0.3338
127,2.6948,0.3345
128,2.6935,0.3326
129,2.6992,0.3319
130,2.6988,0.3323
131,2.701,0.3318
132,2.6997,0.3321
133,2.6966,0.3323
134,2.7007,0.3328
135,2.6998,0.332
136,2.6976,0.333
137,2.697,0.3319
138,2.6957,0.3301
139,2.6955,0.3311
140,2.6963,0.3318
141,2.701,0.3303
142,2.6959,0.3324
143,2.696,0.3322
144,2.6959,0.331
145,2.6956,0.3339
146,2.6927,0.3326
147,2.692,0.333
148,2.6947,0.3306
149,2.6949,0.3307
150,2.6948,0.3295
151,2.6954,0.3309
152,2.6945,0.3325
153,2.6969,0.3317
154,2.6957,0.3318
155,2.6948,0.3322
156,2.6956,0.3304
157,2.6939,0.3305
158,2.6921,0.3308
159,2.69,0.3309
160,2.69,0.3319
161,2.6886,0.3319
162,2.6863,0.3335
163,2.6867,0.3327
164,2.6881,0.3312
