Round,Aggregated Test Loss,Aggregated Test Acc
1,4.6691,0.0599
2,4.7384,0.1106
3,5.2379,0.1367
4,5.4435,0.1507
5,5.0518,0.1583
6,5.1279,0.165
7,5.0364,0.1819
8,4.9976,0.1905
9,4.7182,0.194
10,4.8479,0.203
11,4.7553,0.2069
12,4.64,0.2105
13,4.4949,0.2112
14,4.4686,0.2142
15,4.4753,0.2154
16,4.3943,0.215
17,4.3792,0.2169
18,4.4151,0.2206
19,4.4106,0.2181
20,4.3181,0.2209
21,4.3311,0.2267
22,4.3088,0.2294
23,4.2857,0.2281
24,4.2417,0.2304
25,4.1239,0.2352
26,4.1756,0.2327
27,4.1819,0.232
28,4.1309,0.2347
29,4.0681,0.24
30,4.0368,0.2371
31,4.1462,0.2337
32,4.024,0.2391
33,4.1813,0.2354
34,4.0679,0.2369
35,4.0327,0.2371
36,4.0812,0.2369
37,3.9934,0.2405
38,4.0698,0.239
39,3.9849,0.2401
40,4.0299,0.2415
41,3.9086,0.2422
42,3.9796,0.2469
43,3.9666,0.2386
44,3.9352,0.2539
45,3.9555,0.2485
46,4.0262,0.2382
47,3.8964,0.2464
48,3.8624,0.2536
49,3.8948,0.2495
50,3.895,0.247
51,3.9468,0.2434
52,3.9077,0.247
53,3.8829,0.2499
54,3.8354,0.2485
55,3.8327,0.2502
56,3.8964,0.2489
57,3.9262,0.2491
58,3.8227,0.2558
59,3.8474,0.2537
60,3.8858,0.2556
61,3.8098,0.2511
62,3.848,0.2528
63,3.777,0.2556
64,3.823,0.2474
65,3.8794,0.2488
66,3.8426,0.2463
67,3.8144,0.2562
68,3.8568,0.2489
69,3.7271,0.2559
70,3.8601,0.2504
71,3.8951,0.245
72,3.7771,0.2538
73,3.7516,0.2532
74,3.8037,0.2545
75,3.8213,0.2507
76,3.782,0.2525
77,3.7675,0.2542
78,3.7914,0.2537
79,3.7833,0.2527
80,3.8106,0.2472
81,3.7895,0.2526
82,3.7292,0.2594
83,3.7682,0.2543
84,3.7329,0.2584
85,3.7871,0.2492
86,3.7676,0.2537
87,3.7631,0.2527
88,3.7979,0.255
89,3.7323,0.2563
90,3.6707,0.2564
91,3.7434,0.2534
92,3.7346,0.2559
93,3.711,0.2565
94,3.6994,0.2558
95,3.678,0.2555
96,3.7351,0.2524
97,3.7568,0.2522
98,3.7487,0.2507
99,3.7661,0.2535
100,3.7851,0.2576
101,3.7501,0.2486
102,3.6665,0.2547
103,3.7319,0.2483
104,3.8084,0.2411
105,3.7534,0.2493
106,3.7495,0.2474
107,3.789,0.2416
108,3.7378,0.253
109,3.7651,0.2392
110,3.742,0.247
111,3.7088,0.2528
112,3.6977,0.2486
113,3.7871,0.2399
114,3.7532,0.2378
115,3.7109,0.2381
116,3.6915,0.2445
117,3.7241,0.2441
118,3.7182,0.247
119,3.7567,0.2466
120,3.7176,0.2419
121,3.7636,0.2416
122,3.7267,0.241
123,3.7348,0.244
124,3.7015,0.2413
125,3.68,0.2435
126,3.7587,0.2412
127,3.619,0.2485
128,3.6253,0.2484
129,3.6972,0.2482
130,3.7394,0.2413
131,3.6375,0.2455
132,3.7529,0.2387
133,3.7442,0.2409
134,3.7931,0.2336
135,3.6529,0.2446
136,3.6662,0.2464
137,3.6543,0.2395
138,3.7088,0.2409
139,3.6285,0.2461
140,3.6293,0.2504
141,3.6756,0.2464
142,3.6658,0.2416
143,3.6223,0.2496
144,3.6475,0.2431
145,3.6622,0.2456
146,3.7185,0.2405
147,3.65,0.2483
148,3.5699,0.2538
149,3.6758,0.2443
150,3.6696,0.2445
151,3.6377,0.2437
152,3.6984,0.2413
153,3.635,0.2416
154,3.6524,0.2452
155,3.6023,0.2457
156,3.6512,0.2485
157,3.6496,0.2414
158,3.6979,0.2405
159,3.6589,0.2462
160,3.657,0.2452
