Round,Aggregated Test Loss,Aggregated Test Acc
1,4.3323,0.1091
2,3.5206,0.201
3,3.2971,0.2556
4,3.3134,0.2646
5,3.0218,0.2905
6,3.1286,0.2945
7,3.2122,0.2988
8,3.1626,0.3006
9,2.8845,0.323
10,3.2556,0.3065
11,2.8727,0.3393
12,3.0137,0.3259
13,3.2471,0.3148
14,3.1397,0.3183
15,3.1652,0.3302
16,2.8699,0.3489
17,2.8518,0.3511
18,2.9142,0.3491
19,2.83,0.3533
20,2.8895,0.3515
21,2.9524,0.35
22,3.0048,0.3522
23,2.8605,0.3629
24,2.8509,0.3607
25,2.7902,0.3606
26,2.6977,0.3726
27,3.2199,0.34
28,2.7895,0.3717
29,2.7345,0.3744
30,2.9217,0.3615
31,3.0018,0.3592
32,2.8435,0.3669
33,2.7524,0.3774
34,2.9261,0.3537
35,2.9401,0.3644
36,2.8607,0.3626
37,2.9636,0.3608
38,2.7733,0.3706
39,2.7506,0.3819
40,2.686,0.3788
41,2.8327,0.3695
42,2.8056,0.3755
43,2.732,0.3841
44,2.7296,0.3802
45,2.8198,0.3722
46,2.7196,0.3877
47,2.6919,0.391
48,2.75,0.3847
49,2.7038,0.385
50,2.7393,0.3802
51,2.6745,0.389
52,2.6579,0.3891
53,2.5703,0.3936
54,2.7275,0.388
55,2.738,0.3843
56,2.715,0.3884
57,2.7541,0.3832
58,2.7556,0.3883
59,2.7313,0.3866
60,2.609,0.3908
61,2.7331,0.381
62,2.7281,0.3812
63,2.7862,0.3831
64,2.6963,0.3933
65,2.7249,0.3764
66,2.6956,0.3909
67,2.6442,0.3923
68,2.78,0.3767
69,2.7695,0.376
70,2.727,0.385
71,2.652,0.3964
72,2.6548,0.3978
73,2.7139,0.3884
74,2.6921,0.3928
75,2.7743,0.3888
76,2.6935,0.3936
77,2.6586,0.3973
78,2.6847,0.3959
79,2.6964,0.3934
80,2.6722,0.3984
81,2.6468,0.3957
82,2.6549,0.3956
83,2.6947,0.3907
84,2.6855,0.387
85,2.7331,0.3821
86,2.6568,0.3934
87,2.6297,0.3988
88,2.5797,0.4026
89,2.6392,0.396
90,2.6413,0.3985
91,2.6182,0.4034
92,2.5886,0.4074
93,2.6155,0.4035
94,2.6473,0.3979
95,2.641,0.3969
96,2.6128,0.3971
97,2.6393,0.3963
98,2.6287,0.398
99,2.5791,0.4049
100,2.5268,0.4121
101,2.5507,0.4125
102,2.6069,0.4067
103,2.5664,0.4071
104,2.5747,0.4112
105,2.5543,0.4153
106,2.5795,0.4104
107,2.5812,0.4083
108,2.5527,0.4074
109,2.589,0.4025
110,2.6716,0.3969
111,2.5994,0.403
112,2.5997,0.4022
113,2.6089,0.4028
114,2.6649,0.3963
115,2.6483,0.3948
116,2.6685,0.3999
117,2.6624,0.3993
118,2.6203,0.4039
119,2.649,0.4047
120,2.6439,0.4006
121,2.6054,0.4063
122,2.6091,0.4099
123,2.6279,0.4115
124,2.5328,0.4157
125,2.5137,0.418
126,2.5032,0.4162
127,2.5386,0.4106
