Round,Aggregated Test Loss,Aggregated Test Acc
1,4.3323,0.1091
2,3.5206,0.201
3,3.2971,0.2556
4,3.3134,0.2646
5,3.0218,0.2905
6,3.1286,0.2945
7,3.2122,0.2988
8,3.1626,0.3006
9,2.8845,0.323
10,3.2556,0.3065
11,2.8929,0.3352
12,3.1089,0.3158
13,3.2993,0.3115
14,3.1708,0.3152
15,3.2262,0.3226
16,2.8394,0.3522
17,2.8597,0.3469
18,2.9236,0.3486
19,2.8769,0.3447
20,2.8905,0.3497
21,3.1222,0.3359
22,3.1086,0.3396
23,2.8998,0.3555
24,2.9538,0.3472
25,2.8844,0.3445
26,2.7586,0.3624
27,3.4377,0.3209
28,2.8027,0.3638
29,2.7802,0.3583
30,3.0285,0.3456
31,3.1586,0.3369
32,2.9763,0.3441
33,2.8215,0.3642
34,3.0369,0.3395
35,3.0201,0.3508
36,2.9474,0.3447
37,3.181,0.3394
38,2.8918,0.3465
39,2.9149,0.3521
40,2.7962,0.3547
41,3.0394,0.3458
42,2.8822,0.3586
43,2.9222,0.3545
44,2.9016,0.3537
45,3.1357,0.3367
46,2.843,0.3726
47,2.965,0.3459
48,2.9751,0.3569
49,2.9046,0.3538
50,2.9675,0.3531
51,2.8577,0.3573
52,2.8037,0.3637
53,2.702,0.3682
54,3.0784,0.3639
55,2.8531,0.3587
56,2.9276,0.3598
57,3.0054,0.3457
58,2.8822,0.3741
59,2.9918,0.3459
60,2.7378,0.3726
61,2.9014,0.3477
62,2.8893,0.3563
63,2.9607,0.3679
64,2.771,0.3624
65,2.8648,0.3453
66,2.8217,0.367
67,2.6888,0.3819
68,3.0331,0.3558
69,2.9068,0.3519
70,2.9952,0.3483
71,2.6695,0.3818
72,2.7227,0.377
73,3.0385,0.3507
74,2.8915,0.3629
75,3.0667,0.3562
76,2.7578,0.3695
77,2.7685,0.3811
78,3.0332,0.3445
79,2.9036,0.3619
80,2.7995,0.377
81,2.6366,0.3808
82,2.8227,0.3621
83,2.8684,0.3609
84,2.7365,0.3677
85,3.1855,0.3232
86,2.8092,0.3669
87,2.9009,0.3617
88,2.8303,0.3662
89,2.7687,0.3717
90,2.7268,0.3715
91,2.8032,0.3686
92,2.8466,0.3792
93,2.8048,0.3766
94,2.7659,0.3781
95,2.8868,0.3622
96,2.8578,0.3652
97,2.8153,0.3692
98,2.8252,0.3667
99,2.7434,0.3862
100,2.6758,0.3816
101,2.7571,0.3818
102,2.9049,0.3677
103,2.9994,0.3834
104,2.9949,0.3772
105,2.931,0.3696
106,3.368,0.3525
107,2.824,0.3726
108,2.8946,0.3776
109,3.0191,0.379
110,3.136,0.355
111,2.7488,0.3821
112,2.6476,0.3945
113,3.0449,0.369
114,3.1468,0.3702
115,3.0543,0.3534
116,3.2188,0.3704
117,3.3502,0.3582
118,2.9529,0.3799
119,3.2955,0.3642
120,3.3183,0.3735
121,3.0965,0.3817
122,3.5272,0.36
123,2.9398,0.3798
124,2.7017,0.3832
125,3.8548,0.351
126,2.8969,0.3902
