Round,Aggregated Test Loss,Aggregated Test Acc
1,4.2332,0.1363
2,4.8148,0.1989
3,6.0362,0.2041
4,5.99,0.2227
5,6.3316,0.228
6,7.2207,0.2216
7,7.1669,0.2243
8,7.5946,0.2288
9,7.8942,0.2272
10,8.4672,0.2199
11,8.2142,0.2282
12,8.3656,0.2296
13,8.9139,0.228
14,9.1444,0.22
15,9.1292,0.2236
16,8.6917,0.2104
17,8.9798,0.2111
18,8.9953,0.2169
19,8.6838,0.2224
20,8.9062,0.224
21,9.3373,0.2231
22,8.7994,0.2271
23,8.7019,0.2213
24,9.1772,0.2271
25,9.1718,0.224
26,9.2158,0.2265
27,8.6467,0.2296
28,8.8391,0.2247
29,8.9086,0.2235
30,9.0778,0.221
31,9.0285,0.2301
32,8.9024,0.2347
33,9.6947,0.229
34,9.8611,0.2279
35,9.5824,0.2281
36,9.0874,0.2371
37,9.2061,0.2386
38,9.4342,0.2363
39,9.9726,0.2394
40,9.5912,0.2385
41,9.575,0.2336
42,10.1178,0.2299
43,10.0743,0.2231
44,10.0669,0.2265
45,9.993,0.2301
46,9.9641,0.2324
47,9.8255,0.2316
48,9.1268,0.2359
49,8.9459,0.2385
50,9.2254,0.2366
51,9.2953,0.2411
52,9.251,0.2372
53,9.096,0.2331
54,9.2802,0.2339
55,9.0831,0.2382
56,9.6181,0.2361
57,9.3818,0.2384
58,8.9046,0.2416
59,9.1047,0.2437
60,8.6248,0.2412
61,8.5917,0.2433
62,8.8661,0.2436
63,8.6956,0.2436
64,8.9388,0.2427
65,8.5733,0.2402
66,8.3491,0.2437
67,8.4172,0.2427
68,8.8139,0.2399
69,8.8684,0.2411
70,9.0651,0.2431
71,8.8329,0.2482
72,8.7694,0.2464
73,8.757,0.2434
74,8.7231,0.2399
75,8.4439,0.2417
76,8.3449,0.2418
77,8.6689,0.2419
78,8.6625,0.2418
79,8.906,0.241
80,9.0149,0.2409
81,8.7876,0.2425
82,8.7696,0.2401
83,8.5843,0.2398
84,8.2643,0.2418
85,8.0966,0.2465
86,8.0907,0.2449
87,7.9427,0.2443
88,8.0636,0.2436
89,8.1425,0.2387
90,8.0973,0.2408
91,8.0371,0.2407
92,8.1222,0.241
93,8.2025,0.2421
94,8.1522,0.2368
95,7.9499,0.2385
96,8.099,0.2358
97,8.4232,0.2335
98,8.3224,0.2382
99,8.4391,0.244
100,8.2698,0.2452
101,8.1716,0.2438
102,8.3019,0.2443
103,8.3263,0.2459
104,8.5737,0.2446
105,8.876,0.2441
106,9.0586,0.2437
107,9.3054,0.2425
108,9.3112,0.2423
109,9.2152,0.244
110,9.2786,0.243
111,9.2781,0.2434
112,9.2445,0.2486
113,9.0738,0.251
114,8.8371,0.2524
115,8.6182,0.2556
116,8.4238,0.2616
117,8.0677,0.2644
118,8.0053,0.2647
119,8.1511,0.2648
120,8.2443,0.2658
121,8.4739,0.2612
122,8.2839,0.2602
123,8.2446,0.26
124,8.1594,0.2608
125,8.1939,0.2605
126,8.2995,0.2617
127,8.0964,0.2637
128,7.8372,0.2657
129,7.7085,0.2637
130,7.5643,0.2639
131,7.4574,0.2666
132,7.4703,0.2683
133,7.412,0.2679
134,7.4643,0.2676
135,7.4668,0.2644
136,7.5362,0.2643
137,7.6745,0.2634
138,7.5067,0.2654
139,7.4201,0.2678
140,7.3163,0.267
141,7.4203,0.2689
142,7.5629,0.2677
143,7.5775,0.2665
144,7.6819,0.2661
145,7.7981,0.2661
146,7.8271,0.2648
147,7.8703,0.2684
148,7.8984,0.2663
149,7.9981,0.2658
150,8.0494,0.2614
151,7.9904,0.2624
152,8.0106,0.2618
153,8.1506,0.2606
154,8.2156,0.2609
155,8.2848,0.2607
156,8.3906,0.2603
157,8.2307,0.2627
158,8.1808,0.263
159,8.1872,0.2654
160,8.2561,0.2639
161,8.3796,0.2643
162,8.2981,0.266
163,8.3822,0.2663
164,8.3615,0.2663
165,8.4297,0.2656
166,8.5053,0.2668
167,8.5861,0.2656
168,8.6519,0.2668
169,8.7115,0.2663
170,8.6667,0.2689
171,8.6951,0.268
172,8.7829,0.2656
173,8.7725,0.2655
174,8.8778,0.265
175,8.9118,0.265
176,8.8632,0.2669
177,8.8642,0.267
178,8.9256,0.2676
179,8.997,0.2648
180,8.978,0.2642
181,8.9527,0.264
182,8.9991,0.2622
183,8.9437,0.2643
184,8.9981,0.267
185,8.9507,0.2676
186,9.0216,0.2672
187,9.117,0.2637
188,9.045,0.2634
189,8.9681,0.2654
190,9.0459,0.261
191,8.8696,0.2623
192,8.8515,0.2623
193,8.8355,0.2586
194,8.7534,0.2575
195,8.6441,0.2569
196,8.5782,0.2552
197,8.5165,0.2555
198,8.4012,0.2542
199,8.3641,0.2532
200,8.3545,0.2527
201,8.3656,0.2515
202,8.3243,0.254
203,8.1992,0.2545
204,8.002,0.2593
205,7.8908,0.2623
206,7.9009,0.2622
207,7.8424,0.2626
208,7.7956,0.2625
209,7.7486,0.2619
210,7.7116,0.2618
211,7.6965,0.2603
212,7.6091,0.261
213,7.6454,0.2603
214,7.6563,0.2607
215,7.6074,0.2633
216,7.4197,0.2666
217,7.2558,0.2699
218,7.0493,0.2734
219,6.9688,0.2749
220,6.941,0.2747
221,6.876,0.2759
222,6.7288,0.2756
223,6.655,0.2793
224,6.5827,0.28
225,6.48,0.2819
226,6.3528,0.2845
227,6.2561,0.2873
228,6.1872,0.2852
229,6.1699,0.2835
230,6.0942,0.2826
231,6.0745,0.2821
232,5.9792,0.2819
233,5.8964,0.2824
234,5.8245,0.2815
235,5.6585,0.2871
236,5.503,0.291
237,5.4272,0.2948
238,5.329,0.2976
239,5.2996,0.2979
240,5.254,0.2952
241,5.1772,0.2952
242,5.1526,0.2943
243,5.0556,0.2958
244,4.944,0.2952
245,4.7956,0.2975
246,4.7207,0.2952
247,4.674,0.2962
248,4.5563,0.3001
249,4.4441,0.3018
250,4.3915,0.2993
251,4.3494,0.2989
252,4.3487,0.298
253,4.3778,0.2953
254,4.3827,0.2936
255,4.3214,0.2952
256,4.2665,0.2956
257,4.2308,0.2949
258,4.1862,0.2978
259,4.1836,0.2961
260,4.1949,0.2939
261,4.1235,0.296
262,4.0743,0.2976
263,4.0355,0.3007
264,4.0159,0.2999
265,3.9838,0.3056
266,3.9739,0.3055
267,3.9811,0.3058
268,4.023,0.3049
269,4.0664,0.3032
270,4.1306,0.3006
271,4.1351,0.3036
272,4.1356,0.3043
273,4.1397,0.306
274,4.1572,0.3072
275,4.1302,0.3105
276,4.1181,0.3124
277,4.1191,0.3169
278,4.1148,0.3168
279,4.1023,0.3189
280,4.0572,0.3221
281,4.0236,0.3227
282,4.0452,0.3232
283,4.0773,0.3244
284,4.1116,0.3228
285,4.1533,0.3226
286,4.1827,0.322
287,4.1937,0.3245
288,4.2386,0.324
289,4.3168,0.3253
290,4.3988,0.3256
291,4.4603,0.3251
292,4.5669,0.3225
293,4.6251,0.3224
294,4.7393,0.3193
295,4.8281,0.3201
296,4.9521,0.3183
297,5.0458,0.3181
298,5.0827,0.3188
299,5.1342,0.3166
300,5.219,0.3151
