Round,Aggregated Test Loss,Aggregated Test Acc
1,4.4554,0.0344
2,4.1614,0.0947
3,4.7401,0.1116
4,4.2106,0.1425
5,4.6282,0.1412
6,4.5523,0.1407
7,3.9374,0.1686
8,5.135,0.1618
9,4.7362,0.1825
10,4.592,0.173
11,4.334,0.1991
12,5.0806,0.1856
13,5.8432,0.1623
14,5.7712,0.1616
15,5.1683,0.18
16,4.664,0.205
17,8.1128,0.1462
18,7.7044,0.1528
19,7.7056,0.1459
20,5.3432,0.1823
21,9.1964,0.1446
22,4.644,0.2187
23,5.8573,0.1832
24,12.358,0.1274
25,6.2084,0.1711
26,6.6479,0.1661
27,4.8298,0.2007
28,5.2281,0.1971
29,7.1396,0.1661
30,5.7763,0.1891
31,6.3703,0.1743
32,8.6582,0.1388
33,5.636,0.1886
34,6.1751,0.1805
35,7.869,0.1516
36,8.323,0.1446
37,7.8331,0.1489
38,7.7478,0.1469
39,7.213,0.1582
40,6.1462,0.1603
41,5.9323,0.1638
42,8.1457,0.1535
43,6.9778,0.166
44,7.8186,0.152
45,7.8567,0.133
46,11.5012,0.1264
47,11.0626,0.1297
48,7.8873,0.1321
49,6.1275,0.1597
50,4.9907,0.1961
51,7.8454,0.1391
52,7.3453,0.1576
53,5.8606,0.1631
54,5.3495,0.1921
55,6.3852,0.1785
56,6.4692,0.1777
57,10.8489,0.1385
58,10.9484,0.1343
59,7.8146,0.1447
60,8.3515,0.1461
61,6.1916,0.1743
62,6.2334,0.17
63,6.1611,0.171
64,7.9765,0.1395
65,7.3951,0.1549
66,7.7834,0.1413
67,7.2377,0.149
68,13.3331,0.1125
69,7.8265,0.1344
70,6.4712,0.1585
71,7.436,0.1317
72,8.4129,0.1537
73,8.9524,0.136
74,5.2631,0.1968
75,5.5906,0.1648
76,5.9806,0.1706
77,5.8512,0.1734
78,5.1082,0.1839
79,5.5333,0.1767
80,5.2389,0.1977
81,5.8851,0.1704
82,6.6824,0.1481
83,6.4316,0.1477
84,7.2574,0.1481
85,7.1904,0.1524
86,5.8649,0.1816
87,6.0337,0.1679
88,5.2999,0.1995
89,6.8585,0.1641
90,7.112,0.1704
91,7.7496,0.1638
92,6.506,0.1636
93,6.8669,0.1707
94,5.2955,0.1703
95,5.8317,0.1616
96,5.2171,0.2062
97,5.3554,0.2021
98,5.0997,0.2134
99,5.1379,0.206
100,6.5574,0.1717
101,8.9095,0.141
102,5.6731,0.181
103,5.6886,0.1802
104,5.331,0.1925
105,6.0643,0.1818
106,6.1969,0.1885
107,5.2896,0.1979
108,6.0181,0.1792
109,5.7195,0.1876
110,5.4739,0.1939
111,5.288,0.2161
112,6.3256,0.192
113,6.4432,0.1858
114,6.087,0.1884
115,5.7591,0.2012
116,6.1769,0.1724
117,6.472,0.1708
118,5.858,0.1806
119,8.3953,0.1575
120,5.4163,0.2078
121,5.5399,0.1901
122,4.9289,0.2143
123,6.0417,0.1942
124,5.2178,0.2072
125,5.4567,0.1911
