Round,Aggregated Test Loss,Aggregated Test Acc
1,4.2332,0.1363
2,4.8864,0.1937
3,5.8909,0.2126
4,5.9222,0.2217
5,6.4558,0.2244
6,7.0712,0.222
7,7.1687,0.2243
8,7.6912,0.221
9,8.1795,0.2231
10,8.5456,0.2178
11,8.2853,0.2278
12,9.2095,0.2235
13,8.926,0.2255
14,9.3079,0.2172
15,9.245,0.2231
16,9.6369,0.2201
17,9.6839,0.2201
18,9.6125,0.2242
19,9.4128,0.2251
20,9.994,0.2192
21,10.1236,0.2279
22,9.8227,0.2285
23,10.0706,0.224
24,10.1153,0.221
25,10.3016,0.223
26,10.3853,0.2271
27,10.4315,0.2226
28,10.4024,0.2196
29,10.2543,0.2252
30,10.6278,0.2226
31,10.3553,0.2276
32,10.1433,0.2242
33,10.3355,0.2214
34,10.6146,0.2261
35,10.5737,0.2236
36,10.2837,0.2266
37,10.4647,0.2278
38,10.6918,0.2243
39,10.486,0.2243
40,10.6579,0.225
41,10.3735,0.2278
42,10.4946,0.2261
43,10.2246,0.2302
44,10.1288,0.2351
45,9.9187,0.2375
46,9.9508,0.232
47,10.5061,0.2266
48,10.1628,0.2314
49,10.3753,0.229
50,10.1381,0.2302
51,10.1092,0.2306
52,10.0592,0.2302
53,10.2367,0.2287
54,10.5056,0.2252
55,10.3593,0.2305
56,10.1439,0.2303
57,9.9492,0.2303
58,9.7093,0.2328
59,9.7976,0.2334
60,10.0631,0.2296
61,10.2225,0.2297
62,10.2143,0.2314
63,10.195,0.2296
64,10.0803,0.2341
65,10.1225,0.237
66,10.1162,0.2333
67,10.0357,0.2332
68,10.1747,0.2354
69,10.1962,0.2359
70,10.4952,0.2328
71,10.4229,0.2378
72,10.0172,0.2398
73,9.8875,0.2387
74,10.1061,0.237
75,10.1111,0.2387
76,10.1707,0.2365
77,10.1176,0.2371
78,9.9817,0.2372
79,9.9178,0.2407
80,10.0383,0.2397
81,10.0059,0.2352
82,9.9667,0.2389
83,10.0654,0.2372
84,10.0202,0.2373
85,10.2506,0.2339
86,10.4588,0.2352
87,10.3067,0.2338
88,10.1904,0.2345
89,10.3954,0.2333
90,10.4551,0.2344
91,10.278,0.2334
92,9.9056,0.2384
93,9.856,0.2411
94,9.8345,0.2407
95,10.1457,0.2398
96,10.1223,0.2384
97,10.2679,0.2344
98,10.1816,0.236
99,9.9088,0.2377
100,9.7573,0.2387
101,9.7231,0.2378
102,9.8486,0.2355
103,9.7365,0.2352
104,9.8956,0.235
105,9.9219,0.2359
106,9.8409,0.2381
107,9.9476,0.2362
108,10.0146,0.2378
109,9.9325,0.2388
110,9.8201,0.2414
111,9.8608,0.2402
112,10.0234,0.239
113,10.0648,0.24
114,10.1648,0.2363
115,10.0601,0.2424
116,10.0553,0.2436
117,10.0455,0.2417
118,9.8918,0.2407
119,9.8471,0.2393
120,9.9221,0.2389
121,9.772,0.2413
122,9.762,0.2395
123,9.7449,0.24
124,9.7198,0.2416
125,9.9045,0.2365
126,9.8949,0.2358
127,9.9326,0.2357
128,9.8758,0.2364
129,9.6704,0.2379
130,9.62,0.2375
131,9.535,0.2402
132,9.5532,0.2382
133,9.5781,0.2391
134,9.6675,0.2407
135,9.5607,0.2404
136,9.7615,0.2394
137,9.7655,0.2378
138,9.8444,0.2359
139,9.7595,0.2398
140,9.7798,0.2393
141,9.9463,0.2412
142,9.8477,0.2408
143,9.8518,0.2377
144,9.8495,0.2402
145,9.7972,0.2402
146,9.7752,0.2411
147,9.7689,0.2397
148,9.7828,0.2407
149,9.8196,0.2386
150,9.8644,0.2394
151,9.7751,0.2408
152,9.7413,0.2429
153,9.822,0.2404
154,9.7471,0.2389
155,9.8414,0.2399
156,9.7729,0.2425
157,9.7743,0.2412
158,9.7335,0.2412
159,9.5969,0.2429
160,9.7753,0.2412
161,9.7972,0.2406
162,9.6993,0.2409
163,9.719,0.2406
164,9.6542,0.2411
165,9.5808,0.24
166,9.5286,0.2422
167,9.5404,0.2416
168,9.5906,0.2408
169,9.5429,0.2415
170,9.5089,0.2423
171,9.5709,0.2411
172,9.6438,0.238
173,9.5403,0.2397
174,9.5501,0.2405
175,9.5783,0.2438
176,9.5762,0.2408
177,9.5939,0.2418
178,9.643,0.2417
179,9.6789,0.2414
180,9.6594,0.2432
181,9.6165,0.2435
182,9.641,0.244
183,9.6375,0.2427
184,9.6201,0.2417
185,9.6369,0.2418
186,9.577,0.2417
187,9.5198,0.2426
188,9.5441,0.244
189,9.5615,0.2427
190,9.5295,0.2436
191,9.4818,0.2434
192,9.4957,0.2438
193,9.5513,0.2435
194,9.5292,0.2428
195,9.4552,0.2421
196,9.4524,0.2412
197,9.4723,0.2424
198,9.5484,0.2431
199,9.532,0.2411
200,9.5304,0.2434
201,9.5501,0.2423
202,9.5079,0.2419
203,9.5055,0.2426
204,9.5442,0.2412
205,9.5449,0.2423
206,9.6177,0.2435
207,9.5845,0.2423
208,9.6148,0.2423
209,9.6017,0.2429
210,9.5627,0.2439
211,9.5707,0.2428
212,9.5202,0.2421
213,9.5536,0.2407
214,9.5748,0.2397
215,9.5201,0.242
216,9.5312,0.2414
217,9.5748,0.2424
218,9.5161,0.2436
219,9.541,0.2424
220,9.5432,0.2442
221,9.5961,0.2441
222,9.588,0.2455
223,9.585,0.2457
224,9.5625,0.2437
225,9.5787,0.2438
226,9.5915,0.2443
227,9.5622,0.2439
228,9.5604,0.2438
229,9.6268,0.2418
230,9.6192,0.2421
231,9.5639,0.2426
232,9.5901,0.2418
233,9.6242,0.2434
234,9.5693,0.245
235,9.5229,0.2449
236,9.5135,0.2469
237,9.4325,0.2446
238,9.4629,0.2453
239,9.4143,0.2458
240,9.402,0.245
241,9.3589,0.2452
242,9.403,0.2445
243,9.4112,0.2443
244,9.4147,0.2456
245,9.4178,0.2458
246,9.4072,0.2456
247,9.439,0.2448
248,9.4459,0.2462
249,9.4383,0.2448
250,9.443,0.2433
251,9.4292,0.2441
252,9.3975,0.2439
253,9.3626,0.2436
254,9.3521,0.2429
255,9.3579,0.2433
256,9.3783,0.2452
257,9.3313,0.2466
258,9.3424,0.2465
259,9.3927,0.2453
260,9.4259,0.2443
261,9.4541,0.2443
262,9.4455,0.2442
263,9.436,0.2448
264,9.4739,0.2435
265,9.4916,0.2422
266,9.4729,0.242
267,9.4834,0.2424
268,9.3752,0.2433
269,9.353,0.2437
270,9.3294,0.2447
271,9.2988,0.2445
272,9.2683,0.2451
273,9.3031,0.2455
274,9.3563,0.2463
275,9.3832,0.246
276,9.3914,0.2455
277,9.3833,0.2439
278,9.3689,0.2452
279,9.3353,0.2453
280,9.3138,0.2455
281,9.2625,0.2448
282,9.2247,0.2452
283,9.2147,0.2454
284,9.2644,0.2449
285,9.3349,0.2433
286,9.3712,0.2444
287,9.3229,0.2448
288,9.3047,0.244
289,9.2891,0.2459
290,9.3409,0.2453
291,9.3172,0.2443
292,9.3273,0.2438
293,9.29,0.246
294,9.3281,0.2457
295,9.3485,0.2446
296,9.3026,0.2446
297,9.3082,0.2447
298,9.2829,0.2444
299,9.2648,0.2442
300,9.2634,0.2463
