Round,Aggregated Test Loss,Aggregated Test Acc
1,4.217,0.1393
2,4.6354,0.2034
3,5.6909,0.2158
4,5.8262,0.2269
5,6.4533,0.227
6,6.8248,0.2253
7,7.3396,0.2295
8,7.8967,0.2223
9,8.1738,0.2193
10,8.486,0.22
11,8.3823,0.2231
12,9.1843,0.2171
13,9.075,0.2234
14,9.3787,0.2186
15,9.6788,0.2242
16,9.9499,0.2165
17,9.996,0.2134
18,10.4148,0.2228
19,9.8066,0.2283
20,10.1076,0.2173
21,10.204,0.221
22,10.3519,0.2224
23,10.3979,0.2172
24,10.1787,0.2195
25,10.4697,0.2202
26,10.1709,0.2222
27,10.7643,0.2222
28,10.7814,0.211
29,10.5289,0.2151
30,10.662,0.2177
31,10.0972,0.2196
32,10.498,0.2228
33,11.0965,0.2147
34,11.088,0.2157
35,10.3983,0.2244
36,10.334,0.2239
37,10.4607,0.2214
38,10.7113,0.2185
39,10.6149,0.2253
40,10.5955,0.2212
41,10.6272,0.2217
42,10.4555,0.221
43,10.6869,0.2182
44,10.3838,0.2274
45,10.0632,0.2321
46,10.2037,0.2261
47,10.2255,0.2271
48,10.614,0.2219
49,9.8644,0.2377
50,10.4594,0.2263
51,10.5796,0.2261
52,10.1408,0.2291
53,10.3447,0.2291
54,10.3415,0.2276
55,10.0587,0.2266
56,10.1402,0.2311
57,10.8881,0.2208
58,10.2845,0.2251
59,10.3838,0.2247
60,11.0749,0.2207
61,10.4098,0.2265
62,10.5846,0.2332
63,10.6558,0.2231
64,10.4043,0.2261
65,10.4082,0.2216
66,9.854,0.2319
67,10.2872,0.235
68,10.8036,0.2299
69,9.6742,0.235
70,10.5883,0.2329
71,10.0168,0.2281
72,10.5287,0.2301
73,10.1518,0.2232
74,10.507,0.2318
75,10.1029,0.2281
76,10.5999,0.228
77,10.9958,0.2281
78,9.8608,0.2336
79,10.4643,0.228
80,10.211,0.2367
81,10.2863,0.2287
82,10.644,0.2298
83,10.0005,0.2256
84,10.7725,0.2265
85,11.4012,0.2245
86,10.3354,0.2334
87,10.5139,0.2386
88,10.1017,0.2374
89,10.2592,0.2357
90,10.9089,0.2248
91,10.6051,0.2297
92,10.7314,0.2344
93,10.2566,0.234
94,10.3077,0.2298
95,10.4569,0.2296
96,10.3867,0.2346
97,9.9191,0.2337
98,10.4312,0.2297
99,10.1434,0.2319
100,9.9912,0.2316
101,9.8231,0.2297
102,10.5471,0.2302
103,10.0866,0.2348
104,10.4136,0.2302
105,10.7553,0.2321
106,10.5501,0.2317
107,10.3698,0.2344
108,10.3452,0.2309
109,10.5146,0.2283
110,10.7934,0.2305
111,10.2562,0.2346
112,10.0213,0.2346
113,10.5018,0.2286
114,10.3605,0.235
115,10.5902,0.2306
116,10.471,0.231
117,10.6216,0.2288
118,10.5399,0.2344
119,10.304,0.2328
120,10.1027,0.2343
121,9.8892,0.2387
122,10.0823,0.2364
123,10.3424,0.2341
124,10.2777,0.2316
125,10.5022,0.232
126,10.3988,0.2287
127,10.4469,0.2302
128,10.2049,0.2344
129,9.7405,0.2384
130,10.3476,0.2347
131,9.9902,0.227
132,10.3184,0.2299
133,10.8623,0.2324
134,10.9869,0.2327
135,10.1389,0.2317
136,10.6306,0.2288
137,10.7889,0.2361
138,10.7258,0.2285
139,10.6311,0.2271
140,10.3597,0.2351
141,10.3805,0.2286
142,10.4744,0.2313
143,10.2725,0.233
144,11.0193,0.2315
145,10.3862,0.2314
146,10.7168,0.2325
147,10.75,0.2306
148,10.5487,0.2357
149,10.6459,0.2375
150,10.7823,0.2301
151,10.9139,0.2269
152,10.566,0.2296
153,10.4509,0.2302
154,10.2526,0.2315
155,10.1959,0.2324
156,10.2021,0.2327
157,10.7935,0.2275
158,10.8866,0.2312
159,10.3603,0.2294
160,10.0471,0.2289
161,10.952,0.2312
162,10.732,0.2334
163,11.0134,0.2284
164,10.8957,0.2338
165,10.7081,0.2324
166,10.2399,0.2362
167,10.317,0.2293
168,11.2614,0.2336
169,10.2866,0.2307
170,10.611,0.2331
171,10.486,0.2309
172,10.5757,0.2337
173,10.5385,0.2321
174,10.2032,0.242
175,10.6355,0.232
176,10.5511,0.2285
177,10.8757,0.2317
178,10.7743,0.2343
179,10.5373,0.2331
180,10.9035,0.2343
181,10.8086,0.2334
182,11.0459,0.2314
183,10.5788,0.2357
184,9.9845,0.2302
185,10.6263,0.2365
186,10.9377,0.2226
187,10.2226,0.2375
188,10.9067,0.2339
189,10.8471,0.2345
190,10.9418,0.2335
191,10.6178,0.2319
192,10.9877,0.2311
193,10.3523,0.2432
194,11.042,0.2404
195,11.2443,0.2374
196,10.7829,0.2325
197,11.6578,0.2311
198,10.4185,0.2396
199,10.8833,0.2409
200,10.5249,0.2383
201,10.5403,0.2392
202,10.448,0.2393
203,11.3624,0.2321
204,10.6672,0.2356
205,10.6951,0.2404
206,11.1686,0.2375
207,10.2487,0.2379
208,10.5102,0.2291
209,10.4438,0.2386
210,11.2048,0.2349
211,10.9145,0.2358
212,11.5315,0.2419
213,11.5527,0.2362
214,11.3662,0.2333
215,10.5653,0.2389
