Round,Aggregated Test Loss,Aggregated Test Acc
1,4.3204,0.0686
2,4.396,0.141
3,4.2628,0.1652
4,4.8206,0.1769
5,4.4647,0.1886
6,4.3842,0.1951
7,3.9755,0.2071
8,4.4186,0.2139
9,4.0605,0.2082
10,4.1226,0.208
11,4.0894,0.2228
12,4.2616,0.2212
13,4.1964,0.2292
14,4.0473,0.2399
15,4.0919,0.2388
16,4.119,0.2337
17,4.0754,0.2386
18,3.8451,0.2399
19,3.9084,0.2485
20,4.0852,0.2504
21,3.8763,0.2552
22,3.9182,0.2641
23,3.9818,0.2632
24,4.0359,0.2569
25,3.9323,0.2591
26,3.8113,0.2541
27,3.7735,0.2574
28,3.8745,0.2558
29,3.9156,0.2583
30,3.9134,0.2634
31,3.9279,0.2699
32,3.7246,0.2744
33,3.7187,0.2794
34,3.7019,0.2749
35,3.7827,0.2782
36,3.6749,0.2796
37,3.746,0.2878
38,3.7522,0.2884
39,3.7714,0.2819
40,3.5885,0.2852
41,3.6359,0.2889
42,3.7295,0.2854
43,3.7036,0.2881
44,3.6306,0.2932
45,3.7772,0.2924
46,3.8702,0.2962
47,3.7568,0.2928
48,3.83,0.2982
49,3.5515,0.2969
50,3.486,0.2952
51,3.4781,0.3028
52,3.5751,0.3035
53,3.6678,0.2958
54,3.5786,0.3038
55,3.5805,0.2998
56,3.5,0.3037
57,3.5485,0.3027
58,3.5036,0.3138
59,3.5413,0.3135
60,3.4966,0.3159
61,3.4475,0.3148
62,3.4048,0.317
63,3.5183,0.3078
64,3.5015,0.3174
65,3.5424,0.3121
66,3.4636,0.3144
67,3.4501,0.3158
68,3.4414,0.3136
69,3.3537,0.3152
70,3.4612,0.3127
71,3.4041,0.3158
72,3.3443,0.3122
73,3.2712,0.3225
74,3.3218,0.3236
75,3.3524,0.3201
76,3.3849,0.3233
77,3.4038,0.3178
78,3.4019,0.3104
79,3.3367,0.3161
80,3.3055,0.3235
81,3.4123,0.3229
82,3.3292,0.3293
83,3.4363,0.3271
84,3.4284,0.3224
85,3.4524,0.3244
86,3.42,0.3235
87,3.4427,0.3276
88,3.4544,0.3313
89,3.3542,0.3192
90,3.4432,0.3155
91,3.2531,0.3115
92,3.2179,0.3195
93,3.3096,0.3229
94,3.2376,0.3276
95,3.2522,0.3236
96,3.2906,0.329
97,3.1763,0.3287
98,3.2123,0.3335
99,3.2716,0.332
100,3.3333,0.3187
101,3.3219,0.3202
102,3.3143,0.3243
103,3.2429,0.326
104,3.3015,0.3255
105,3.2306,0.3278
106,3.2858,0.3308
107,3.2934,0.329
108,3.2525,0.3275
109,3.3479,0.3269
110,3.3874,0.3284
111,3.3925,0.3274
112,3.382,0.3255
113,3.4334,0.3221
114,3.3529,0.329
115,3.2433,0.3336
116,3.1931,0.3351
117,3.2132,0.3348
118,3.2602,0.3367
119,3.1784,0.338
120,3.197,0.34
121,3.1811,0.3359
122,3.1157,0.3376
123,3.0425,0.3373
124,3.0788,0.3366
125,3.0855,0.3353
126,3.1035,0.3345
127,3.1167,0.3313
128,3.0985,0.3339
129,3.167,0.3345
130,3.1763,0.3346
131,3.1068,0.3396
132,3.1574,0.3392
133,3.1498,0.3351
134,3.1386,0.3376
135,3.1947,0.336
136,3.2042,0.3346
137,3.2009,0.3365
138,3.2656,0.3305
139,3.1707,0.3334
140,3.1631,0.3334
141,3.1566,0.3361
142,3.2043,0.3337
143,3.2741,0.3285
144,3.2034,0.3273
145,3.1653,0.3266
146,3.1333,0.3292
147,3.1956,0.3301
148,3.1822,0.3282
149,3.2032,0.3326
150,3.2054,0.334
151,3.2085,0.335
152,3.1552,0.3412
153,3.1154,0.3427
154,3.1357,0.344
155,3.1691,0.3419
156,3.1819,0.3455
157,3.1672,0.3467
158,3.192,0.3447
159,3.1594,0.3416
160,3.2074,0.3448
161,3.1608,0.3425
162,3.1743,0.339
163,3.2127,0.3391
164,3.2636,0.3369
165,3.2658,0.3395
166,3.2461,0.3406
167,3.2622,0.3402
168,3.2945,0.338
169,3.3279,0.3379
170,3.2727,0.3379
171,3.2437,0.3363
172,3.2619,0.3377
173,3.2444,0.3379
174,3.207,0.3356
175,3.1795,0.3365
176,3.1738,0.3365
177,3.1862,0.3317
178,3.1983,0.3298
179,3.0968,0.3323
180,3.1366,0.3315
181,3.1611,0.331
182,3.2053,0.3301
183,3.2046,0.3299
184,3.2078,0.3314
185,3.1938,0.3356
186,3.1828,0.3359
187,3.1447,0.3374
188,3.1716,0.3372
189,3.1505,0.3394
190,3.0912,0.3414
191,3.0918,0.3411
192,3.1302,0.339
193,3.1289,0.3389
194,3.0974,0.3404
195,3.0979,0.3426
196,3.1027,0.3409
197,3.1296,0.3406
198,3.1106,0.3399
199,3.1123,0.3394
200,3.0884,0.3441
201,3.1015,0.3439
202,3.131,0.3444
203,3.1365,0.3448
204,3.1361,0.3454
205,3.1297,0.3429
206,3.1241,0.3396
207,3.1475,0.3408
208,3.1524,0.3393
209,3.1368,0.3352
210,3.1192,0.3373
211,3.1132,0.3356
212,3.1018,0.3398
213,3.1212,0.3386
214,3.1387,0.3412
215,3.1588,0.3407
216,3.1751,0.3414
217,3.1715,0.3425
218,3.1875,0.3428
219,3.1206,0.3425
220,3.1212,0.3442
221,3.1435,0.3421
222,3.1833,0.3402
223,3.1946,0.3388
224,3.2,0.338
225,3.205,0.3388
226,3.2215,0.3362
227,3.2135,0.3366
228,3.2212,0.337
229,3.2371,0.3368
230,3.249,0.3386
231,3.2209,0.3405
232,3.2023,0.3403
233,3.2385,0.3378
234,3.2264,0.3389
235,3.1963,0.3405
236,3.1631,0.3412
237,3.1295,0.3381
238,3.1417,0.3392
239,3.16,0.3387
240,3.1798,0.3382
241,3.1951,0.3368
242,3.1742,0.3381
243,3.169,0.3384
244,3.1459,0.3392
245,3.1785,0.3383
246,3.1829,0.3385
247,3.1764,0.3387
248,3.1695,0.3413
249,3.1885,0.3412
250,3.2174,0.3417
251,3.2362,0.3375
252,3.2425,0.3381
253,3.2175,0.3378
254,3.2058,0.3387
255,3.1816,0.3396
256,3.1837,0.3411
257,3.1661,0.341
258,3.1609,0.3433
259,3.1237,0.3425
260,3.1256,0.3433
261,3.1473,0.3432
262,3.1002,0.3463
263,3.1274,0.3472
264,3.1555,0.3454
265,3.1061,0.3439
266,3.1012,0.3444
267,3.1176,0.343
268,3.129,0.3398
269,3.1265,0.3386
270,3.1472,0.3396
271,3.1126,0.3436
272,3.1179,0.3405
273,3.1141,0.3433
274,3.1237,0.3432
275,3.1329,0.3442
276,3.1555,0.3461
277,3.1616,0.3464
278,3.1402,0.3468
279,3.1564,0.3461
280,3.0977,0.3467
281,3.1155,0.3443
282,3.1314,0.344
283,3.1316,0.3428
284,3.1274,0.3458
285,3.1466,0.3452
286,3.1442,0.3457
287,3.1461,0.3448
288,3.1531,0.3464
289,3.1556,0.3467
290,3.1785,0.3478
291,3.173,0.3476
292,3.1331,0.3454
293,3.186,0.3434
294,3.1733,0.3425
295,3.1546,0.3428
296,3.1413,0.3451
297,3.1293,0.3467
298,3.1561,0.3461
299,3.158,0.3451
300,3.1427,0.3453
