Round,Aggregated Test Loss,Aggregated Test Acc
1,4.3204,0.0686
2,4.396,0.141
3,4.2628,0.1652
4,4.8206,0.1769
5,4.4647,0.1886
6,4.3842,0.1951
7,3.9755,0.2071
8,4.4186,0.2139
9,4.0605,0.2082
10,4.1226,0.208
11,4.2009,0.2214
12,4.3654,0.2184
13,4.3204,0.229
14,4.0795,0.2395
15,4.2292,0.2365
16,4.2527,0.2318
17,4.1171,0.2342
18,3.8894,0.2418
19,3.9937,0.2491
20,4.0724,0.2513
21,3.9662,0.2564
22,3.9997,0.2574
23,4.0858,0.2617
24,4.1641,0.2533
25,4.0052,0.256
26,3.9081,0.2442
27,3.794,0.2521
28,3.944,0.254
29,4.0318,0.2547
30,3.9402,0.2671
31,4.0486,0.2658
32,3.7405,0.2688
33,3.7665,0.2751
34,3.7505,0.2748
35,3.8491,0.2757
36,3.7324,0.2753
37,3.8288,0.2822
38,3.8121,0.2839
39,3.92,0.2797
40,3.5851,0.2898
41,3.8032,0.2809
42,3.8548,0.2786
43,3.7986,0.2761
44,3.7473,0.2856
45,3.9544,0.2824
46,3.9985,0.2941
47,3.7607,0.2901
48,3.9589,0.2859
49,3.5443,0.2923
50,3.4518,0.2884
51,3.5255,0.3042
52,3.6644,0.3039
53,3.8067,0.2849
54,3.5636,0.299
55,3.6185,0.2936
56,3.4853,0.3071
57,3.556,0.2992
58,3.5402,0.3132
59,3.522,0.3078
60,3.5063,0.3099
61,3.4953,0.3008
62,3.4017,0.3081
63,3.7162,0.2958
64,3.5496,0.3132
65,3.5758,0.3027
66,3.4821,0.3133
67,3.5852,0.2998
68,3.5301,0.2961
69,3.5263,0.2942
70,3.5545,0.3079
71,3.3714,0.3147
72,3.4334,0.2958
73,3.3591,0.3234
74,3.5144,0.3093
75,3.416,0.3158
76,3.4249,0.3187
77,3.4798,0.2966
78,3.6468,0.2708
79,3.3692,0.3084
80,3.3652,0.3194
81,3.6011,0.315
82,3.3544,0.3193
83,3.5188,0.3162
84,3.3486,0.3186
85,3.4733,0.3097
86,3.4443,0.3085
87,3.3549,0.3163
88,3.4791,0.3256
89,3.2399,0.2988
90,3.4774,0.3118
91,3.3704,0.2687
92,3.2373,0.3081
93,3.4688,0.3145
94,3.2896,0.3185
95,3.2553,0.3231
96,3.6863,0.2928
97,3.16,0.3142
98,3.2327,0.3279
99,3.3744,0.3182
100,3.4377,0.2969
101,3.4967,0.289
102,3.3511,0.3258
103,3.2198,0.3176
104,3.4019,0.3256
105,3.1658,0.3226
106,3.4142,0.3167
107,3.4824,0.3041
108,3.2461,0.3015
109,3.4952,0.3218
110,3.5173,0.3171
111,3.3621,0.326
112,3.3259,0.3133
113,3.4163,0.3147
114,3.1609,0.3338
115,3.1273,0.3169
116,3.09,0.3375
117,3.2922,0.3296
118,3.3562,0.3267
119,3.0346,0.3181
120,3.3003,0.3369
121,3.4244,0.2906
122,3.0862,0.3126
123,3.0916,0.3087
124,3.2722,0.3202
125,3.1649,0.3094
126,3.2724,0.3105
127,3.3359,0.2926
128,3.1455,0.3225
129,3.371,0.3259
130,3.2076,0.3203
131,3.0412,0.3138
132,3.287,0.3298
133,3.1885,0.3274
134,3.091,0.3219
135,3.294,0.3239
136,3.5451,0.2914
137,3.1792,0.315
138,3.3561,0.3139
139,3.1043,0.3114
140,3.1861,0.3119
141,3.2088,0.3295
142,3.2268,0.3225
143,3.3781,0.3186
144,3.2114,0.2884
145,3.2115,0.2981
146,3.1663,0.3208
147,3.2601,0.3281
148,3.0846,0.2907
149,3.1671,0.3228
150,3.1823,0.3279
151,3.0796,0.332
152,2.9607,0.3258
153,3.0037,0.3234
154,3.4001,0.3183
155,3.1929,0.3339
156,3.1368,0.3456
157,3.2438,0.3359
158,3.1395,0.3423
159,3.2076,0.3102
160,3.3381,0.3494
161,3.0051,0.3326
162,3.1751,0.3199
163,3.5188,0.3302
164,3.4068,0.3202
165,3.2609,0.342
166,3.1426,0.341
167,3.2135,0.3376
168,3.4599,0.3151
169,3.5031,0.3319
170,3.2249,0.3308
171,3.2539,0.3141
172,3.2817,0.3256
173,3.1064,0.3124
174,3.2307,0.2989
175,3.1253,0.3193
176,3.3008,0.311
177,3.4017,0.2909
178,3.4296,0.2939
179,3.1717,0.278
180,3.1907,0.3158
181,3.3486,0.3154
182,3.3025,0.3281
183,3.2229,0.3257
184,3.1442,0.3297
185,3.1515,0.3445
186,3.2191,0.2956
187,3.2598,0.3033
188,3.2818,0.3262
189,2.9342,0.3387
190,3.0072,0.3102
191,3.2194,0.3034
192,3.5179,0.3281
193,3.1135,0.3294
194,3.0989,0.2969
195,3.0686,0.3292
196,3.1267,0.3367
197,3.2602,0.3439
198,3.0835,0.3188
199,3.2021,0.3167
200,2.9796,0.3348
201,3.1714,0.3288
202,3.5513,0.316
203,3.0448,0.3373
204,3.0861,0.3397
205,3.6727,0.2691
206,3.4374,0.2705
207,3.3177,0.3294
208,3.5355,0.299
209,3.7584,0.2496
210,3.1026,0.3253
211,3.2754,0.3047
212,3.2302,0.3427
213,3.2069,0.3474
214,3.2508,0.3251
215,3.3202,0.3324
216,3.3907,0.3282
217,3.3896,0.3158
218,3.3002,0.3388
219,3.01,0.3154
220,3.1985,0.3354
221,3.5731,0.2832
222,3.9648,0.2815
223,3.3624,0.3173
224,3.9182,0.2754
225,3.2817,0.3238
226,3.3777,0.2871
227,3.4282,0.3027
228,3.6446,0.2906
229,3.4637,0.2988
230,3.3896,0.3306
231,3.3088,0.3169
232,3.1545,0.3135
233,3.6275,0.3059
234,3.0064,0.3399
235,3.1415,0.3043
236,3.0477,0.3149
237,2.9642,0.3154
238,3.2921,0.3368
239,3.3809,0.3239
240,3.3597,0.3204
241,3.2786,0.3196
242,3.0511,0.3209
243,3.2622,0.3145
244,3.0733,0.3091
245,3.2262,0.3367
246,3.2314,0.3232
247,3.2459,0.3315
248,3.1429,0.3533
249,3.2755,0.3434
250,3.1953,0.3373
251,3.4804,0.29
252,3.2548,0.3175
253,3.1902,0.3196
254,3.2317,0.3293
255,3.0137,0.3208
256,3.2205,0.3194
257,3.0106,0.3274
258,3.1554,0.3305
259,3.2336,0.3047
260,3.2235,0.3449
261,3.4273,0.33
262,3.0542,0.3212
263,3.3499,0.3459
264,3.4273,0.3179
265,2.9738,0.3197
266,3.4105,0.3
267,3.4485,0.3028
268,3.2483,0.3132
269,3.4972,0.2917
270,3.2797,0.333
271,2.9361,0.3522
272,3.2257,0.2995
273,3.0853,0.3468
274,3.1795,0.3373
275,3.2435,0.33
276,3.4079,0.3324
277,3.048,0.3631
278,3.6814,0.266
279,3.362,0.3146
280,3.071,0.3019
281,3.4897,0.2937
282,3.5393,0.3179
283,3.3798,0.2923
284,3.2839,0.3442
285,3.2573,0.333
286,3.1303,0.3372
287,3.5853,0.3068
288,3.1172,0.3488
289,3.3185,0.3282
290,3.4899,0.3392
291,3.3733,0.3142
292,3.0824,0.3101
293,3.6931,0.3247
294,3.2345,0.3176
295,3.2304,0.3098
296,3.5629,0.3026
297,3.2879,0.2953
298,3.3125,0.3463
299,3.3689,0.3302
300,3.2354,0.3254
