Round,Aggregated Test Loss,Aggregated Test Acc
1,4.3526,0.0778
2,4.4937,0.1443
3,4.3322,0.1536
4,4.028,0.1672
5,4.143,0.1874
6,4.2321,0.1963
7,3.9734,0.2031
8,4.2573,0.2107
9,4.0117,0.2227
10,4.1283,0.2175
11,4.2245,0.2259
12,3.9612,0.2406
13,3.8451,0.2427
14,4.0099,0.2493
15,3.9811,0.2477
16,3.9321,0.2459
17,3.8564,0.2462
18,3.6952,0.2471
19,3.7634,0.2577
20,3.738,0.2602
21,3.6695,0.2628
22,3.9218,0.2693
23,3.613,0.2635
24,3.5461,0.2653
25,3.5956,0.2532
26,3.7144,0.2636
27,3.6536,0.2763
28,3.6434,0.2693
29,3.5374,0.2723
30,3.6477,0.278
31,3.7707,0.2826
32,3.6632,0.2905
33,3.5802,0.2878
34,3.6234,0.2896
35,3.4985,0.2874
36,3.5697,0.2932
37,3.6246,0.2873
38,3.5519,0.2989
39,3.4899,0.2991
40,3.4265,0.2995
41,3.5335,0.298
42,3.451,0.3051
43,3.4114,0.3055
44,3.4192,0.3083
45,3.4589,0.3079
46,3.4762,0.31
47,3.5423,0.3129
48,3.4441,0.3137
49,3.3011,0.3082
50,3.4384,0.315
51,3.343,0.3041
52,3.4222,0.3133
53,3.427,0.3151
54,3.4424,0.3165
55,3.5147,0.3185
56,3.1657,0.3115
57,3.3405,0.3246
58,3.4833,0.3149
59,3.4442,0.3228
60,3.482,0.3226
61,3.4643,0.3201
62,3.4242,0.3223
63,3.2953,0.3139
64,3.326,0.319
65,3.4141,0.3285
66,3.3123,0.3283
67,3.4095,0.3283
68,3.3897,0.3278
69,3.3192,0.3251
70,3.2635,0.3314
71,3.2984,0.3339
72,3.2098,0.324
73,3.1815,0.3236
74,3.1592,0.3287
75,3.2704,0.3292
76,3.3006,0.3317
77,3.2424,0.3308
78,3.3691,0.3326
79,3.3813,0.3314
80,3.2522,0.3349
81,3.261,0.3258
82,3.2588,0.3314
83,3.133,0.3331
84,3.2083,0.3346
85,3.0883,0.3362
86,3.1029,0.3378
87,3.0415,0.3422
88,3.0463,0.34
89,3.0914,0.3377
90,3.072,0.3372
91,3.1267,0.3404
92,3.1005,0.3381
93,3.0742,0.337
94,3.1328,0.3382
95,3.1668,0.3387
96,3.1863,0.3418
97,3.1985,0.3404
98,3.167,0.3415
99,3.1975,0.3405
100,3.2551,0.3416
101,3.2242,0.3415
102,3.0911,0.3418
103,3.0808,0.3437
104,3.1309,0.3389
105,3.1611,0.3409
106,3.0069,0.3348
107,2.969,0.3317
108,3.0095,0.338
109,3.06,0.3423
110,3.1114,0.3397
111,3.1041,0.3423
112,3.1651,0.342
113,3.1126,0.3377
114,3.0699,0.338
115,3.1375,0.3387
116,3.1793,0.3408
117,3.1336,0.3443
118,3.2232,0.345
119,3.1976,0.3397
120,3.1629,0.3403
121,3.1569,0.3389
122,3.2125,0.3386
123,3.1542,0.3378
124,3.091,0.3352
125,3.133,0.3365
126,3.1816,0.339
127,3.1377,0.3389
128,3.1415,0.3416
129,3.1661,0.3404
130,3.1576,0.3411
131,3.1806,0.3442
132,3.2059,0.3425
133,3.147,0.3373
134,3.1668,0.3381
135,3.1293,0.3432
136,3.0643,0.3373
137,3.1076,0.3399
138,3.1159,0.3378
139,3.1134,0.3411
140,3.1549,0.3426
141,3.1823,0.3415
142,3.1173,0.3393
143,3.1348,0.3388
144,3.0356,0.3371
145,3.0129,0.3351
146,3.0463,0.3343
147,3.0793,0.3392
148,3.0814,0.3383
149,3.0973,0.34
150,3.1251,0.3418
151,3.1678,0.3431
152,3.1509,0.3431
153,3.1072,0.3445
154,3.1312,0.341
155,3.1377,0.3408
156,3.159,0.3417
157,3.2124,0.3383
158,3.1671,0.3387
159,3.1349,0.3405
160,3.169,0.3422
161,3.1567,0.3419
162,3.1304,0.3412
163,3.1212,0.3422
164,3.1464,0.3399
165,3.1666,0.338
166,3.1029,0.3418
167,3.1019,0.3405
168,3.1132,0.3412
169,3.1003,0.3421
170,3.117,0.3434
171,3.13,0.3401
172,3.0871,0.3446
173,3.0715,0.3463
174,3.1079,0.3445
175,3.0833,0.3446
176,3.0914,0.3462
177,3.0799,0.3466
178,3.0947,0.3481
179,3.1205,0.3477
180,3.0904,0.3477
181,3.086,0.3449
182,3.1047,0.3443
183,3.1041,0.3456
184,3.1108,0.346
185,3.1288,0.3453
186,3.117,0.3435
187,3.1236,0.3403
188,3.0968,0.3418
189,3.077,0.3402
190,3.0646,0.343
191,3.0707,0.3439
192,3.0166,0.3463
193,3.0359,0.3462
194,3.0473,0.3468
195,3.051,0.349
196,3.0595,0.3468
