Round,Aggregated Test Loss,Aggregated Test Acc
1,4.3526,0.0778
2,4.4937,0.1443
3,4.3322,0.1536
4,4.028,0.1672
5,4.143,0.1874
6,4.2321,0.1963
7,3.9734,0.2031
8,4.2573,0.2107
9,4.0117,0.2227
10,4.1283,0.2175
11,4.3413,0.2242
12,4.027,0.2348
13,3.9323,0.2404
14,4.0785,0.2475
15,4.021,0.2464
16,3.9828,0.2481
17,3.9443,0.2375
18,3.721,0.2427
19,3.9173,0.251
20,3.818,0.2608
21,3.768,0.2596
22,4.027,0.2666
23,3.6398,0.259
24,3.6331,0.2564
25,3.782,0.2455
26,3.9063,0.2547
27,3.7822,0.2698
28,3.7134,0.2622
29,3.6147,0.27
30,3.6925,0.2684
31,3.813,0.2831
32,3.6679,0.2869
33,3.6183,0.2881
34,3.63,0.2856
35,3.5297,0.2791
36,3.6577,0.2935
37,3.7672,0.2822
38,3.5909,0.2956
39,3.4245,0.2998
40,3.4511,0.302
41,3.7227,0.2992
42,3.5263,0.3044
43,3.4371,0.3036
44,3.4746,0.3114
45,3.5176,0.3044
46,3.525,0.3118
47,3.5852,0.3103
48,3.422,0.3107
49,3.2608,0.299
50,3.53,0.3149
51,3.3781,0.2868
52,3.4997,0.3194
53,3.4251,0.3155
54,3.4506,0.3191
55,3.6185,0.3183
56,3.0839,0.2929
57,3.5386,0.3237
58,3.6874,0.3097
59,3.5329,0.3194
60,3.4624,0.3247
61,3.5196,0.3182
62,3.4666,0.3191
63,3.2396,0.3054
64,3.3619,0.3213
65,3.5212,0.3331
66,3.3337,0.3275
67,3.5122,0.3215
68,3.3951,0.3263
69,3.2465,0.321
70,3.2569,0.3281
71,3.3578,0.3312
72,3.1798,0.3086
73,3.1863,0.3242
74,3.1476,0.3265
75,3.4465,0.3334
76,3.3331,0.3352
77,3.1307,0.3295
78,3.4625,0.3413
79,3.3816,0.3315
80,3.1246,0.3349
81,3.3536,0.2944
82,3.2017,0.3364
83,3.1258,0.3271
84,3.3371,0.3357
85,3.018,0.3231
86,3.1862,0.3452
87,2.9741,0.3298
88,3.0385,0.3351
89,3.1175,0.3349
90,3.0952,0.328
91,3.2105,0.3365
92,3.1115,0.3296
93,3.0003,0.3317
94,3.1853,0.3392
95,3.178,0.3357
96,3.1867,0.3418
97,3.2354,0.3361
98,3.1026,0.3324
99,3.1616,0.3323
100,3.3045,0.3454
101,3.1423,0.3451
102,2.8644,0.3327
103,3.0748,0.3468
104,3.2022,0.341
105,3.1835,0.3436
106,3.0092,0.3016
107,2.9477,0.3079
108,3.1236,0.3341
109,3.1778,0.3364
110,3.1297,0.3402
111,3.0779,0.3325
112,3.2818,0.3432
113,3.0454,0.3149
114,3.0145,0.33
115,3.1874,0.3361
116,3.2494,0.343
117,3.029,0.3424
118,3.318,0.3538
119,3.1258,0.3355
120,3.1434,0.3378
121,3.1526,0.3359
122,3.2794,0.3391
123,3.1081,0.3195
124,2.9849,0.3197
125,3.1563,0.3379
126,3.2367,0.3433
127,3.0301,0.3323
128,3.1802,0.3271
129,3.1819,0.3403
130,3.0933,0.3386
131,3.2347,0.3427
132,3.1887,0.3401
133,3.0292,0.3223
134,3.2759,0.3446
135,2.9799,0.3496
136,2.9794,0.3057
137,3.2269,0.354
138,3.0919,0.34
139,3.0929,0.346
140,3.1992,0.3469
141,3.2524,0.3423
142,2.9263,0.3277
143,3.2129,0.3322
144,3.0543,0.2927
145,3.0763,0.3088
146,3.0993,0.3425
147,3.142,0.3456
148,3.0823,0.3311
149,3.1268,0.3421
150,3.21,0.3406
151,3.2882,0.3441
152,3.1541,0.3474
153,3.1095,0.3082
154,3.2204,0.3351
155,3.0407,0.3331
156,3.1304,0.3478
157,3.4136,0.3311
158,2.996,0.3337
159,3.0388,0.3346
160,3.3722,0.3375
161,3.2933,0.3214
162,3.0012,0.329
163,3.0977,0.3318
164,3.3026,0.3265
165,3.3874,0.31
166,3.0333,0.3184
167,3.0987,0.33
168,3.1984,0.3434
169,3.0545,0.347
170,3.0285,0.3494
171,3.2071,0.3229
172,2.936,0.3337
173,2.9532,0.3429
174,3.1972,0.3475
175,3.0929,0.3252
176,3.1056,0.35
177,3.0149,0.3558
178,3.1128,0.3535
179,3.1938,0.3497
180,3.1275,0.3349
181,3.0635,0.3337
182,3.1983,0.3377
183,3.1326,0.3481
184,3.1844,0.3262
185,3.2868,0.3384
186,2.967,0.3309
187,3.2113,0.3236
188,3.0639,0.3263
189,3.093,0.3064
190,2.9729,0.3394
191,3.033,0.3485
192,2.8634,0.3227
193,3.11,0.3414
194,3.0518,0.3446
195,3.0966,0.339
196,3.1061,0.336
