Round,Aggregated Test Loss,Aggregated Test Acc
1,4.3768,0.0665
2,4.5916,0.1344
3,5.2152,0.1287
4,5.2416,0.1562
5,5.0166,0.14
6,4.3338,0.1658
7,4.213,0.193
8,5.7574,0.172
9,5.007,0.184
10,4.7869,0.1754
11,5.0518,0.183
12,4.6009,0.1953
13,4.8458,0.2028
14,4.353,0.2266
15,4.659,0.2176
16,5.5901,0.1982
17,5.6287,0.2129
18,5.5469,0.2113
19,7.0786,0.184
20,6.6653,0.1867
21,6.3396,0.1906
22,7.1171,0.1722
23,6.0799,0.1927
24,6.3663,0.1874
25,7.1694,0.1758
26,7.2915,0.167
27,7.1484,0.1608
28,4.8746,0.2204
29,4.9796,0.217
30,4.6428,0.2229
31,5.119,0.2188
32,5.1067,0.2246
33,5.134,0.2274
34,5.0601,0.2279
35,5.4022,0.2205
36,5.1822,0.2307
37,5.5062,0.2204
38,5.5094,0.2152
39,5.1885,0.2264
40,5.0214,0.2351
41,5.2772,0.2279
42,6.0463,0.2073
43,6.0269,0.2151
44,5.9136,0.2168
45,5.3755,0.2316
46,5.7894,0.2159
47,5.4072,0.2257
48,5.5759,0.2242
49,5.4892,0.2232
50,5.7733,0.2169
51,5.8337,0.2157
52,6.103,0.2117
53,6.6273,0.2006
54,6.0162,0.217
55,6.6975,0.2022
56,5.3278,0.2252
57,5.7595,0.2197
58,5.323,0.2259
59,5.2273,0.2207
60,5.1018,0.2187
61,5.4234,0.2199
62,5.3437,0.2215
63,5.7641,0.2109
64,5.6887,0.2073
65,5.6216,0.2106
66,5.6144,0.2137
67,5.9878,0.2041
68,5.9881,0.2029
69,5.503,0.2116
70,5.6289,0.2142
71,5.5845,0.219
72,5.3588,0.2218
73,5.331,0.2212
74,5.1138,0.2218
75,5.3723,0.2228
76,5.7769,0.2135
77,5.753,0.2094
78,5.8301,0.2044
79,6.1038,0.2019
80,5.9075,0.1967
81,5.5224,0.2052
82,5.7008,0.205
83,5.4758,0.2151
84,5.5827,0.215
85,6.0587,0.2079
86,7.0197,0.1871
87,6.5736,0.1971
88,5.496,0.219
89,5.4339,0.2196
90,5.245,0.2271
91,5.3839,0.225
92,5.2371,0.2242
93,5.4002,0.2246
94,5.6248,0.221
95,5.502,0.2276
96,5.8599,0.2158
97,5.2816,0.2316
98,5.1268,0.2329
99,5.238,0.2327
100,5.1016,0.2301
101,5.3672,0.2227
102,5.25,0.2185
103,5.0829,0.2205
104,4.8729,0.2325
105,5.0353,0.2323
106,4.9297,0.2362
107,4.8942,0.2382
108,4.7312,0.2385
109,4.6612,0.2406
110,4.8465,0.237
111,4.7797,0.2386
112,4.6749,0.2408
113,4.5419,0.2412
114,4.6016,0.2405
115,4.7175,0.2386
116,4.6462,0.2361
117,4.6466,0.2302
118,4.8023,0.2257
119,4.7687,0.2163
120,4.7551,0.2117
121,4.8624,0.2076
122,4.702,0.2174
123,4.7662,0.2178
124,4.5372,0.2246
125,4.5532,0.2234
126,4.5162,0.2293
127,4.5721,0.2336
128,4.5543,0.2369
129,4.4289,0.2338
130,4.3217,0.2359
131,4.367,0.235
132,4.4196,0.236
133,4.3498,0.235
134,4.5435,0.2337
135,4.5289,0.2368
136,4.4031,0.2408
137,4.2916,0.2392
138,4.3563,0.237
139,4.27,0.2344
140,4.3038,0.2388
141,4.2913,0.2401
142,4.2138,0.2485
143,4.2315,0.2473
144,4.4038,0.2422
145,4.3593,0.2465
146,4.5023,0.2423
147,4.3888,0.2438
148,4.4123,0.246
149,4.3717,0.2428
150,4.3084,0.2449
151,4.4634,0.242
152,4.5302,0.2419
153,4.5574,0.2447
154,4.5696,0.2469
