Round,Aggregated Test Loss,Aggregated Test Acc
1,4.3768,0.0665
2,4.5916,0.1344
3,5.2152,0.1287
4,5.2416,0.1562
5,5.0166,0.14
6,4.3338,0.1658
7,4.213,0.193
8,5.7574,0.172
9,5.007,0.184
10,4.7869,0.1754
11,5.3457,0.1756
12,4.6442,0.1954
13,4.9368,0.1975
14,4.3571,0.2268
15,4.6902,0.2125
16,5.9603,0.1867
17,5.7716,0.2051
18,5.6466,0.2052
19,7.6018,0.1765
20,6.869,0.1818
21,6.4708,0.1845
22,7.8612,0.1693
23,6.4858,0.1815
24,6.8088,0.179
25,7.8099,0.1663
26,8.0427,0.1574
27,7.8427,0.1532
28,4.7053,0.2284
29,5.3472,0.2181
30,4.8381,0.212
31,6.1604,0.1947
32,5.5028,0.2181
33,5.5678,0.2224
34,5.3698,0.2162
35,5.8398,0.2175
36,5.3855,0.2239
37,5.9595,0.2101
38,6.1158,0.2006
39,5.3479,0.2204
40,5.253,0.2287
41,6.0319,0.2116
42,6.9936,0.1952
43,7.0293,0.1937
44,6.1898,0.2111
45,5.4443,0.2252
46,6.4056,0.2114
47,5.3375,0.2279
48,5.8466,0.2193
49,5.7915,0.2219
50,6.4398,0.1995
51,6.6643,0.1951
52,7.0898,0.1874
53,8.7168,0.1546
54,6.206,0.2124
55,8.1005,0.1811
56,5.2811,0.2166
57,6.8533,0.1924
58,5.7023,0.2103
59,5.7932,0.199
60,5.717,0.1968
61,6.4248,0.1991
62,5.7097,0.2193
63,6.8614,0.1855
64,6.4956,0.1827
65,6.2187,0.2052
66,6.2449,0.1975
67,7.2296,0.1748
68,7.4135,0.1719
69,5.6409,0.2068
70,5.9766,0.2049
71,6.3242,0.2098
72,5.5806,0.214
73,5.5049,0.2213
74,5.2616,0.2284
75,6.2021,0.207
76,7.9127,0.1661
77,6.5589,0.19
78,6.2124,0.1967
79,6.9304,0.1786
80,6.5397,0.191
81,5.5164,0.211
82,6.2293,0.2043
83,6.0626,0.2045
84,6.5621,0.2029
85,7.7904,0.1845
86,8.7719,0.1574
87,6.8165,0.1872
88,5.1818,0.214
89,6.2316,0.2086
90,5.5758,0.2163
91,5.7827,0.2175
92,5.6375,0.216
93,5.9068,0.2179
94,6.8055,0.1957
95,7.0515,0.1893
96,7.7899,0.1717
97,5.3919,0.2125
98,6.0449,0.2089
99,5.8492,0.2126
100,5.7056,0.1987
101,6.5217,0.1884
102,6.6912,0.1768
103,6.3629,0.1733
104,5.2952,0.2083
105,5.768,0.2086
106,5.4082,0.2187
107,5.5373,0.2201
108,5.6461,0.2119
109,5.5189,0.2163
110,6.0065,0.2036
111,5.5968,0.2173
112,6.3298,0.1904
113,5.8347,0.1791
114,5.0843,0.2286
115,5.6841,0.21
116,5.904,0.1914
117,6.8243,0.1541
118,5.1568,0.2222
119,5.1903,0.2121
120,5.5426,0.19
121,4.9524,0.2234
122,4.57,0.2377
123,5.291,0.2258
124,4.8562,0.2277
125,4.9821,0.2254
126,5.2223,0.2274
127,4.9312,0.2377
128,4.958,0.2415
129,4.9618,0.2224
130,4.9474,0.2232
131,4.9197,0.2388
132,5.1527,0.2306
133,5.0703,0.2261
134,5.5636,0.2217
135,5.3111,0.2294
136,4.9589,0.2275
137,4.9075,0.2199
138,5.0143,0.2306
139,4.8466,0.2274
140,5.0644,0.2353
141,5.2744,0.2281
142,4.6317,0.2461
143,5.1662,0.2306
144,5.5983,0.2158
145,5.3104,0.2422
146,5.4468,0.2325
147,5.5735,0.2302
148,5.5382,0.2315
149,6.0703,0.2108
150,5.4751,0.2051
151,6.0208,0.2129
152,6.4614,0.1923
