Round,Aggregated Test Loss,Aggregated Test Acc
1,4.3768,0.0665
2,4.5481,0.1336
3,5.3313,0.1281
4,5.3644,0.1448
5,4.8706,0.1356
6,4.1557,0.1749
7,3.9899,0.2032
8,5.3485,0.1776
9,5.3934,0.1749
10,5.2342,0.174
11,5.134,0.1832
12,4.5763,0.195
13,4.8128,0.2017
14,4.1829,0.223
15,4.343,0.215
16,5.5126,0.1987
17,5.7195,0.1986
18,5.8227,0.2008
19,7.4389,0.1735
20,6.6687,0.1737
21,6.3899,0.1792
22,7.409,0.1681
23,6.8986,0.1781
24,7.0644,0.1765
25,7.9493,0.1675
26,8.3731,0.1628
27,8.3402,0.1629
28,5.0542,0.2215
29,4.9415,0.2216
30,4.7282,0.226
31,5.3012,0.2211
32,5.2287,0.2263
33,5.2773,0.2292
34,5.6734,0.2134
35,5.9584,0.2143
36,5.7004,0.2263
37,5.8055,0.2211
38,5.9975,0.219
39,5.675,0.2269
40,5.4921,0.231
41,6.2022,0.2112
42,7.0335,0.201
43,6.4411,0.2113
44,6.4635,0.2111
45,5.8832,0.221
46,6.5372,0.2141
47,6.4404,0.2121
48,6.5116,0.2157
49,6.7634,0.2093
50,7.3115,0.1983
51,7.4864,0.2004
52,8.0424,0.1894
53,8.987,0.175
54,7.5387,0.1969
55,8.5643,0.1828
56,6.157,0.2188
57,6.1653,0.2192
58,6.3359,0.2186
59,6.5068,0.2137
60,6.576,0.2139
61,6.4548,0.2168
62,6.4866,0.2163
63,7.2628,0.2032
64,7.4449,0.2022
65,7.5604,0.2015
66,6.7879,0.2136
67,6.8562,0.2076
68,7.0401,0.2077
69,6.6788,0.215
70,6.8851,0.2109
71,7.1926,0.2108
72,6.8438,0.2162
73,6.553,0.2246
74,6.6091,0.2213
75,7.2014,0.2132
76,7.9648,0.2028
77,8.0089,0.1951
78,7.3523,0.206
79,7.4487,0.202
80,7.6903,0.1982
81,7.4413,0.2061
82,7.7334,0.1998
83,7.5422,0.2036
84,7.992,0.1993
85,8.3745,0.1918
86,8.6351,0.1863
87,8.0148,0.1936
88,7.0545,0.2074
89,7.1723,0.2101
90,6.9912,0.2172
91,7.0904,0.2109
92,7.0845,0.2135
93,7.1951,0.2148
94,7.2459,0.2078
95,7.3148,0.2082
96,7.6137,0.2047
97,7.1114,0.213
98,7.0423,0.2149
99,7.1484,0.2136
100,7.3415,0.2092
101,7.4281,0.2072
102,7.491,0.2073
103,7.5389,0.2097
104,7.3766,0.2107
105,7.4526,0.2078
106,7.616,0.2084
107,7.4263,0.2131
108,7.5332,0.2114
109,7.5647,0.2119
110,7.8155,0.2074
111,7.616,0.2124
112,7.6465,0.2133
113,7.6694,0.2127
114,7.6084,0.2128
115,7.8844,0.2066
116,7.9115,0.2056
117,7.9079,0.2058
118,7.9219,0.2031
119,7.9668,0.2052
120,8.0716,0.2022
121,8.0781,0.2013
122,7.8822,0.2039
123,7.7418,0.2072
124,7.7404,0.208
125,7.7238,0.2088
126,7.6947,0.2074
127,7.6424,0.2098
128,7.8317,0.2065
129,7.8658,0.2066
130,7.9015,0.2058
131,7.8755,0.2062
132,7.8714,0.2081
133,7.9245,0.2074
134,7.889,0.207
135,8.0454,0.2081
136,7.9315,0.2075
137,7.97,0.2072
138,7.9935,0.208
139,8.0286,0.2087
140,8.0397,0.2083
141,8.0554,0.2053
142,8.0512,0.2062
143,8.1073,0.2038
144,8.0199,0.2049
145,8.1019,0.2047
146,8.172,0.2037
147,8.2523,0.2034
148,8.1261,0.207
149,8.2125,0.2077
150,8.2142,0.2066
151,8.1265,0.2052
152,8.2588,0.2035
153,8.1935,0.2056
154,8.1725,0.207
155,8.1847,0.2069
156,8.2154,0.2069
157,8.1701,0.2064
158,8.2152,0.2102
159,8.3396,0.2054
160,8.3375,0.2049
161,8.3787,0.2045
162,8.3909,0.2033
163,8.441,0.2038
164,8.4789,0.2023
165,8.4282,0.2039
166,8.3992,0.2039
167,8.4104,0.2052
168,8.4391,0.2043
169,8.4225,0.2058
170,8.4446,0.2054
171,8.4443,0.2031
172,8.3929,0.2041
173,8.4851,0.2043
174,8.6073,0.2031
175,8.6388,0.2019
176,8.5565,0.2047
177,8.5545,0.2025
178,8.6133,0.2017
179,8.6328,0.2018
180,8.6598,0.201
181,8.6313,0.2018
182,8.6543,0.2021
183,8.6593,0.2032
184,8.6746,0.2033
185,8.7819,0.202
186,8.7658,0.2009
187,8.7943,0.2013
188,8.8195,0.1998
189,8.7242,0.2009
190,8.7725,0.2006
191,8.7797,0.2013
192,8.8083,0.2006
193,8.9387,0.1981
194,8.956,0.1987
195,8.8604,0.1997
196,8.7432,0.2029
197,8.7586,0.2028
198,8.8266,0.2012
199,8.886,0.2005
200,8.7905,0.2018
201,8.8308,0.2012
202,8.8513,0.201
203,8.823,0.2028
204,8.81,0.2021
205,8.805,0.2017
206,8.8318,0.2019
207,8.8264,0.2013
208,8.8482,0.2016
209,8.8192,0.2036
210,8.8784,0.2027
211,8.927,0.2024
212,9.0019,0.201
213,8.9964,0.2007
214,8.9957,0.2
215,8.9177,0.2018
216,8.9302,0.2015
217,8.9582,0.2021
218,8.9547,0.2017
219,8.9249,0.2024
220,8.9398,0.201
221,8.8803,0.2026
222,8.9035,0.2021
223,8.8029,0.2033
224,8.8003,0.2043
225,8.8736,0.2018
226,8.853,0.2011
227,8.8847,0.2007
228,8.8853,0.2003
229,8.8789,0.2001
230,8.9636,0.2007
231,8.9597,0.201
232,8.9504,0.2005
233,9.0684,0.1992
234,9.0369,0.198
235,9.0589,0.1969
236,9.0739,0.1974
237,9.0625,0.1997
238,9.0921,0.1986
239,9.0855,0.1985
240,9.0899,0.1975
241,9.0054,0.1999
242,8.9934,0.2003
243,9.0303,0.1992
244,8.9584,0.2011
245,8.9934,0.2015
246,8.9271,0.2017
247,8.9308,0.2019
248,8.8947,0.2019
249,8.9306,0.2015
250,8.9616,0.202
251,8.9094,0.2033
252,8.8615,0.2047
253,8.904,0.204
254,8.9513,0.2032
255,8.9494,0.2025
256,8.9628,0.2029
257,8.9779,0.2027
258,8.9786,0.2024
259,8.9121,0.2009
260,8.9315,0.2006
261,8.9214,0.2018
262,8.9063,0.2002
263,8.902,0.2007
264,8.9153,0.202
265,8.9615,0.2009
266,8.9846,0.2013
267,8.9648,0.2021
268,8.9535,0.2016
269,9.0091,0.1998
270,8.9918,0.2019
271,8.9864,0.2008
272,9.0074,0.2022
273,9.0272,0.202
274,9.043,0.2022
275,9.1058,0.2004
276,9.156,0.2018
277,9.1383,0.2013
278,9.1635,0.2002
279,9.1345,0.2006
280,9.1616,0.2005
281,9.1324,0.2004
282,9.186,0.1997
283,9.1962,0.1995
284,9.1385,0.1991
285,9.1402,0.1984
286,9.15,0.1987
287,9.1788,0.199
288,9.1711,0.1971
289,9.19,0.1972
290,9.1667,0.1982
291,9.1393,0.1982
292,9.1247,0.199
293,9.1507,0.1994
294,9.2178,0.1967
295,9.2794,0.1995
296,9.3062,0.1997
297,9.308,0.2003
298,9.2605,0.2002
299,9.257,0.2006
300,9.2581,0.2003
