Round,Aggregated Test Loss,Aggregated Test Acc
1,4.3768,0.0665
2,4.5481,0.1336
3,5.3313,0.1281
4,5.3644,0.1448
5,4.8706,0.1356
6,4.1557,0.1749
7,3.9899,0.2032
8,5.3485,0.1776
9,5.3934,0.1749
10,5.2342,0.174
11,5.3933,0.1781
12,4.6872,0.1896
13,4.9421,0.1989
14,4.1892,0.2259
15,4.3506,0.216
16,5.6968,0.1924
17,5.8847,0.1943
18,5.9358,0.1981
19,7.698,0.1757
20,6.6895,0.1732
21,6.5252,0.1745
22,8.0451,0.1669
23,6.9613,0.1811
24,7.2069,0.1779
25,8.6813,0.1646
26,9.2751,0.1593
27,9.2243,0.1597
28,4.906,0.2219
29,5.3045,0.2167
30,4.8392,0.2212
31,6.3398,0.2002
32,5.6444,0.2157
33,5.6873,0.2191
34,5.9136,0.2103
35,6.3486,0.2126
36,5.8918,0.2263
37,6.285,0.2147
38,6.6236,0.2115
39,5.8181,0.2233
40,5.5445,0.2245
41,6.7544,0.2027
42,7.642,0.1902
43,7.3618,0.1984
44,6.683,0.2085
45,5.7793,0.2244
46,7.5149,0.1965
47,6.509,0.2073
48,6.7841,0.2143
49,7.1919,0.2045
50,8.0162,0.1898
51,8.351,0.1894
52,9.054,0.1742
53,10.3097,0.1571
54,7.1967,0.1977
55,9.8312,0.1647
56,5.8026,0.217
57,6.7468,0.1941
58,6.636,0.1981
59,6.9042,0.2045
60,6.8393,0.1961
61,7.1071,0.1908
62,6.6083,0.2074
63,8.179,0.1817
64,8.3085,0.1889
65,7.5032,0.1974
66,6.9835,0.2024
67,8.0532,0.1812
68,8.311,0.1841
69,6.9086,0.1982
70,7.2296,0.1942
71,7.7135,0.1938
72,6.7433,0.2073
73,6.6747,0.2073
74,6.9116,0.2031
75,7.9187,0.197
76,9.1814,0.1763
77,8.568,0.1821
78,7.5788,0.1993
79,8.3066,0.1732
80,8.3569,0.1749
81,7.276,0.1963
82,7.9722,0.1899
83,7.829,0.1945
84,8.4802,0.1857
85,9.6726,0.1655
86,11.4319,0.1437
87,7.9815,0.1831
88,6.2961,0.2009
89,6.9888,0.2074
90,6.7698,0.2144
91,6.8285,0.2071
92,6.7955,0.2116
93,7.3638,0.2047
94,7.9404,0.191
95,8.1625,0.188
96,9.3556,0.1689
97,6.9777,0.2013
98,7.7984,0.1943
99,7.8367,0.1956
100,7.5566,0.2019
101,7.9543,0.1943
102,8.1794,0.1945
103,8.0167,0.1964
104,7.4371,0.208
105,7.7102,0.1937
106,7.7427,0.1981
107,7.4318,0.2065
108,7.7663,0.2077
109,7.6786,0.2033
110,8.8451,0.1872
111,8.0501,0.1981
112,8.3892,0.1949
113,8.3265,0.1917
114,8.0747,0.2028
115,8.8829,0.1893
116,8.8695,0.1881
117,8.9664,0.1919
118,8.426,0.1869
119,8.3065,0.1932
120,8.5018,0.2
121,8.9677,0.1874
122,8.2533,0.1894
123,7.9042,0.1976
124,8.3625,0.1927
125,8.2888,0.1922
126,8.5757,0.1754
127,7.7488,0.2012
128,8.2455,0.203
129,8.2837,0.2028
130,8.2121,0.2039
131,8.039,0.2025
132,8.4846,0.1942
133,8.5819,0.1957
134,8.9173,0.1858
135,9.252,0.1895
136,8.2971,0.1985
137,8.5017,0.193
138,8.7466,0.1908
139,8.9409,0.1898
140,9.023,0.1785
141,8.7431,0.1876
142,8.3915,0.1884
143,8.9929,0.1875
144,8.5656,0.1877
145,8.658,0.1903
146,8.7737,0.1906
147,8.8678,0.1953
148,8.4617,0.192
149,8.8593,0.1947
150,8.6048,0.1933
151,8.8059,0.1847
152,9.7455,0.1632
153,8.1045,0.1968
154,8.6398,0.1928
155,8.6332,0.1936
156,8.5575,0.1942
157,9.0312,0.1857
158,8.1231,0.2026
159,9.1184,0.1905
160,9.2056,0.19
161,8.7116,0.1901
162,8.9512,0.1944
163,8.6163,0.2008
164,9.213,0.1898
165,8.4289,0.1974
166,8.8269,0.1853
167,8.8571,0.1926
168,8.4868,0.192
169,9.5014,0.1791
170,9.4441,0.1797
171,8.6785,0.187
172,8.7223,0.1888
173,9.3897,0.1881
174,9.4259,0.1894
175,9.4938,0.1902
176,9.0226,0.1851
177,8.4809,0.1958
178,9.0122,0.1881
179,9.0672,0.1859
180,9.1091,0.1874
181,8.5729,0.1897
182,8.7364,0.1936
183,8.6948,0.1902
184,9.6882,0.1812
185,9.2875,0.1839
186,9.3862,0.1856
187,9.3454,0.184
188,9.3996,0.1796
189,8.4781,0.1912
190,8.9402,0.1882
191,8.8116,0.1931
192,8.952,0.1978
193,10.3319,0.1848
194,10.4201,0.1867
195,8.5963,0.1927
196,8.7969,0.1928
197,8.8282,0.1952
198,9.563,0.1827
199,10.0939,0.1715
200,9.3604,0.1832
201,8.8696,0.1915
202,9.0966,0.1859
203,9.2689,0.1895
204,9.3776,0.1811
205,9.5149,0.187
206,9.5337,0.186
207,9.2873,0.184
208,9.2252,0.1825
209,8.2105,0.1841
210,8.9501,0.1842
211,8.8537,0.193
212,9.5189,0.1805
213,9.0968,0.1804
214,9.3281,0.1782
215,8.8334,0.1901
216,8.993,0.1871
217,8.981,0.189
218,9.9477,0.1684
219,10.1425,0.1593
220,10.2424,0.1624
221,8.2353,0.1859
222,8.7447,0.1816
223,8.1957,0.192
224,9.0982,0.1798
225,8.6428,0.1903
226,8.4718,0.1879
227,8.6066,0.1865
228,8.4296,0.1911
229,8.4744,0.1911
230,9.0515,0.1882
231,9.0907,0.1875
232,8.6066,0.1889
233,9.2629,0.1765
234,8.8399,0.1822
235,8.8252,0.1708
236,8.888,0.1805
237,9.6909,0.1651
238,10.0546,0.1629
239,9.8454,0.1637
240,9.7831,0.1622
241,7.8993,0.1895
242,8.0451,0.1837
243,8.9855,0.1592
244,7.9355,0.1876
245,8.3975,0.1793
246,7.3572,0.1982
247,7.6549,0.193
248,8.4672,0.182
249,8.685,0.1775
250,8.8114,0.1779
251,8.658,0.184
252,9.0485,0.1751
253,8.8234,0.1819
254,8.7346,0.1766
255,7.7313,0.1975
256,7.9925,0.1896
257,8.0973,0.1938
258,8.1586,0.1931
259,7.8567,0.1926
260,7.9507,0.1841
261,8.2291,0.1841
262,8.2843,0.1881
263,8.4711,0.1861
264,8.7699,0.1802
265,8.1539,0.1946
266,8.1805,0.1977
267,8.112,0.1855
268,8.1814,0.1891
269,8.2725,0.1903
270,8.5175,0.1875
271,8.4248,0.1888
272,8.4867,0.1896
273,8.5946,0.1881
274,8.4781,0.1915
275,9.3039,0.1779
276,9.0811,0.1801
277,8.2799,0.1824
278,8.3637,0.1846
279,8.5139,0.1881
280,8.5693,0.1887
281,8.749,0.1801
282,9.2672,0.1699
283,8.5005,0.187
284,8.7247,0.1865
285,8.6648,0.185
286,8.7023,0.1907
287,8.9207,0.1915
288,7.9756,0.1933
289,8.3391,0.1852
290,8.5664,0.1873
291,7.6121,0.2034
292,8.603,0.1896
293,8.0022,0.199
294,8.9292,0.184
295,8.5374,0.1936
296,8.7263,0.1918
297,8.6105,0.1896
298,8.1025,0.1922
299,8.0922,0.1972
300,8.4271,0.2014
