Round,Aggregated Test Loss,Aggregated Test Acc
1,3.8542,0.1269
2,3.9009,0.12
3,3.4832,0.2601
4,2.8505,0.3267
5,2.6371,0.3584
6,2.5644,0.3805
7,2.2154,0.43
8,2.1697,0.437
9,2.0677,0.4549
10,1.933,0.4953
11,1.6904,0.5525
12,1.7208,0.5425
13,1.8387,0.5198
14,1.6808,0.544
15,1.6891,0.5527
16,1.5845,0.5771
17,1.5551,0.5693
18,1.5419,0.6068
19,1.4126,0.6101
20,1.3046,0.6401
21,1.4575,0.599
22,1.195,0.6611
23,1.1974,0.6617
24,1.2082,0.6556
25,1.2336,0.6483
26,1.1742,0.6672
27,1.3227,0.6301
28,1.338,0.6252
29,1.115,0.6774
30,1.0988,0.6754
31,1.057,0.6927
32,1.103,0.6764
33,1.1454,0.6697
34,1.0673,0.6882
35,1.131,0.6674
36,1.1165,0.6705
37,1.0726,0.6826
38,1.0387,0.6949
39,1.0525,0.6918
40,1.0829,0.6869
41,1.0925,0.6871
42,1.1007,0.6912
43,0.9939,0.7117
44,1.0217,0.6905
45,1.0502,0.689
46,1.0195,0.7006
47,1.0467,0.6851
48,1.0369,0.6914
49,1.0454,0.6908
50,1.0848,0.6782
51,1.0067,0.7024
52,0.968,0.7027
53,1.0278,0.7064
54,0.9895,0.7052
55,1.0467,0.6952
56,0.9822,0.7019
57,0.9675,0.7157
58,0.9439,0.7221
59,0.9163,0.7253
60,0.9106,0.7283
61,0.9417,0.7182
62,0.9236,0.727
63,0.8952,0.7321
64,0.9263,0.7219
65,0.8763,0.7447
66,0.8984,0.7385
67,0.9235,0.7316
68,0.9289,0.7226
69,0.9449,0.7167
70,0.8867,0.7308
71,0.9289,0.7167
72,0.9585,0.7114
73,0.9433,0.711
74,0.9703,0.7113
75,0.8462,0.737
76,0.8329,0.742
77,0.8722,0.7325
78,0.8326,0.7507
79,0.8484,0.7427
80,0.844,0.7438
81,0.8541,0.7421
82,0.8317,0.7478
83,0.825,0.7507
84,0.8506,0.7414
85,0.8461,0.7458
86,0.8516,0.7479
87,0.8874,0.7361
88,0.8482,0.7419
89,0.8757,0.7343
90,0.8379,0.7466
91,0.8275,0.7506
92,0.827,0.7498
93,0.8191,0.7505
94,0.8199,0.7495
95,0.8588,0.737
96,0.8386,0.7421
97,0.8408,0.7507
98,0.8365,0.7574
99,0.8319,0.7527
100,0.8045,0.7547
101,0.7724,0.7661
102,0.7867,0.7604
103,0.7828,0.762
104,0.7756,0.7615
105,0.8311,0.7513
106,0.8397,0.7489
107,0.8165,0.7554
108,0.8009,0.7608
109,0.792,0.7665
110,0.7815,0.7659
111,0.7904,0.7629
112,0.7765,0.7671
113,0.7947,0.7616
114,0.7915,0.7616
115,0.7884,0.7579
116,0.7871,0.7604
117,0.7901,0.7643
118,0.8046,0.7572
119,0.8014,0.7606
120,0.7868,0.7639
121,0.7689,0.7688
122,0.7797,0.7669
123,0.8098,0.755
124,0.7612,0.7663
125,0.7673,0.7687
126,0.7598,0.7689
127,0.7797,0.7611
128,0.7814,0.7678
129,0.7722,0.7689
130,0.7556,0.7694
131,0.7567,0.77
132,0.7486,0.7711
133,0.759,0.7657
134,0.7381,0.7728
135,0.7513,0.7707
136,0.7465,0.772
137,0.7797,0.7635
138,0.7604,0.7688
139,0.7543,0.7705
140,0.7399,0.7734
141,0.7421,0.7724
142,0.7427,0.7725
143,0.7421,0.7729
144,0.7399,0.774
145,0.7367,0.7747
146,0.7432,0.77
147,0.7396,0.7705
148,0.7496,0.7664
149,0.7482,0.7667
150,0.7444,0.7685
151,0.737,0.7719
152,0.7362,0.7741
153,0.7361,0.7737
154,0.7288,0.7766
155,0.7285,0.7775
156,0.7236,0.7764
157,0.7198,0.7783
158,0.7182,0.7802
159,0.7215,0.7777
160,0.7208,0.7789
161,0.7204,0.7759
162,0.7194,0.7784
163,0.7169,0.7799
164,0.7149,0.7814
165,0.7185,0.7789
166,0.7193,0.7786
167,0.7206,0.7768
168,0.7241,0.7762
169,0.7285,0.7752
170,0.7225,0.7761
171,0.7248,0.7757
172,0.7196,0.7755
173,0.7279,0.7725
174,0.7363,0.7713
175,0.7254,0.7745
176,0.7346,0.7692
177,0.7286,0.7705
178,0.7386,0.7681
179,0.7387,0.7698
180,0.7379,0.7703
181,0.7354,0.7725
182,0.7398,0.7698
183,0.7302,0.7748
184,0.7365,0.7716
185,0.7471,0.7671
186,0.7351,0.771
187,0.7205,0.7768
188,0.7201,0.7773
189,0.7229,0.7757
190,0.72,0.7771
191,0.7128,0.7774
192,0.7132,0.777
193,0.7146,0.7781
194,0.7066,0.7803
195,0.7047,0.7811
196,0.7099,0.7798
197,0.7073,0.7809
198,0.7045,0.782
199,0.7006,0.7824
200,0.7016,0.7821
201,0.7029,0.7822
202,0.7015,0.7825
203,0.701,0.7826
204,0.7039,0.7813
205,0.7063,0.7809
206,0.6982,0.7824
207,0.6988,0.7823
208,0.6982,0.7841
209,0.7,0.784
210,0.7036,0.7831
211,0.7011,0.7835
212,0.6972,0.7847
213,0.6953,0.785
214,0.6955,0.7845
215,0.6971,0.7852
216,0.7044,0.7833
217,0.7054,0.7837
