Round,Aggregated Test Loss,Aggregated Test Acc
1,3.9005,0.0915
2,3.3082,0.289
3,2.8068,0.3425
4,2.4523,0.3952
5,2.2742,0.4207
6,2.1796,0.4552
7,1.9698,0.4798
8,1.8982,0.5002
9,1.7592,0.5324
10,1.7076,0.5439
11,1.7321,0.5317
12,1.6134,0.5655
13,1.6905,0.5549
14,1.5111,0.5933
15,1.4465,0.6019
16,1.4195,0.6073
17,1.3916,0.6112
18,1.3505,0.621
19,1.4759,0.6021
20,1.298,0.6336
21,1.2921,0.64
22,1.279,0.6415
23,1.2738,0.6441
24,1.3601,0.6265
25,1.2455,0.6469
26,1.2519,0.6483
27,1.2952,0.6467
28,1.2768,0.636
29,1.204,0.6583
30,1.2529,0.6539
31,1.2047,0.66
32,1.1868,0.6679
33,1.2304,0.6616
34,1.1701,0.6718
35,1.1893,0.67
36,1.1813,0.6769
37,1.1736,0.6717
38,1.155,0.6734
39,1.1259,0.6869
40,1.171,0.6668
41,1.1648,0.6737
42,1.1472,0.6783
43,1.1101,0.684
44,1.1071,0.6866
45,1.1094,0.6837
46,1.0994,0.6919
47,1.1558,0.6806
48,1.083,0.6956
49,1.0978,0.6893
50,1.0966,0.6945
51,1.0777,0.7013
52,1.0773,0.703
53,1.0767,0.6999
54,1.0499,0.7005
55,1.0625,0.7004
56,1.0376,0.7066
57,1.0622,0.6958
58,1.0648,0.6945
59,1.0442,0.707
60,1.0573,0.7003
61,1.0531,0.7046
62,1.0576,0.7056
63,1.0472,0.7035
64,1.0393,0.709
65,1.0406,0.7068
66,1.0632,0.7032
67,1.0513,0.7008
68,1.0469,0.7022
69,1.0545,0.7001
70,1.0223,0.7075
71,1.0544,0.7032
72,1.0448,0.7072
73,1.0467,0.7042
74,1.03,0.7107
75,1.0206,0.7136
76,1.0312,0.7088
77,1.0276,0.7115
78,1.0228,0.7139
79,1.0385,0.7134
80,1.0283,0.7134
81,1.0074,0.7164
82,1.0076,0.7173
83,1.0058,0.7177
84,1.0138,0.714
