Round,Aggregated Test Loss,Aggregated Test Acc
1,3.9135,0.1908
2,3.2435,0.3208
3,2.9717,0.3431
4,2.647,0.3901
5,2.5015,0.4063
6,2.1935,0.4595
7,2.2053,0.4546
8,1.879,0.5113
9,1.7883,0.5383
10,1.5673,0.5853
11,1.7186,0.5589
12,1.4818,0.6109
13,1.411,0.614
14,1.4647,0.5936
15,1.2962,0.639
16,1.3255,0.6303
17,1.3791,0.6116
18,1.2558,0.6481
19,1.2004,0.6652
20,1.1988,0.6623
21,1.1858,0.6633
22,1.235,0.6508
23,1.1862,0.6615
24,1.0591,0.7005
25,1.086,0.6877
26,1.0612,0.6933
27,1.1718,0.666
28,0.9812,0.7134
29,0.9742,0.7081
30,0.9682,0.7177
31,0.9712,0.7213
32,1.0695,0.6896
33,1.0707,0.6828
34,0.9311,0.7251
35,0.9656,0.7159
36,0.9913,0.7052
37,0.9361,0.7103
38,0.9218,0.7167
39,0.9556,0.7067
40,0.9376,0.7141
41,0.929,0.7179
42,0.9604,0.7192
43,1.0238,0.6898
44,1.0008,0.701
45,1.0978,0.6781
46,1.0036,0.6948
47,1.0201,0.695
48,0.8849,0.7319
49,0.8717,0.7388
50,0.946,0.729
51,0.8797,0.7419
52,0.8753,0.7418
53,0.8854,0.744
54,0.9226,0.7372
55,1.0275,0.7209
56,0.9376,0.7344
57,0.8884,0.7422
58,0.8859,0.7405
59,0.8507,0.7467
60,0.8873,0.737
61,0.8603,0.7484
62,0.8504,0.7448
63,0.8602,0.7489
64,0.8604,0.7435
65,0.8667,0.7483
66,0.906,0.7348
67,0.8457,0.7486
68,0.847,0.7479
69,0.8314,0.7528
70,0.8688,0.7396
71,0.8233,0.7589
72,0.8056,0.7574
73,0.8009,0.7592
74,0.8274,0.7568
75,0.83,0.7609
76,0.7948,0.7607
77,0.7909,0.7652
78,0.7948,0.763
79,0.7928,0.7648
80,0.8094,0.7576
81,0.8154,0.7597
82,0.81,0.7579
83,0.8166,0.751
84,0.801,0.7571
85,0.785,0.763
86,0.8051,0.7511
87,0.7853,0.7587
88,0.7738,0.7617
89,0.7724,0.7636
90,0.8007,0.7532
91,0.7547,0.767
92,0.7907,0.7567
93,0.8026,0.7536
94,0.7536,0.7689
95,0.7733,0.7639
96,0.7558,0.7713
97,0.7449,0.7757
98,0.7573,0.7692
99,0.7367,0.775
100,0.744,0.7738
101,0.7589,0.7686
102,0.7472,0.7706
103,0.7509,0.769
104,0.7383,0.7707
105,0.7341,0.7744
106,0.7262,0.7784
107,0.7265,0.7766
108,0.7275,0.7765
109,0.7289,0.7795
110,0.7299,0.7788
111,0.7269,0.7766
112,0.7309,0.7745
113,0.7273,0.7764
114,0.7265,0.775
115,0.7404,0.7716
