Round,Aggregated Test Loss,Aggregated Test Acc
1,3.8461,0.1425
2,3.7245,0.23
3,3.6067,0.2271
4,3.1292,0.2976
5,3.0064,0.4039
6,2.5576,0.386
7,2.5533,0.3947
8,2.064,0.4799
9,2.1049,0.4786
10,2.2346,0.4855
11,1.8824,0.5329
12,1.7548,0.5544
13,1.6394,0.5698
14,1.6193,0.5648
15,1.5767,0.5842
16,1.4518,0.6069
17,1.4251,0.608
18,1.6513,0.5637
19,1.6706,0.5617
20,1.4544,0.5871
21,1.4528,0.5872
22,1.3243,0.6279
23,1.4833,0.6171
24,1.2322,0.6578
25,1.1707,0.6657
26,1.2365,0.6426
27,1.1603,0.6616
28,1.1943,0.6515
29,1.16,0.6845
30,1.1266,0.682
31,1.1859,0.6575
32,1.2339,0.6496
33,1.2274,0.6526
34,1.1067,0.6829
35,1.113,0.6877
36,1.1352,0.6798
37,1.1162,0.6922
38,1.0722,0.7013
39,1.0516,0.7037
40,1.0914,0.692
41,1.0853,0.6945
42,1.0315,0.6939
43,1.0755,0.6951
44,1.0623,0.6955
45,1.2158,0.6516
46,1.0452,0.6998
47,1.0327,0.6887
48,1.0424,0.6911
49,1.0542,0.6874
50,1.1898,0.649
51,1.1103,0.6719
52,1.0918,0.6737
53,1.0979,0.68
54,1.0718,0.6837
55,1.1655,0.6641
56,1.2657,0.6319
57,0.9157,0.7262
58,0.9789,0.7038
59,0.9427,0.7274
60,1.0242,0.7081
61,1.0355,0.6987
62,0.9976,0.7169
63,1.0107,0.7104
64,1.0414,0.7052
65,0.8984,0.7368
66,0.932,0.7281
67,0.8945,0.7365
68,0.879,0.7395
69,0.9166,0.7202
70,0.9244,0.7209
71,0.9065,0.7291
72,0.921,0.7154
73,0.9691,0.6984
74,0.8755,0.7336
75,0.8717,0.7361
76,0.8969,0.7289
77,0.9092,0.7271
78,0.8995,0.7296
79,0.828,0.7484
80,0.8467,0.7419
81,0.8487,0.7389
82,0.8482,0.7389
83,0.8486,0.7421
84,0.8604,0.738
85,0.8683,0.7365
86,0.8793,0.7352
87,0.8828,0.729
88,0.887,0.7302
89,0.8855,0.7366
90,0.8879,0.7315
91,0.8854,0.7286
92,0.8632,0.7383
93,0.9066,0.7297
94,0.9261,0.7211
95,0.9377,0.7135
96,0.9659,0.7045
97,0.985,0.6994
98,0.9777,0.7037
99,0.9221,0.7214
100,0.9092,0.7229
101,0.897,0.7286
102,0.9048,0.7191
103,0.9315,0.7161
104,0.954,0.7081
105,0.862,0.7307
106,0.8327,0.7411
107,0.872,0.7254
108,0.8412,0.7433
109,0.8633,0.7352
110,0.8525,0.7408
111,0.84,0.7431
112,0.7987,0.7536
113,0.8234,0.7468
114,0.7739,0.7632
115,0.752,0.7681
116,0.8039,0.7467
117,0.7794,0.7581
118,0.7613,0.7651
119,0.7754,0.7572
120,0.7806,0.754
121,0.7763,0.755
122,0.7739,0.7549
123,0.7657,0.76
124,0.7671,0.7587
125,0.7678,0.7565
126,0.7747,0.7521
127,0.7438,0.7638
128,0.7513,0.7604
129,0.7635,0.7565
130,0.7717,0.7502
131,0.7678,0.7606
132,0.7482,0.7642
133,0.7385,0.7681
134,0.744,0.7655
135,0.7409,0.7675
136,0.7524,0.7654
137,0.7519,0.766
138,0.7325,0.7736
139,0.7325,0.773
140,0.7422,0.7681
141,0.7484,0.7649
142,0.7429,0.7693
143,0.7404,0.7702
144,0.7553,0.7638
145,0.7466,0.7644
146,0.7411,0.7701
147,0.7454,0.7667
148,0.7424,0.7684
149,0.752,0.761
150,0.7636,0.7571
151,0.7789,0.7521
152,0.7743,0.7543
153,0.7952,0.7475
154,0.8175,0.7421
155,0.7707,0.7547
156,0.7568,0.7602
157,0.7482,0.7637
158,0.7556,0.7603
159,0.7366,0.767
160,0.7574,0.7589
161,0.746,0.7651
162,0.7481,0.7645
163,0.7442,0.7669
164,0.7465,0.7646
165,0.7309,0.7704
166,0.7238,0.7738
167,0.7237,0.774
168,0.7253,0.7726
169,0.7302,0.7701
170,0.7043,0.7796
171,0.7105,0.7772
172,0.7149,0.776
173,0.7151,0.7764
174,0.7076,0.7796
175,0.7094,0.7796
176,0.7084,0.7807
177,0.7066,0.7813
178,0.7033,0.78
179,0.7023,0.7806
180,0.7122,0.775
181,0.7192,0.7729
182,0.7261,0.7689
183,0.7249,0.7687
184,0.7057,0.7772
185,0.7021,0.7783
186,0.7019,0.7784
187,0.7054,0.7774
188,0.7105,0.7744
189,0.7166,0.7722
190,0.7164,0.7722
191,0.7118,0.7772
192,0.71,0.778
193,0.7088,0.7788
194,0.7183,0.7747
195,0.7099,0.7784
196,0.7134,0.7779
197,0.7119,0.7777
198,0.7102,0.7776
199,0.7133,0.7774
200,0.7136,0.7795
201,0.7132,0.7782
202,0.7125,0.778
203,0.719,0.7751
204,0.7212,0.7751
205,0.7257,0.7733
206,0.7307,0.7714
207,0.7384,0.7702
208,0.7391,0.7696
209,0.7383,0.7696
210,0.7361,0.7732
211,0.7375,0.772
212,0.7423,0.7691
213,0.7406,0.7691
214,0.7405,0.7706
215,0.742,0.7677
216,0.731,0.7734
217,0.7348,0.7714
218,0.7264,0.7751
219,0.7245,0.7753
220,0.7182,0.7774
221,0.7187,0.7755
222,0.7154,0.7766
223,0.7136,0.7789
224,0.7099,0.78
225,0.7096,0.7803
226,0.712,0.7792
227,0.713,0.7784
228,0.7119,0.7787
229,0.7107,0.7805
230,0.7144,0.7798
231,0.7132,0.7799
232,0.7122,0.7818
233,0.7105,0.782
234,0.7048,0.7838
235,0.7047,0.7822
236,0.6973,0.7839
237,0.7018,0.7828
238,0.7013,0.7825
239,0.7022,0.7819
240,0.7006,0.7836
241,0.7001,0.7839
242,0.6974,0.7848
243,0.6889,0.7873
244,0.6868,0.7871
245,0.6902,0.7841
246,0.691,0.7836
247,0.6922,0.7836
248,0.6943,0.7841
249,0.691,0.7852
250,0.694,0.7846
251,0.696,0.7833
252,0.6858,0.7865
253,0.6885,0.7858
254,0.6917,0.785
255,0.6971,0.782
256,0.6946,0.7825
257,0.6882,0.7847
258,0.6862,0.786
259,0.6876,0.7842
260,0.6814,0.7868
261,0.6804,0.7868
262,0.6828,0.785
263,0.6839,0.7837
264,0.6905,0.7819
265,0.6869,0.7835
266,0.6863,0.7839
267,0.6865,0.784
268,0.6851,0.7853
269,0.686,0.785
270,0.6863,0.7856
271,0.6898,0.7827
272,0.693,0.7815
273,0.6884,0.7848
274,0.6903,0.7832
275,0.6941,0.7812
276,0.6958,0.7813
277,0.7071,0.7785
278,0.7102,0.7775
279,0.706,0.7787
280,0.7022,0.7804
281,0.702,0.7802
282,0.7032,0.7796
283,0.7006,0.7807
284,0.7018,0.7806
285,0.6985,0.7827
286,0.7058,0.7805
287,0.7057,0.7804
288,0.7128,0.7792
289,0.7069,0.7804
290,0.7085,0.78
291,0.7054,0.7803
292,0.6979,0.7836
293,0.7037,0.7819
294,0.7028,0.7838
295,0.7018,0.7836
296,0.6991,0.7842
297,0.6998,0.7839
298,0.7001,0.7843
299,0.6982,0.7843
300,0.698,0.7851
