Round,Aggregated Test Loss,Aggregated Test Acc
1,3.8461,0.1425
2,3.7203,0.2386
3,3.5903,0.2637
4,3.1554,0.3423
5,3.1404,0.4239
6,2.5083,0.3948
7,2.549,0.4195
8,2.0404,0.486
9,2.1267,0.4737
10,2.2058,0.4925
11,2.11,0.5137
12,1.9777,0.5052
13,1.6868,0.5614
14,1.7398,0.5305
15,1.5972,0.5764
16,1.4981,0.5936
17,1.4489,0.5964
18,1.5691,0.5737
19,1.5779,0.5746
20,1.3616,0.6083
21,1.3617,0.6036
22,1.2704,0.6468
23,1.394,0.6315
24,1.2018,0.6708
25,1.1257,0.6802
26,1.1778,0.6591
27,1.1035,0.6738
28,1.1014,0.6749
29,1.1101,0.6919
30,1.0876,0.684
31,1.0936,0.6778
32,1.1276,0.673
33,1.1113,0.6753
34,0.9982,0.7109
35,0.9939,0.7112
36,1.0125,0.7102
37,1.042,0.703
38,1.0251,0.7038
39,0.9847,0.7125
40,1.0831,0.6814
41,1.0684,0.6848
42,0.9908,0.7083
43,1.0038,0.7146
44,0.9677,0.7201
45,1.0513,0.6994
46,0.9892,0.7127
47,0.9676,0.7068
48,0.9985,0.702
49,0.9645,0.7091
50,1.0585,0.6836
51,0.9617,0.7087
52,0.9309,0.721
53,0.9649,0.7095
54,0.9092,0.7242
55,0.9591,0.7131
56,1.0696,0.6779
57,0.8797,0.7339
58,0.9274,0.7185
59,0.8527,0.7467
60,0.9101,0.734
61,0.9365,0.7199
62,0.8945,0.7358
63,0.8756,0.7351
64,0.9249,0.7249
65,0.8602,0.7414
66,0.9033,0.7304
67,0.8459,0.7466
68,0.8279,0.7521
69,0.8551,0.7358
70,0.8908,0.7252
71,0.8804,0.7305
72,0.8684,0.7295
73,0.9121,0.7113
74,0.8298,0.7441
75,0.8073,0.7517
76,0.8731,0.7309
77,0.8733,0.7322
78,0.8218,0.7474
79,0.7915,0.7587
80,0.7937,0.7568
81,0.7886,0.7588
82,0.7872,0.759
83,0.7836,0.7637
84,0.7954,0.7593
85,0.8015,0.7556
86,0.8209,0.751
87,0.8235,0.7474
88,0.8178,0.7521
89,0.7911,0.7574
90,0.7952,0.7553
91,0.7891,0.7564
92,0.7835,0.7607
93,0.8183,0.7558
94,0.8212,0.7538
95,0.8358,0.7466
96,0.8173,0.7498
97,0.8257,0.7437
98,0.8436,0.7411
99,0.8467,0.7425
100,0.8529,0.7429
101,0.8219,0.7524
102,0.8143,0.7497
103,0.8242,0.751
104,0.8581,0.7352
105,0.7893,0.7557
106,0.7636,0.7662
107,0.7872,0.7557
108,0.7766,0.7634
109,0.7915,0.7552
110,0.8019,0.7565
111,0.8112,0.7522
112,0.7644,0.7684
113,0.7931,0.7621
114,0.7758,0.7683
115,0.7533,0.774
116,0.776,0.7601
117,0.7388,0.7737
118,0.7299,0.778
119,0.7325,0.775
120,0.7472,0.7701
121,0.746,0.7716
122,0.7605,0.7661
123,0.7532,0.7706
124,0.7538,0.7692
125,0.7617,0.7627
126,0.7641,0.7604
127,0.7387,0.7704
128,0.7343,0.7714
129,0.7353,0.7705
130,0.7542,0.7634
131,0.7239,0.777
132,0.7249,0.7789
133,0.718,0.7815
134,0.7252,0.7787
135,0.7231,0.7811
136,0.7271,0.7801
137,0.7433,0.7763
138,0.7286,0.7828
139,0.7275,0.783
140,0.732,0.7778
141,0.7582,0.7705
142,0.7609,0.7733
143,0.762,0.7734
144,0.7632,0.7696
145,0.7538,0.7708
146,0.7679,0.773
147,0.7702,0.7702
148,0.7604,0.7733
149,0.7456,0.7727
150,0.7505,0.7716
151,0.7722,0.7648
152,0.7657,0.7671
153,0.7918,0.7599
154,0.8212,0.7513
155,0.763,0.7647
156,0.7517,0.7699
157,0.7541,0.7699
158,0.782,0.7628
159,0.7576,0.7686
160,0.7834,0.7599
161,0.7619,0.7653
162,0.7644,0.7642
163,0.7578,0.7688
164,0.7682,0.7651
165,0.7349,0.7745
166,0.723,0.7787
167,0.7272,0.7773
168,0.7338,0.776
169,0.7391,0.773
170,0.7165,0.7826
171,0.7242,0.7814
172,0.7277,0.779
173,0.7268,0.7797
174,0.711,0.7838
175,0.7142,0.7835
176,0.7173,0.7829
177,0.713,0.7832
178,0.7103,0.7842
179,0.7076,0.7845
180,0.7207,0.7782
181,0.7364,0.7732
182,0.744,0.7689
183,0.7408,0.7701
184,0.7155,0.7797
185,0.7106,0.7816
186,0.7098,0.7814
187,0.7145,0.7802
188,0.7147,0.7773
189,0.7197,0.7759
190,0.7111,0.7781
191,0.7096,0.7808
192,0.7083,0.7822
193,0.7073,0.7846
194,0.7158,0.7799
195,0.7104,0.7842
196,0.7146,0.7838
197,0.7145,0.784
198,0.7122,0.7842
199,0.7084,0.7844
200,0.7081,0.7868
201,0.7072,0.7867
202,0.7112,0.785
203,0.7201,0.7814
204,0.7232,0.7812
205,0.727,0.7788
206,0.7328,0.7768
207,0.7366,0.7763
208,0.7382,0.775
209,0.7322,0.7771
210,0.733,0.7795
211,0.7372,0.778
212,0.7485,0.7731
213,0.7446,0.7735
214,0.7424,0.7758
215,0.7391,0.7743
216,0.7322,0.7782
217,0.7361,0.7755
218,0.7309,0.7781
219,0.7319,0.778
220,0.7216,0.7818
221,0.7301,0.7774
222,0.7217,0.7807
223,0.7167,0.7837
224,0.7117,0.7847
225,0.7128,0.7849
226,0.7148,0.7843
227,0.7196,0.7822
228,0.7147,0.7832
229,0.7155,0.7843
230,0.7204,0.7827
231,0.7193,0.7828
232,0.7188,0.7854
233,0.7217,0.7834
234,0.7149,0.7855
235,0.7144,0.7845
236,0.7023,0.7872
237,0.7071,0.7858
238,0.7088,0.7859
239,0.7104,0.7853
240,0.7086,0.786
241,0.7082,0.7864
242,0.7066,0.7872
243,0.6987,0.7888
244,0.6996,0.7879
245,0.7023,0.7846
246,0.7029,0.7846
247,0.7007,0.7868
248,0.6998,0.7864
249,0.7002,0.7869
250,0.7063,0.787
251,0.7063,0.7867
252,0.6982,0.7884
253,0.7028,0.7879
254,0.7069,0.7862
255,0.7168,0.7831
256,0.7126,0.7838
257,0.7057,0.786
258,0.7032,0.7871
259,0.7013,0.7861
