Round,Aggregated Test Loss,Aggregated Test Acc
1,4.4648,0.0457
2,4.2012,0.0842
3,4.5435,0.1323
4,4.3572,0.1375
5,4.8818,0.1628
6,4.3931,0.1663
7,4.1187,0.1884
8,4.3348,0.1888
9,4.2094,0.191
10,4.4156,0.2118
11,3.9649,0.2221
12,3.9543,0.2086
13,3.9333,0.2244
14,3.9526,0.231
15,3.965,0.2338
16,4.1971,0.2334
17,3.8971,0.246
18,3.8455,0.242
19,3.8458,0.2476
20,3.8302,0.2578
21,3.8239,0.2596
22,3.7593,0.2739
23,3.6728,0.2692
24,3.5886,0.2616
25,3.7069,0.2699
26,3.5987,0.2664
27,3.7145,0.2668
28,3.7035,0.2655
29,3.8052,0.2605
30,3.7413,0.266
31,3.653,0.2749
32,3.5822,0.277
33,3.4954,0.2786
34,3.5436,0.2802
35,3.5388,0.2785
36,3.3643,0.2809
37,3.4087,0.2806
38,3.4228,0.2884
39,3.5447,0.2837
40,3.5356,0.2869
41,3.5288,0.2844
42,3.4743,0.2882
43,3.4945,0.2923
44,3.473,0.2929
45,3.4607,0.2949
46,3.414,0.2953
47,3.3957,0.2944
48,3.4009,0.2984
49,3.4279,0.2914
50,3.4258,0.2927
51,3.4225,0.2966
52,3.3673,0.2974
53,3.3612,0.2981
54,3.3337,0.2997
55,3.3352,0.2995
56,3.3028,0.305
57,3.2818,0.3079
58,3.2964,0.3065
59,3.2813,0.305
60,3.3021,0.3084
61,3.2835,0.3099
62,3.3173,0.3105
63,3.326,0.3112
64,3.3038,0.3115
65,3.3049,0.3133
66,3.3087,0.3096
67,3.2992,0.3117
68,3.3282,0.311
69,3.3427,0.3109
70,3.3247,0.3076
71,3.2873,0.3137
72,3.2922,0.3142
73,3.2773,0.3146
74,3.2727,0.3182
75,3.2498,0.3158
76,3.2645,0.3159
77,3.2457,0.3176
78,3.2476,0.3189
79,3.2416,0.3183
80,3.2296,0.3203
81,3.1939,0.3224
82,3.2083,0.3216
83,3.2209,0.3188
84,3.2207,0.32
85,3.1966,0.3232
86,3.2109,0.3216
87,3.193,0.3187
88,3.195,0.3211
89,3.2116,0.3225
90,3.1993,0.3202
91,3.197,0.3196
92,3.1927,0.3206
93,3.2021,0.3193
94,3.197,0.3212
95,3.1897,0.3191
96,3.1656,0.3197
97,3.1699,0.3206
98,3.1851,0.3217
99,3.1956,0.3199
100,3.191,0.3222
101,3.1745,0.3223
102,3.1739,0.3216
103,3.1824,0.3211
104,3.1825,0.3235
105,3.1741,0.3235
106,3.1641,0.324
107,3.1611,0.3228
108,3.1609,0.3228
109,3.1626,0.324
110,3.1106,0.3255
111,3.1145,0.3237
112,3.1324,0.3234
113,3.1255,0.3226
114,3.1202,0.3234
115,3.1146,0.3243
116,3.1226,0.3254
117,3.1212,0.3245
118,3.1231,0.3278
119,3.1301,0.327
120,3.1225,0.3281
121,3.1182,0.3286
122,3.1091,0.328
123,3.1103,0.3295
124,3.1119,0.3294
125,3.1137,0.3297
126,3.1125,0.329
127,3.1149,0.3284
128,3.1153,0.3285
129,3.1137,0.3295
130,3.1099,0.3289
131,3.1096,0.3282
132,3.111,0.3282
133,3.1094,0.3286
134,3.1035,0.3301
135,3.104,0.3302
136,3.0987,0.3285
137,3.0955,0.3315
138,3.0962,0.3306
139,3.0983,0.3309
140,3.096,0.3307
141,3.0974,0.3312
142,3.0955,0.3309
143,3.0888,0.3304
144,3.0903,0.3292
145,3.0808,0.3304
146,3.0834,0.3304
147,3.0763,0.3312
148,3.0757,0.3307
149,3.0762,0.3316
150,3.0786,0.3314
151,3.0805,0.3308
152,3.0739,0.3317
153,3.0789,0.3322
154,3.0804,0.3315
155,3.0839,0.3324
156,3.0797,0.3315
157,3.0735,0.3309
158,3.0759,0.3317
159,3.077,0.3318
160,3.0794,0.3316
161,3.0812,0.3314
162,3.0808,0.3309
163,3.0824,0.3304
164,3.0803,0.3309
165,3.0834,0.3314
166,3.0839,0.3322
167,3.0831,0.3314
168,3.0786,0.3308
169,3.0796,0.3315
170,3.078,0.3305
171,3.0769,0.3313
172,3.074,0.3313
173,3.075,0.3323
174,3.0755,0.3321
175,3.0762,0.3327
176,3.0744,0.3326
177,3.0742,0.3329
178,3.0764,0.3329
179,3.0746,0.3316
180,3.0756,0.3327
181,3.0699,0.3326
182,3.0719,0.3322
183,3.0659,0.3329
184,3.0667,0.3332
185,3.0669,0.3324
186,3.0678,0.333
187,3.0676,0.3331
188,3.0608,0.3329
189,3.0593,0.3341
190,3.0598,0.3339
191,3.0592,0.3337
192,3.0594,0.3334
193,3.0591,0.3333
194,3.0581,0.3339
195,3.0584,0.3338
196,3.0597,0.3337
197,3.0606,0.3338
198,3.061,0.334
199,3.0615,0.3339
200,3.0623,0.334
201,3.0634,0.3335
202,3.0627,0.3342
203,3.063,0.3341
204,3.0635,0.3345
205,3.0648,0.334
206,3.0656,0.335
207,3.066,0.3349
208,3.0647,0.3347
209,3.065,0.3348
210,3.0662,0.3349
211,3.0666,0.335
212,3.0679,0.3341
213,3.0687,0.3341
214,3.0697,0.3343
215,3.0702,0.3343
216,3.0704,0.3344
217,3.0704,0.335
218,3.07,0.3343
219,3.0707,0.3343
220,3.0725,0.3342
221,3.07,0.3342
222,3.0652,0.3338
223,3.0654,0.3338
224,3.0653,0.3344
225,3.0664,0.3344
226,3.0627,0.3352
227,3.0598,0.3346
228,3.0592,0.3347
229,3.0581,0.3348
230,3.0582,0.3347
231,3.0574,0.3348
232,3.0577,0.3351
233,3.0578,0.3358
234,3.0583,0.3356
235,3.0589,0.3353
236,3.0583,0.3347
237,3.0581,0.3348
238,3.0583,0.3346
239,3.0586,0.3351
240,3.0599,0.3354
241,3.0599,0.3352
242,3.0586,0.3352
243,3.0594,0.3351
244,3.0598,0.3351
245,3.0578,0.335
246,3.0569,0.3355
247,3.0587,0.3355
248,3.0592,0.3355
249,3.0587,0.3364
250,3.0581,0.3356
251,3.0585,0.3352
252,3.0578,0.3351
253,3.0587,0.3351
254,3.0577,0.3352
255,3.0572,0.3353
256,3.0568,0.3349
257,3.0566,0.3354
258,3.058,0.3352
259,3.0588,0.3353
260,3.0598,0.3351
261,3.0595,0.3351
262,3.0607,0.3352
263,3.0613,0.3349
264,3.062,0.3351
265,3.063,0.3351
266,3.0613,0.336
267,3.0602,0.3358
268,3.0589,0.3358
269,3.059,0.3353
270,3.0598,0.3353
271,3.0589,0.3353
272,3.0584,0.335
273,3.0591,0.3351
274,3.0585,0.335
275,3.056,0.3349
276,3.0562,0.3343
277,3.0565,0.3349
278,3.0558,0.3352
279,3.0562,0.3356
280,3.0542,0.3357
281,3.0542,0.3356
282,3.0511,0.3358
283,3.0484,0.3353
284,3.0487,0.3351
285,3.0485,0.3347
286,3.0476,0.3348
287,3.0492,0.3352
288,3.0497,0.335
289,3.0498,0.3347
290,3.0509,0.3349
291,3.0503,0.3341
292,3.0511,0.3345
293,3.0515,0.3347
294,3.0519,0.3343
295,3.0523,0.3343
296,3.0516,0.3349
297,3.0495,0.3356
298,3.049,0.3351
299,3.0491,0.3351
300,3.05,0.3357
