Round,Aggregated Test Loss,Aggregated Test Acc
1,4.7906,0.0505
2,5.0604,0.1073
3,5.1398,0.1357
4,5.3666,0.1485
5,5.0792,0.1547
6,5.2786,0.1681
7,5.1161,0.171
8,4.8791,0.1814
9,4.7803,0.1905
10,4.7468,0.2011
11,4.8472,0.2041
12,4.7529,0.2098
13,4.591,0.2081
14,4.5229,0.2148
15,4.4072,0.2204
16,4.4994,0.2186
17,4.3138,0.2213
18,4.3306,0.2218
19,4.3525,0.2201
20,4.2518,0.2223
21,4.2804,0.2322
22,4.1695,0.232
23,4.1697,0.2319
24,4.2245,0.2396
25,4.2237,0.2336
26,4.1806,0.2342
27,4.0597,0.2387
28,4.1395,0.2272
29,4.1333,0.2373
30,4.0852,0.2331
31,4.0998,0.2386
32,4.1339,0.2367
33,4.025,0.2361
34,4.0387,0.2397
35,4.0143,0.2401
36,4.0157,0.2412
37,4.0444,0.2411
38,3.9779,0.2437
39,3.9831,0.2398
40,3.9217,0.2473
41,3.9272,0.2438
42,3.9795,0.2448
43,3.9843,0.2473
44,3.9155,0.2493
45,3.8858,0.2516
46,3.8982,0.2467
47,3.8812,0.2532
48,3.8953,0.2502
49,3.9847,0.2458
50,3.8604,0.2509
51,3.8065,0.2518
52,3.8462,0.2524
53,3.9282,0.2495
54,3.8596,0.2512
55,3.8163,0.2501
56,3.8983,0.2454
57,3.863,0.2501
58,3.8529,0.2515
59,3.8466,0.2483
60,3.8425,0.2513
61,3.7784,0.2548
62,3.8526,0.2503
63,3.7982,0.2566
64,3.8039,0.2554
65,3.7948,0.2589
66,3.7674,0.2608
67,3.8037,0.2574
68,3.7991,0.2545
69,3.7679,0.2521
70,3.8137,0.2538
71,3.7708,0.2568
72,3.7999,0.2549
73,3.7945,0.2525
74,3.7841,0.2483
75,3.7771,0.2553
76,3.7704,0.2566
77,3.7468,0.2587
78,3.7266,0.2529
79,3.7495,0.2543
80,3.7728,0.2526
81,3.7951,0.253
82,3.7689,0.2567
83,3.7474,0.2539
84,3.7585,0.2566
85,3.7654,0.2545
86,3.795,0.2526
87,3.7965,0.251
88,3.8079,0.2489
89,3.7725,0.2517
90,3.7949,0.251
91,3.7399,0.2551
92,3.7615,0.2533
93,3.7147,0.2586
94,3.7328,0.2592
95,3.721,0.2564
96,3.6997,0.2565
97,3.7521,0.2533
98,3.7792,0.2522
99,3.7523,0.249
100,3.798,0.2502
101,3.7625,0.251
102,3.7705,0.2493
103,3.7455,0.2498
104,3.7478,0.2479
105,3.7566,0.2532
106,3.699,0.2595
107,3.7371,0.2485
108,3.706,0.2502
109,3.7742,0.2448
110,3.7736,0.2492
111,3.7102,0.2479
112,3.7488,0.2473
113,3.7396,0.2512
114,3.7282,0.2508
115,3.7115,0.2536
116,3.7166,0.2502
117,3.7154,0.2513
118,3.7275,0.2532
119,3.723,0.2473
120,3.7531,0.2445
121,3.7585,0.2458
122,3.7734,0.2451
123,3.7651,0.2489
124,3.7281,0.2528
125,3.7424,0.2474
126,3.7204,0.2474
127,3.7004,0.2486
128,3.718,0.25
129,3.7255,0.2497
130,3.7603,0.2446
131,3.7199,0.2485
132,3.7389,0.2452
133,3.7292,0.2476
134,3.7255,0.2423
135,3.7329,0.2426
136,3.7395,0.2443
137,3.7065,0.2461
138,3.7191,0.244
139,3.6967,0.2478
140,3.7007,0.2468
141,3.7317,0.2425
142,3.7442,0.2427
143,3.7297,0.2415
144,3.7474,0.2436
145,3.7553,0.2415
146,3.7585,0.2438
147,3.7818,0.2411
148,3.7256,0.2444
149,3.6937,0.2466
150,3.6915,0.2465
151,3.6859,0.2465
152,3.6883,0.247
153,3.7115,0.2427
154,3.7141,0.2434
155,3.6824,0.2478
156,3.6914,0.2476
157,3.6953,0.2472
158,3.6878,0.248
159,3.7006,0.2487
160,3.678,0.2479
161,3.6914,0.2473
162,3.7082,0.2461
163,3.7114,0.2439
164,3.7372,0.2405
165,3.7094,0.2414
166,3.7234,0.242
167,3.7147,0.2446
168,3.7591,0.2427
169,3.7193,0.2463
170,3.7109,0.2458
171,3.686,0.244
172,3.7099,0.2438
173,3.6981,0.2434
174,3.7196,0.244
175,3.726,0.2446
176,3.6876,0.2464
177,3.7164,0.2442
178,3.6927,0.2467
179,3.6996,0.2431
180,3.6968,0.2468
181,3.6887,0.2456
182,3.702,0.248
183,3.7068,0.2464
184,3.694,0.2472
185,3.7188,0.2429
186,3.736,0.2394
187,3.7172,0.2425
188,3.7355,0.2399
189,3.7043,0.2401
190,3.7156,0.2404
191,3.6909,0.2436
192,3.6986,0.2428
193,3.7036,0.2402
194,3.6742,0.2437
195,3.7063,0.244
196,3.703,0.2443
197,3.7503,0.2421
198,3.698,0.2429
199,3.7295,0.243
200,3.7308,0.2413
201,3.7279,0.2446
202,3.7175,0.2387
203,3.6971,0.2421
204,3.688,0.2435
205,3.6999,0.2452
206,3.6729,0.2411
207,3.6776,0.246
208,3.6657,0.2461
209,3.6819,0.245
210,3.715,0.2403
211,3.7118,0.2413
212,3.708,0.243
213,3.7296,0.2429
214,3.7321,0.2419
215,3.7421,0.2419
216,3.7685,0.2407
217,3.7352,0.2423
218,3.7364,0.2456
219,3.7174,0.2466
220,3.7205,0.2443
221,3.716,0.2466
222,3.6827,0.2446
223,3.698,0.2436
224,3.6913,0.244
225,3.6922,0.246
226,3.7087,0.2437
227,3.6866,0.2471
228,3.711,0.2445
229,3.7012,0.2438
230,3.6805,0.2448
231,3.6845,0.245
232,3.6891,0.2469
233,3.7086,0.2431
234,3.7037,0.2435
235,3.7339,0.2429
236,3.7451,0.244
237,3.7485,0.2418
238,3.7127,0.2443
239,3.6795,0.2471
240,3.6828,0.2462
241,3.7018,0.2453
242,3.705,0.2448
243,3.7107,0.2433
244,3.6929,0.2448
245,3.6935,0.2435
246,3.694,0.2432
247,3.7032,0.2438
248,3.7282,0.2427
249,3.6914,0.2468
250,3.7136,0.2444
251,3.7055,0.2449
252,3.6895,0.2439
253,3.6971,0.2428
254,3.6925,0.2449
255,3.6996,0.244
256,3.6805,0.2417
257,3.6793,0.2439
258,3.7395,0.2415
259,3.7321,0.2425
260,3.6938,0.2411
261,3.6914,0.2405
262,3.7119,0.2381
263,3.713,0.2414
264,3.7293,0.2384
265,3.7347,0.2388
266,3.7181,0.2384
267,3.7464,0.2378
268,3.7144,0.2414
269,3.7038,0.2421
270,3.6777,0.2438
271,3.6786,0.2444
272,3.6837,0.2438
273,3.6805,0.2442
274,3.7169,0.2424
275,3.6897,0.2413
276,3.6922,0.2397
277,3.6654,0.2442
278,3.6798,0.244
279,3.6657,0.2441
280,3.6658,0.2416
281,3.6814,0.2418
282,3.6815,0.2432
283,3.6986,0.2411
284,3.7049,0.2392
285,3.7118,0.2405
286,3.7049,0.2379
287,3.7231,0.2409
288,3.7363,0.2369
289,3.7121,0.2401
290,3.7417,0.2341
291,3.6953,0.241
292,3.6943,0.2412
293,3.7049,0.2399
294,3.6751,0.2426
295,3.7035,0.2402
296,3.6913,0.2445
297,3.6968,0.2415
298,3.6948,0.2407
299,3.7232,0.2356
300,3.7216,0.237
