Round,Aggregated Test Loss,Aggregated Test Acc
1,5.2254,0.0509
2,5.2976,0.0749
3,4.8791,0.0968
4,3.8454,0.1398
5,4.3059,0.1335
6,3.8795,0.1725
7,3.9706,0.1933
8,3.7086,0.1858
9,4.2574,0.1723
10,5.1679,0.153
11,4.5139,0.1851
12,4.5215,0.197
13,5.0751,0.1772
14,5.3629,0.1884
15,5.0538,0.2034
16,5.0668,0.1966
17,5.0698,0.1993
18,4.7722,0.205
19,4.502,0.2166
20,4.5194,0.2259
21,5.5576,0.2038
22,5.1751,0.2132
23,6.3946,0.191
24,6.6357,0.1839
25,6.1368,0.1971
26,6.2965,0.1973
27,5.4857,0.203
28,5.6444,0.1983
29,6.7054,0.1805
30,6.8311,0.1816
31,6.6651,0.1867
32,9.4563,0.1611
33,6.247,0.1894
34,6.1684,0.1923
35,6.2393,0.1861
36,6.2121,0.1895
37,5.6466,0.1994
38,5.0176,0.2107
39,4.909,0.2153
40,4.8879,0.2163
41,4.5624,0.2287
42,4.5701,0.2316
43,5.3518,0.2149
44,5.6458,0.2119
45,5.7873,0.2001
46,5.3148,0.2098
47,5.3346,0.2125
48,5.6037,0.2
49,5.4735,0.2002
50,5.5132,0.2015
51,5.4162,0.2085
52,5.4082,0.2061
53,5.9768,0.1847
54,5.7388,0.1999
55,5.1102,0.2228
56,5.3131,0.2153
57,5.2406,0.2175
58,5.5725,0.209
59,5.7705,0.2043
60,5.8001,0.2004
61,5.643,0.2074
62,5.6763,0.2077
63,5.2935,0.2179
64,5.3444,0.2174
65,5.9477,0.2037
66,5.952,0.1968
67,5.7652,0.1994
68,5.7566,0.1953
69,5.6266,0.1942
70,5.1716,0.2172
71,5.1567,0.2116
72,5.5494,0.196
73,5.5847,0.1991
74,5.2106,0.2125
75,5.1176,0.2172
76,5.0809,0.2126
77,5.2681,0.2026
78,5.008,0.2182
79,5.1693,0.2104
80,4.9358,0.2203
81,4.8547,0.2256
82,4.8561,0.2248
83,4.7051,0.2283
84,4.706,0.23
85,4.6191,0.2292
86,4.67,0.2307
87,4.6557,0.2257
88,4.6031,0.2279
89,4.6672,0.2263
90,4.5855,0.2308
91,4.5957,0.2316
92,4.6068,0.2286
93,4.7163,0.2273
94,4.7021,0.2302
95,4.8323,0.2215
96,4.8304,0.2239
97,4.859,0.2274
98,4.8784,0.2202
99,4.8584,0.2213
100,4.9387,0.2205
101,4.8264,0.2231
102,4.6607,0.2285
103,4.7603,0.2236
104,4.5941,0.229
105,4.7179,0.2253
106,4.605,0.2303
107,4.4929,0.2321
108,4.3698,0.2366
109,4.398,0.2382
110,4.4263,0.2392
111,4.4265,0.2373
112,4.616,0.2348
113,4.4789,0.2403
114,4.4912,0.2393
115,4.3892,0.2432
116,4.4937,0.2389
117,4.3441,0.2411
118,4.296,0.2442
119,4.3077,0.2405
120,4.332,0.2391
121,4.2539,0.2412
122,4.2234,0.2401
123,4.2451,0.2399
124,4.2334,0.2412
125,4.2344,0.2432
126,4.2159,0.2451
127,4.2052,0.246
128,4.1414,0.2453
129,4.0815,0.2511
130,4.0135,0.2529
131,4.0028,0.2541
132,3.9657,0.2551
133,3.9334,0.2562
134,3.9392,0.2571
135,3.9363,0.2603
136,3.9398,0.263
137,3.9365,0.2613
138,3.9684,0.2592
139,3.9448,0.2608
140,3.9079,0.2607
141,3.8632,0.2626
142,3.8751,0.2619
143,3.8453,0.2642
144,3.8226,0.2649
145,3.8194,0.2633
146,3.7999,0.2642
147,3.7874,0.2631
148,3.8008,0.2638
149,3.8127,0.2646
150,3.8102,0.2649
151,3.8248,0.2649
152,3.83,0.2655
153,3.8327,0.2678
154,3.8414,0.2671
155,3.8121,0.2667
