Round,Aggregated Test Loss,Aggregated Test Acc
1,4.4488,0.0418
2,4.3688,0.1061
3,4.4356,0.1318
4,4.5025,0.1364
5,5.3484,0.1311
6,4.2048,0.1616
7,4.7542,0.1623
8,4.0243,0.1776
9,4.2003,0.1947
10,4.2697,0.2033
11,4.1392,0.2022
12,4.0433,0.207
13,3.9868,0.2183
14,4.1035,0.1878
15,4.0614,0.2158
16,4.2614,0.2132
17,4.2052,0.2287
18,3.9241,0.2275
19,3.88,0.2452
20,3.9086,0.248
21,3.9574,0.2434
22,3.8212,0.2587
23,4.0503,0.2576
24,3.7608,0.254
25,3.8435,0.2594
26,3.8981,0.2321
27,3.6916,0.2727
28,3.8417,0.2707
29,3.5835,0.2544
30,3.6535,0.2721
31,3.7145,0.254
32,3.662,0.2702
33,3.9782,0.2483
34,3.7305,0.2483
35,3.5883,0.2772
36,3.4581,0.2776
37,3.6865,0.2666
38,3.5699,0.2867
39,3.7549,0.2851
40,3.5036,0.2874
41,3.6581,0.2736
42,3.7393,0.2788
43,3.786,0.2711
44,3.5013,0.2732
45,3.7285,0.2619
46,3.53,0.275
47,3.5578,0.2899
48,3.7957,0.2836
49,3.5294,0.2833
50,3.5588,0.2774
51,3.6705,0.2757
52,3.6268,0.2788
53,3.4676,0.285
54,3.4889,0.2684
55,3.4134,0.3014
56,3.469,0.2591
57,3.5085,0.285
58,3.6072,0.292
59,3.5162,0.2967
60,3.5832,0.2862
61,3.6512,0.2988
62,3.5411,0.2976
63,3.6339,0.2739
64,3.4638,0.2963
65,3.7633,0.2645
66,3.6129,0.2864
67,3.6961,0.2831
68,3.5373,0.293
69,3.5177,0.2882
70,3.4524,0.2892
71,3.5482,0.2949
72,3.4329,0.2798
73,3.4941,0.3023
74,3.3016,0.296
75,3.442,0.2992
76,3.8841,0.2603
77,3.5181,0.2779
78,3.4752,0.3002
79,3.3386,0.2947
80,3.4991,0.3069
81,3.508,0.2887
82,3.3472,0.2966
83,3.2409,0.2948
84,3.5195,0.2878
85,3.3831,0.2875
86,3.2592,0.3077
87,3.4429,0.305
88,3.4535,0.304
89,3.3708,0.3085
90,3.2834,0.3057
91,3.178,0.3227
92,3.4722,0.3105
93,3.4546,0.272
94,3.3142,0.3085
95,3.4808,0.2974
96,3.365,0.2877
97,3.3754,0.2953
98,3.218,0.3172
99,3.4365,0.303
100,3.1744,0.2886
101,3.3387,0.3124
102,3.4106,0.282
103,3.1847,0.3155
104,3.4264,0.2718
105,3.2939,0.3063
106,3.2765,0.3096
107,3.2672,0.3038
108,3.3445,0.2999
109,3.248,0.3105
110,3.4415,0.3
111,3.1236,0.2862
112,3.2585,0.3058
113,3.2326,0.3215
114,3.3293,0.2991
115,3.2793,0.2961
116,3.3905,0.3103
117,3.2869,0.3039
118,3.3834,0.3097
119,3.1124,0.3101
120,3.2368,0.2898
121,3.2148,0.3047
122,3.186,0.3116
123,3.2045,0.2847
124,3.3666,0.3121
125,3.198,0.3124
126,3.3474,0.3222
127,3.3835,0.3015
128,3.2176,0.3094
129,3.2813,0.3295
130,3.3525,0.2835
131,3.0902,0.3038
132,3.4171,0.2864
133,3.3228,0.31
134,3.3672,0.2945
135,3.3048,0.3054
136,3.2046,0.3059
137,3.2517,0.3015
138,3.2978,0.3109
139,3.2301,0.306
140,3.1863,0.3255
141,3.2235,0.3192
142,3.3465,0.3047
143,3.157,0.3126
144,3.4034,0.3016
145,3.2092,0.3079
146,3.2483,0.3113
147,3.3481,0.2853
148,3.0788,0.3113
149,3.1667,0.2979
150,3.3888,0.3096
151,3.3479,0.2987
152,3.0798,0.3038
153,3.1445,0.3199
154,3.2764,0.3228
155,3.1204,0.3122
156,3.1888,0.3122
157,3.2195,0.3245
158,3.2177,0.3263
159,3.1652,0.3216
160,3.091,0.3154
161,3.1582,0.3273
162,3.2914,0.2953
163,3.0836,0.3188
164,3.3344,0.3162
165,3.2536,0.3301
166,3.237,0.3234
167,3.3204,0.3307
168,3.4481,0.3192
169,3.537,0.3068
170,3.2371,0.3068
171,3.261,0.3173
172,3.2988,0.3127
173,3.0725,0.3225
174,3.2252,0.3044
175,3.0762,0.3171
176,3.198,0.2832
177,3.1032,0.2916
178,3.0203,0.3177
179,3.097,0.3039
180,3.2645,0.3069
181,3.0485,0.2927
182,3.2035,0.3109
183,3.3842,0.303
184,3.1579,0.2976
185,3.1326,0.3123
186,3.4694,0.3067
187,3.147,0.2911
188,3.1718,0.3239
189,3.1583,0.3088
190,3.2353,0.3254
191,3.3142,0.3099
192,3.1521,0.3166
193,3.1557,0.3221
194,3.1021,0.3303
195,3.0573,0.3336
196,3.1767,0.3184
197,3.1987,0.3182
198,3.1041,0.3144
199,3.135,0.3053
200,3.0596,0.3372
201,3.2521,0.3207
202,3.477,0.2938
203,3.1988,0.3234
204,3.3419,0.2938
205,3.12,0.3344
206,3.2038,0.3212
207,3.1277,0.3385
208,3.3247,0.2961
209,3.0631,0.3202
210,3.4614,0.2991
211,3.3051,0.2966
212,3.0891,0.3159
213,3.2092,0.3155
214,3.131,0.3018
215,3.0996,0.3255
216,3.2187,0.3168
217,3.0551,0.3156
218,3.1041,0.3235
219,3.2977,0.3194
220,3.1622,0.3177
221,2.9554,0.3357
222,3.2163,0.3318
223,2.9778,0.3344
224,3.0958,0.3283
225,3.0431,0.3367
226,3.117,0.3289
227,3.0557,0.3226
228,3.1219,0.3263
229,3.2686,0.3201
