Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.323,0.3157,0.3142,0.3799,0.3423,0.2396,0.3411,0.3442,0.3578,0.3584,0.3636
2,0.3577,0.3778,0.3238,0.3458,0.3695,0.3563,0.3318,0.31,0.3167,0.4166,0.4253
3,0.3892,0.3824,0.3303,0.3617,0.3096,0.3906,0.3541,0.3771,0.3642,0.456,0.4647
4,0.3943,0.4019,0.3555,0.4194,0.3845,0.4043,0.397,0.3164,0.3789,0.4654,0.4478
5,0.2287,0.3778,0.3436,0.3694,0.3627,0.3964,0.3791,0.3404,0.419,0.5238,0.5268
6,0.3254,0.3846,0.4123,0.2573,0.4227,0.3746,0.404,0.3938,0.3797,0.4856,0.5055
7,0.3833,0.3222,0.3184,0.3319,0.3851,0.3757,0.3702,0.3791,0.3867,0.5462,0.5386
8,0.3301,0.3341,0.3629,0.366,0.377,0.3466,0.3607,0.3864,0.2856,0.5416,0.5388
9,0.3465,0.3889,0.4122,0.4202,0.3974,0.3266,0.288,0.4277,0.4098,0.5585,0.5563
10,0.374,0.388,0.3691,0.3689,0.3489,0.3596,0.401,0.3637,0.406,0.5735,0.5736
11,0.4216,0.2313,0.3546,0.3989,0.401,0.3867,0.3513,0.3394,0.3334,0.5672,0.5647
12,0.3821,0.3412,0.3818,0.2424,0.3582,0.4106,0.3546,0.3696,0.3034,0.5862,0.5853
13,0.3957,0.4061,0.2332,0.2959,0.2483,0.2806,0.3964,0.2271,0.3793,0.5896,0.5954
14,0.3598,0.376,0.3846,0.3912,0.3321,0.3591,0.2427,0.3479,0.3274,0.5838,0.5948
15,0.2215,0.3571,0.3642,0.3483,0.343,0.2694,0.2943,0.3443,0.2936,0.5781,0.5856
16,0.3334,0.2499,0.3049,0.3071,0.2398,0.2941,0.2872,0.3523,0.2791,0.5953,0.5675
17,0.2399,0.3706,0.2845,0.3097,0.2427,0.2366,0.2112,0.3087,0.2512,0.5922,0.5864
18,0.2876,0.2741,0.3499,0.2497,0.3236,0.2601,0.2435,0.2434,0.3115,0.6009,0.6011
19,0.2815,0.2147,0.3052,0.33,0.3237,0.3445,0.2473,0.2659,0.2606,0.6095,0.6033
20,0.1681,0.29,0.1842,0.2195,0.2771,0.337,0.2024,0.33,0.249,0.5923,0.5921
21,0.2641,0.3027,0.2421,0.2876,0.2455,0.2874,0.2916,0.2538,0.1875,0.5907,0.6001
22,0.2152,0.2781,0.1717,0.2822,0.286,0.1845,0.2341,0.2552,0.2414,0.6002,0.59
23,0.2214,0.2976,0.2329,0.2906,0.2278,0.2075,0.1732,0.312,0.1731,0.5848,0.59
24,0.1733,0.2382,0.183,0.175,0.2319,0.2323,0.2777,0.2682,0.2078,0.5864,0.5931
25,0.1537,0.1704,0.2796,0.1626,0.1126,0.1719,0.1624,0.2398,0.2091,0.6021,0.6111
26,0.175,0.1761,0.2135,0.2365,0.231,0.1667,0.1993,0.2423,0.2383,0.6006,0.5882
27,0.1955,0.281,0.1686,0.1986,0.2503,0.2777,0.1209,0.2405,0.2103,0.5931,0.6008
28,0.2546,0.2196,0.1791,0.201,0.2399,0.1679,0.1609,0.2609,0.3013,0.5843,0.5883
29,0.2171,0.1735,0.1859,0.2127,0.2973,0.227,0.1176,0.1968,0.1957,0.6007,0.5879
30,0.1997,0.1839,0.1974,0.138,0.1866,0.193,0.1749,0.2276,0.1742,0.5988,0.6018
31,0.2531,0.1793,0.1536,0.134,0.2185,0.1754,0.2147,0.263,0.1379,0.6001,0.5935
32,0.249,0.1934,0.2473,0.1746,0.254,0.1668,0.1973,0.1599,0.3201,0.5933,0.581
33,0.2072,0.2288,0.2699,0.2375,0.2186,0.172,0.2218,0.1793,0.2448,0.5979,0.5926
34,0.2057,0.1636,0.2185,0.2129,0.181,0.2171,0.1906,0.2096,0.2151,0.5993,0.5881
35,0.135,0.1058,0.2274,0.1883,0.1608,0.2164,0.1731,0.1677,0.216,0.6014,0.5892
36,0.1118,0.198,0.1276,0.2321,0.252,0.2163,0.1961,0.1588,0.1662,0.6072,0.6083
37,0.1561,0.2589,0.2305,0.1651,0.2654,0.2359,0.1898,0.2647,0.2376,0.5945,0.5959
38,0.1607,0.2382,0.1533,0.129,0.2081,0.1994,0.2152,0.1865,0.2332,0.5989,0.5939
39,0.1848,0.1217,0.2113,0.1938,0.1284,0.1225,0.1116,0.2759,0.191,0.5928,0.5801
40,0.192,0.153,0.1219,0.2642,0.2852,0.2202,0.1563,0.244,0.1828,0.6106,0.5989
41,0.2887,0.2655,0.1973,0.2049,0.2011,0.2171,0.1176,0.1313,0.2235,0.608,0.6055
42,0.2685,0.1971,0.2264,0.23,0.2062,0.2004,0.1794,0.2067,0.2148,0.6001,0.5814
43,0.2086,0.1785,0.1495,0.1788,0.2467,0.1533,0.1333,0.253,0.1754,0.5985,0.6004
44,0.1954,0.1302,0.1891,0.232,0.2012,0.1642,0.2045,0.2045,0.2532,0.5981,0.5969
45,0.1942,0.2539,0.229,0.2201,0.1857,0.2085,0.1868,0.2205,0.245,0.5929,0.5917
46,0.1584,0.2314,0.2191,0.2175,0.1839,0.2176,0.206,0.1172,0.2127,0.5943,0.5875
47,0.2389,0.2147,0.188,0.2431,0.2438,0.2412,0.1899,0.1873,0.1527,0.602,0.5958
48,0.2264,0.1483,0.2303,0.1985,0.1916,0.2227,0.1904,0.1197,0.17,0.5962,0.5694
49,0.2247,0.2525,0.1999,0.1811,0.1725,0.1304,0.192,0.1153,0.2233,0.6068,0.5986
50,0.2041,0.1116,0.2372,0.2215,0.2108,0.1439,0.2201,0.2151,0.215,0.599,0.5718
51,0.212,0.1648,0.1765,0.2669,0.2103,0.2151,0.1957,0.2609,0.2008,0.5956,0.5919
52,0.2245,0.1472,0.2056,0.2267,0.2051,0.2496,0.1804,0.2088,0.1807,0.6067,0.5969
53,0.1941,0.1561,0.1975,0.2505,0.1914,0.114,0.181,0.1542,0.256,0.6037,0.5915
54,0.2266,0.1597,0.1776,0.202,0.1796,0.2245,0.236,0.2027,0.2675,0.609,0.5881
55,0.2379,0.2022,0.1308,0.145,0.1898,0.1988,0.1858,0.2264,0.1997,0.5951,0.6063
56,0.2655,0.2535,0.1478,0.1636,0.1519,0.1648,0.1949,0.2056,0.1423,0.5957,0.5904
57,0.2154,0.1888,0.1343,0.22,0.1374,0.2453,0.2194,0.2358,0.1716,0.6075,0.5972
58,0.2498,0.2144,0.2128,0.2144,0.2246,0.259,0.2168,0.168,0.2388,0.5952,0.5947
59,0.2592,0.2069,0.1693,0.2194,0.2075,0.2065,0.1648,0.2246,0.109,0.5925,0.584
60,0.1864,0.1779,0.2175,0.2528,0.172,0.2031,0.1927,0.2008,0.2139,0.608,0.5876
61,0.191,0.1991,0.1643,0.1878,0.183,0.2185,0.2076,0.2456,0.1639,0.6045,0.5929
62,0.2332,0.2992,0.2209,0.2471,0.2101,0.1587,0.1847,0.1416,0.224,0.5993,0.5993
63,0.186,0.2196,0.1769,0.2309,0.1835,0.1954,0.2204,0.1848,0.1988,0.5973,0.6024
64,0.2124,0.2444,0.2135,0.1799,0.2042,0.1805,0.1386,0.2596,0.2025,0.5969,0.5919
65,0.1727,0.1665,0.1342,0.2823,0.2121,0.198,0.2195,0.2006,0.2111,0.6029,0.5884
66,0.2075,0.1882,0.1739,0.2189,0.1683,0.2271,0.1727,0.2252,0.2606,0.5991,0.5976
67,0.1888,0.1786,0.1836,0.1841,0.1599,0.1644,0.1666,0.2074,0.1954,0.6044,0.6054
68,0.1213,0.2016,0.1127,0.2228,0.1736,0.1708,0.2094,0.2426,0.2379,0.6034,0.5942
69,0.2132,0.1936,0.1825,0.2173,0.2142,0.205,0.2219,0.2062,0.2203,0.601,0.5659
70,0.2149,0.26,0.1919,0.1991,0.1771,0.2076,0.1765,0.2126,0.1246,0.6072,0.5986
71,0.132,0.1988,0.1985,0.1858,0.1735,0.1669,0.1653,0.2516,0.2,0.5949,0.5891
72,0.2085,0.141,0.1898,0.1639,0.1488,0.1804,0.1891,0.1774,0.276,0.5957,0.5874
73,0.2065,0.223,0.215,0.2067,0.2391,0.1697,0.1728,0.2343,0.2299,0.5982,0.5863
74,0.1731,0.1592,0.1769,0.2347,0.1901,0.1537,0.2175,0.1842,0.171,0.5947,0.5796
75,0.1985,0.23,0.1646,0.153,0.1917,0.208,0.1748,0.1864,0.1455,0.6066,0.5837
76,0.2235,0.1916,0.1955,0.2207,0.2112,0.2988,0.174,0.2174,0.1905,0.6026,0.5815
77,0.1889,0.2397,0.2165,0.2404,0.1531,0.1583,0.1778,0.237,0.224,0.5964,0.5914
78,0.1903,0.2484,0.2073,0.1862,0.1914,0.2052,0.22,0.2665,0.1663,0.5942,0.5856
79,0.1895,0.2207,0.1522,0.3055,0.1878,0.2045,0.1943,0.2133,0.2473,0.5948,0.5929
80,0.1637,0.1946,0.2306,0.2151,0.197,0.2089,0.2098,0.2682,0.1719,0.595,0.5843
81,0.1409,0.1832,0.1842,0.1763,0.2033,0.2248,0.2226,0.2486,0.177,0.5789,0.5742
82,0.1738,0.1939,0.2393,0.1988,0.1728,0.1834,0.182,0.1932,0.1924,0.5926,0.5776
83,0.1903,0.1584,0.1923,0.1818,0.1996,0.1431,0.2289,0.202,0.1615,0.6049,0.5916
84,0.1709,0.2388,0.2131,0.2133,0.1877,0.216,0.2434,0.1819,0.2209,0.5976,0.5825
85,0.1908,0.1343,0.2225,0.2249,0.2014,0.2481,0.1811,0.1765,0.214,0.5886,0.5895
86,0.2129,0.2513,0.22,0.2213,0.1932,0.1812,0.2141,0.1745,0.2208,0.5972,0.5827
87,0.1686,0.1443,0.1797,0.2143,0.2029,0.2273,0.2104,0.2015,0.1701,0.6035,0.5895
88,0.1848,0.1489,0.1658,0.1611,0.268,0.2168,0.1483,0.1496,0.1896,0.5865,0.5898
89,0.201,0.2204,0.2341,0.1901,0.1755,0.1781,0.1975,0.1611,0.2116,0.5953,0.555
90,0.2337,0.2252,0.2053,0.2166,0.1726,0.1934,0.1814,0.2435,0.2697,0.6022,0.5977
