Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.10002,0.09999999999999999,0.10018,0.11166000000000001,0.10027,0.10003999999999999,0.1,0.1007
2,0.09999999999999999,0.10107,0.09999999999999999,0.10132999999999999,0.10019,0.10153999999999999,0.11947,0.10146999999999999,0.10873999999999999,0.1041,0.1415
3,0.09999999999999999,0.10036999999999999,0.09999999999999999,0.10061999999999997,0.10001,0.10141,0.12182,0.10119,0.10303,0.1052,0.1353
4,0.10001,0.10003,0.10003,0.10399,0.10046,0.10398999999999999,0.13188000000000002,0.10681,0.10491999999999999,0.1277,0.145
5,0.10145,0.10041,0.10007999999999999,0.11069999999999999,0.10229999999999999,0.10886999999999998,0.14859,0.11246,0.10761999999999998,0.139,0.1556
6,0.10013000000000001,0.10089999999999999,0.10017999999999998,0.11528000000000001,0.10134999999999998,0.11977,0.15723000000000004,0.11851,0.12047,0.1913,0.1927
7,0.10088,0.10516999999999999,0.10036,0.12848,0.10372999999999999,0.12498000000000001,0.16294999999999998,0.12362999999999999,0.12368000000000001,0.1799,0.1964
8,0.10356000000000001,0.11202000000000001,0.10352000000000001,0.12137000000000002,0.10724,0.13506,0.16251,0.126,0.13659,0.2255,0.2604
9,0.10434999999999998,0.11777,0.10853000000000002,0.13007,0.11244000000000001,0.14606000000000002,0.18475999999999998,0.13449,0.14458000000000001,0.2452,0.2714
10,0.11077,0.12544,0.11271,0.13138999999999998,0.11634,0.13923999999999997,0.17763000000000004,0.13981,0.15026,0.2744,0.2952
11,0.10764000000000003,0.13803,0.11592,0.14846,0.12273,0.15204,0.19002,0.13698,0.15413000000000002,0.2534,0.2804
12,0.11776,0.14339,0.11625,0.14593,0.13096999999999998,0.16552000000000003,0.19668999999999998,0.15529999999999997,0.16587999999999997,0.2733,0.3078
13,0.12339,0.15857000000000002,0.12045000000000002,0.13560999999999998,0.12716999999999998,0.16925,0.1926,0.15235,0.17207,0.2568,0.299
14,0.12766,0.16484000000000001,0.12764000000000003,0.14836999999999997,0.13743,0.17227999999999996,0.20549000000000003,0.1582,0.17407000000000003,0.3028,0.3287
15,0.12647999999999998,0.17511999999999997,0.13387999999999997,0.15322,0.14138999999999996,0.17971000000000004,0.21260999999999997,0.15965,0.17697000000000002,0.2813,0.3146
16,0.11979000000000002,0.17187999999999998,0.12172000000000001,0.1524,0.13633,0.17495,0.21416,0.16619,0.18205999999999997,0.3055,0.3312
17,0.12498000000000001,0.18522,0.13066,0.15789999999999998,0.13807,0.17977,0.20912000000000003,0.17226,0.18402,0.2678,0.3199
18,0.13069,0.19595999999999997,0.13110000000000002,0.16014,0.14028999999999997,0.18457,0.21532999999999997,0.17328000000000002,0.19266,0.3157,0.3505
19,0.14058,0.19697,0.13985999999999998,0.166,0.14106999999999997,0.20171999999999998,0.21800000000000003,0.18021000000000004,0.18930999999999998,0.3181,0.3523
20,0.14199,0.1976,0.13530999999999999,0.16705,0.13859,0.1967,0.22043,0.16763,0.19297999999999998,0.2803,0.3353
21,0.1451,0.20167000000000002,0.13567,0.16999000000000003,0.14941,0.19377,0.22043999999999997,0.18695999999999996,0.19269,0.343,0.3797
22,0.14576000000000003,0.20893,0.13843,0.16301,0.15363000000000002,0.19025,0.22072999999999995,0.18691,0.19744,0.3477,0.3883
23,0.14728,0.21979,0.13974999999999999,0.17203,0.15127000000000002,0.19963999999999998,0.22294,0.18156,0.20307999999999998,0.3193,0.3818
24,0.15350000000000003,0.20833999999999997,0.13867000000000002,0.16109,0.15395999999999999,0.20122000000000004,0.22630999999999996,0.18683999999999998,0.21284,0.312,0.376
25,0.15745,0.22435,0.14265,0.16684,0.15397,0.21097000000000002,0.22073,0.17607,0.20427,0.299,0.373
26,0.15147,0.23586999999999997,0.14207,0.16928,0.15202,0.20605,0.23487,0.19758,0.20949,0.3489,0.3932
27,0.16512,0.23120999999999997,0.14507,0.18225999999999998,0.15904000000000001,0.21432,0.23206000000000002,0.19626000000000002,0.21371,0.323,0.3756
