Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1009,0.1064,0.1192
3,0.1,0.1,0.1,0.1,0.1,0.1,0.1048,0.1,0.1,0.1252,0.1448
4,0.116,0.1,0.1,0.1,0.1,0.1179,0.1569,0.1,0.1001,0.1625,0.1812
5,0.1,0.1,0.1,0.1001,0.1,0.1117,0.1,0.1003,0.1014,0.232,0.2681
6,0.1001,0.1023,0.1002,0.1404,0.1036,0.1048,0.1462,0.1131,0.1021,0.2298,0.2693
7,0.1,0.1022,0.1009,0.1083,0.1004,0.1203,0.1,0.1075,0.1406,0.2456,0.2821
8,0.1,0.1091,0.1011,0.1399,0.1009,0.1075,0.1024,0.1034,0.1036,0.2418,0.3054
9,0.1007,0.1067,0.1002,0.102,0.1021,0.1455,0.1342,0.1042,0.1417,0.1961,0.2595
10,0.1011,0.1196,0.1028,0.1208,0.1026,0.1431,0.1341,0.1057,0.136,0.2749,0.3311
11,0.1001,0.1,0.102,0.1374,0.1014,0.1033,0.1628,0.1012,0.1014,0.2872,0.3376
12,0.1002,0.1343,0.1,0.1,0.1015,0.1034,0.1282,0.1092,0.1487,0.3121,0.3448
13,0.1,0.104,0.1112,0.1113,0.1037,0.1103,0.1231,0.1274,0.1054,0.2855,0.3384
14,0.1083,0.1051,0.1011,0.1069,0.1013,0.1325,0.13,0.1046,0.1334,0.3098,0.368
15,0.1124,0.1249,0.1024,0.1035,0.1115,0.102,0.1571,0.1055,0.1696,0.2981,0.3604
16,0.1017,0.1003,0.1001,0.1282,0.1101,0.1021,0.1202,0.1,0.1418,0.3034,0.3598
17,0.1006,0.1445,0.1075,0.1035,0.1136,0.1269,0.1207,0.1102,0.1099,0.3304,0.3833
18,0.1278,0.1418,0.1106,0.1081,0.1006,0.1019,0.1012,0.1215,0.1259,0.2923,0.371
19,0.1018,0.1075,0.1001,0.1136,0.1726,0.1017,0.1186,0.1118,0.1241,0.332,0.3769
20,0.1073,0.1372,0.1062,0.1204,0.1005,0.1031,0.1762,0.1031,0.1006,0.3321,0.3974
21,0.1113,0.1501,0.1036,0.1159,0.1292,0.1058,0.1027,0.1145,0.1215,0.3142,0.3837
