Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.3477,0.3451,0.3351,0.3486,0.359,0.3321,0.3346,0.3367,0.3559,0.3587,0.3846
2,0.4011,0.3938,0.3932,0.402,0.4113,0.4067,0.4039,0.3765,0.4429,0.4112,0.4456
3,0.4125,0.4297,0.418,0.4345,0.4419,0.4231,0.4267,0.4198,0.4743,0.4802,0.4961
4,0.4587,0.4021,0.4398,0.4385,0.4407,0.4636,0.4561,0.4559,0.5033,0.4854,0.5101
5,0.47,0.4203,0.4804,0.4694,0.4595,0.4523,0.4437,0.4528,0.5031,0.5237,0.5294
6,0.4683,0.4896,0.4761,0.4825,0.4831,0.4831,0.4822,0.4838,0.5321,0.554,0.5602
7,0.4919,0.4511,0.5076,0.49,0.4986,0.4954,0.4945,0.502,0.5622,0.5542,0.5787
8,0.4877,0.5094,0.5029,0.5164,0.4966,0.5086,0.4886,0.4871,0.5671,0.569,0.5949
9,0.5004,0.4994,0.5213,0.4992,0.5095,0.5056,0.5091,0.5061,0.5688,0.5553,0.583
10,0.508,0.506,0.5187,0.5042,0.5081,0.5133,0.5024,0.4958,0.5844,0.6045,0.6121
11,0.5328,0.5073,0.5084,0.5214,0.5247,0.5197,0.5218,0.5131,0.6106,0.603,0.6269
12,0.5027,0.5203,0.4986,0.511,0.5342,0.5291,0.5126,0.5266,0.6068,0.6204,0.6326
13,0.5346,0.5351,0.5261,0.5264,0.5297,0.5267,0.5212,0.5265,0.6217,0.6069,0.633
14,0.5374,0.5163,0.5411,0.5356,0.5383,0.5302,0.5287,0.5297,0.6159,0.6233,0.6295
15,0.5255,0.5332,0.5302,0.5212,0.5355,0.5385,0.5318,0.5246,0.6307,0.6263,0.6456
16,0.532,0.5421,0.5356,0.5202,0.542,0.5299,0.5252,0.5267,0.6293,0.6371,0.6548
17,0.5365,0.5314,0.5421,0.5255,0.5339,0.5431,0.542,0.5286,0.6216,0.6299,0.6423
18,0.5305,0.5114,0.5345,0.5366,0.5505,0.5309,0.5398,0.5373,0.635,0.6286,0.6441
19,0.5433,0.5535,0.5489,0.5359,0.5531,0.5309,0.5408,0.5452,0.6393,0.6396,0.6523
20,0.5298,0.5439,0.5437,0.5352,0.5478,0.5474,0.5558,0.5367,0.6335,0.6298,0.6409
21,0.5497,0.5539,0.5534,0.5486,0.5562,0.55,0.5116,0.556,0.6343,0.6361,0.6543
22,0.5527,0.5488,0.558,0.5509,0.5613,0.5468,0.5515,0.5519,0.6337,0.6336,0.6534
23,0.5384,0.5502,0.5506,0.5522,0.5546,0.5251,0.5542,0.5355,0.6496,0.6331,0.6572
24,0.5567,0.5531,0.5586,0.5588,0.5503,0.5534,0.5421,0.546,0.6321,0.6388,0.6539
25,0.5413,0.5433,0.5307,0.5527,0.5531,0.5554,0.5379,0.5422,0.625,0.622,0.6481
26,0.5543,0.5464,0.5605,0.5516,0.5496,0.5538,0.5406,0.552,0.6442,0.633,0.6533
27,0.5528,0.5644,0.5679,0.5506,0.5615,0.5544,0.5621,0.5568,0.6345,0.6422,0.6516
28,0.5483,0.5509,0.5582,0.5595,0.5454,0.5631,0.5585,0.5576,0.6245,0.6283,0.6443
