Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.138
2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1013,0.1074,0.1565
3,0.1,0.1,0.1,0.1003,0.1,0.1,0.1,0.1,0.1026,0.1011,0.1701
4,0.1,0.1,0.1,0.1114,0.1022,0.1002,0.1075,0.1001,0.1192,0.123,0.2306
5,0.1008,0.1,0.1,0.1005,0.1008,0.1001,0.1152,0.1006,0.1427,0.1282,0.2527
6,0.1013,0.1,0.1,0.1021,0.1178,0.1011,0.1476,0.1157,0.1469,0.136,0.2717
7,0.1008,0.1043,0.1081,0.1131,0.1021,0.1231,0.1606,0.1239,0.1834,0.173,0.295
8,0.1121,0.1017,0.1001,0.1173,0.1097,0.1336,0.1779,0.1211,0.1944,0.2132,0.3256
9,0.1027,0.1158,0.1004,0.1302,0.1138,0.1603,0.1759,0.1316,0.2226,0.2189,0.3471
10,0.1041,0.1337,0.1011,0.1518,0.1254,0.1583,0.1754,0.1426,0.2222,0.2149,0.3507
11,0.1047,0.1353,0.1002,0.137,0.1275,0.1946,0.2085,0.156,0.2353,0.2072,0.3549
12,0.1027,0.15,0.1068,0.1798,0.1176,0.1463,0.1882,0.1404,0.258,0.2281,0.3752
13,0.1036,0.1644,0.1083,0.1789,0.1427,0.1544,0.1679,0.1579,0.2826,0.2471,0.3895
14,0.1033,0.1542,0.1026,0.1898,0.1351,0.2037,0.2037,0.1456,0.2873,0.2704,0.3906
15,0.1043,0.1666,0.1283,0.1753,0.1478,0.1877,0.1921,0.1438,0.2741,0.2966,0.3974
16,0.1045,0.1641,0.1139,0.1777,0.1731,0.2201,0.1881,0.1724,0.2754,0.2728,0.3957
17,0.1252,0.1742,0.109,0.1608,0.1407,0.2019,0.1983,0.1348,0.301,0.3146,0.4101
18,0.1085,0.173,0.1158,0.1776,0.1431,0.2083,0.1849,0.1487,0.3029,0.2701,0.4187
19,0.1134,0.1645,0.1298,0.1795,0.1458,0.157,0.2132,0.1598,0.3076,0.3024,0.4205
20,0.1016,0.1686,0.1116,0.1904,0.1315,0.1894,0.2178,0.1739,0.3269,0.3293,0.4381
