Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.32816,0.31775999999999993,0.31387,0.30845,0.29972,0.30762999999999996,0.3181,0.31151000000000006,0.3185,0.3464,0.3383
2,0.39084,0.39051,0.39164,0.38727999999999996,0.38886000000000004,0.38694,0.3888,0.38594,0.4019,0.404,0.4259
3,0.41697000000000006,0.42744,0.4231,0.4226,0.4239800000000001,0.42182,0.43052999999999997,0.41069000000000006,0.4238,0.4307,0.4604
4,0.44856999999999997,0.44874,0.44588,0.43757,0.45143000000000005,0.45081999999999994,0.44901,0.449,0.4878,0.5032,0.5146
5,0.4660000000000001,0.4601699999999999,0.46287,0.46697999999999995,0.4635700000000001,0.4621599999999999,0.46387999999999996,0.4649899999999999,0.5096,0.5151,0.5236
6,0.48096999999999995,0.46496999999999994,0.47646,0.47515999999999997,0.47953999999999997,0.4784,0.48122,0.48105000000000003,0.5105,0.5237,0.5356
7,0.47751,0.48845,0.48873,0.48506,0.48866,0.49458,0.48660000000000003,0.48324,0.54,0.5432,0.5641
8,0.50052,0.5031700000000001,0.50011,0.49692,0.49318999999999996,0.5035199999999999,0.49833,0.4983700000000001,0.545,0.5521,0.5748
9,0.50396,0.5135500000000001,0.5021899999999999,0.49742999999999993,0.50383,0.5162199999999999,0.5097499999999999,0.5044000000000001,0.5748,0.5542,0.5905
10,0.5137099999999999,0.51412,0.5102300000000001,0.51479,0.5172199999999999,0.5095599999999999,0.51522,0.50977,0.5622,0.5762,0.5966
11,0.51499,0.51302,0.5159,0.51569,0.5179799999999999,0.5196700000000001,0.51848,0.5163,0.5868,0.5869,0.6083
12,0.52471,0.5214399999999999,0.52802,0.5204099999999998,0.52369,0.52511,0.52376,0.52365,0.5854,0.5952,0.6155
13,0.53036,0.53375,0.5260800000000001,0.53023,0.5271700000000001,0.5364699999999999,0.52652,0.52556,0.6052,0.6094,0.6242
14,0.5324599999999999,0.5356500000000001,0.53439,0.52959,0.5317999999999999,0.53434,0.53678,0.53351,0.6139,0.6077,0.6346
15,0.5359,0.53057,0.53892,0.53634,0.5424,0.5408700000000001,0.53379,0.53695,0.6228,0.6253,0.6396
16,0.53988,0.5425899999999999,0.54289,0.5436000000000001,0.53504,0.54628,0.5423000000000001,0.54217,0.6342,0.6304,0.6455
17,0.5460499999999999,0.5460200000000001,0.54585,0.54138,0.5424199999999999,0.5468400000000001,0.54206,0.54265,0.6461,0.6213,0.6455
18,0.54934,0.55364,0.54512,0.54888,0.5481800000000001,0.5476,0.54513,0.5485900000000001,0.617,0.6235,0.6486
19,0.5525399999999999,0.55138,0.5491300000000001,0.54886,0.55454,0.55009,0.5525599999999999,0.5491299999999999,0.6404,0.6289,0.6579
20,0.55425,0.5521900000000001,0.55318,0.55372,0.5544,0.5547700000000001,0.55035,0.55231,0.6367,0.6355,0.6556
21,0.55461,0.55212,0.5495500000000001,0.5545800000000001,0.55653,0.55939,0.55396,0.55274,0.6466,0.6495,0.6692
22,0.56131,0.55757,0.5528,0.5585600000000001,0.55559,0.55731,0.5589899999999999,0.55471,0.6542,0.6453,0.6631
23,0.56028,0.55908,0.55945,0.561,0.56584,0.56128,0.55555,0.55214,0.6482,0.6402,0.6784
24,0.56269,0.56128,0.56007,0.56153,0.55969,0.55883,0.55971,0.55831,0.6482,0.6607,0.6651
25,0.56552,0.5643199999999999,0.563,0.5595100000000001,0.5638500000000001,0.56276,0.5691900000000001,0.56229,0.6542,0.6404,0.6734
26,0.56471,0.56498,0.5591999999999999,0.56171,0.5681700000000001,0.56294,0.5702,0.56556,0.6473,0.662,0.6711
27,0.56983,0.56671,0.5661999999999999,0.5694299999999999,0.56843,0.56608,0.56633,0.56391,0.6572,0.6702,0.6746
28,0.56789,0.5688799999999998,0.56904,0.5645300000000001,0.5661,0.5648299999999999,0.56925,0.56688,0.6531,0.6657,0.6716
29,0.5725300000000001,0.57048,0.5655,0.56981,0.57652,0.5726,0.56569,0.56674,0.6502,0.6598,0.6778
30,0.56783,0.57201,0.56707,0.57198,0.57326,0.56929,0.56616,0.5650099999999999,0.6561,0.6635,0.6801
31,0.5700299999999999,0.57482,0.57245,0.57319,0.57104,0.5733699999999999,0.57352,0.5751499999999999,0.6426,0.6603,0.6769
32,0.57282,0.5726100000000001,0.57435,0.56723,0.5756,0.5738700000000001,0.56728,0.5670499999999999,0.6474,0.6645,0.6764
33,0.57745,0.57279,0.57527,0.5726,0.57542,0.57485,0.5741400000000001,0.5746600000000001,0.6649,0.6545,0.683
34,0.5810499999999998,0.5720899999999999,0.57104,0.57812,0.57844,0.57898,0.5751499999999999,0.57228,0.6626,0.6528,0.6814
35,0.56938,0.5797000000000001,0.57878,0.56952,0.5850000000000001,0.5787,0.57616,0.5756599999999998,0.6718,0.6564,0.6805
36,0.5791299999999999,0.57691,0.57691,0.57565,0.5786100000000001,0.57035,0.5798,0.57596,0.6627,0.6546,0.6739
37,0.57857,0.57702,0.57986,0.57553,0.5740700000000001,0.57984,0.57341,0.57729,0.6641,0.6542,0.6853
38,0.5824100000000001,0.57379,0.58311,0.57236,0.5833999999999999,0.5823799999999999,0.58174,0.5782599999999999,0.6836,0.6709,0.6863
39,0.58184,0.5777400000000001,0.58223,0.57843,0.5816100000000001,0.58072,0.57821,0.5852799999999999,0.655,0.6647,0.6766
40,0.5806899999999999,0.5699299999999999,0.5824,0.57718,0.57816,0.58159,0.5756400000000002,0.57665,0.6737,0.6731,0.6801
41,0.58378,0.58294,0.57813,0.57955,0.58689,0.5858599999999999,0.5804700000000002,0.5795199999999999,0.6684,0.6698,0.6819
42,0.58132,0.5767599999999999,0.5795199999999999,0.5803,0.5806300000000001,0.58148,0.57786,0.58275,0.6751,0.665,0.6823
43,0.58488,0.58213,0.57885,0.5794600000000001,0.5880299999999999,0.58101,0.5785800000000001,0.57908,0.6531,0.6747,0.6812
44,0.58177,0.5855899999999999,0.5802700000000001,0.5848899999999999,0.58556,0.5856,0.58458,0.58499,0.6723,0.6492,0.6824
45,0.5827799999999999,0.5820999999999998,0.5858899999999999,0.5835699999999999,0.5879399999999999,0.5828,0.5857699999999999,0.57713,0.6716,0.6568,0.6767
46,0.58171,0.58415,0.58117,0.58558,0.58575,0.5885499999999999,0.5775699999999999,0.5859400000000001,0.669,0.6677,0.675
47,0.5832799999999999,0.58481,0.58131,0.58497,0.58398,0.5850000000000001,0.5863400000000001,0.5830500000000001,0.6765,0.6668,0.6789
48,0.5852600000000001,0.5864,0.5890799999999999,0.5838399999999999,0.58715,0.58292,0.57992,0.57797,0.6771,0.6759,0.6846
49,0.5856899999999999,0.58613,0.5867399999999999,0.583,0.5875299999999999,0.58864,0.58464,0.58199,0.6548,0.6672,0.681
50,0.5843499999999999,0.58913,0.5848,0.5898899999999999,0.5839999999999999,0.58775,0.58688,0.5867100000000001,0.6713,0.6768,0.6847
51,0.5891,0.58958,0.5857,0.5856500000000001,0.5870299999999998,0.5862,0.5862700000000001,0.5862599999999999,0.6715,0.6734,0.682
52,0.5867,0.5834,0.59071,0.58947,0.58666,0.58557,0.59466,0.5878,0.6786,0.6812,0.6835
53,0.5893700000000001,0.58728,0.58501,0.58988,0.5886899999999999,0.58903,0.5898,0.58702,0.6638,0.6826,0.682
54,0.58599,0.58387,0.58589,0.58885,0.59191,0.58587,0.5896600000000001,0.5838700000000001,0.6749,0.6665,0.6813
55,0.58579,0.58732,0.5896500000000001,0.5864,0.59466,0.58636,0.58776,0.5883299999999999,0.6669,0.675,0.6816
56,0.58844,0.5869,0.5899,0.5888500000000001,0.58691,0.58914,0.5925499999999999,0.59034,0.6821,0.6693,0.6816
57,0.58719,0.5908100000000001,0.58994,0.58854,0.59026,0.59175,0.59552,0.59073,0.6592,0.6757,0.6831
58,0.5888,0.5888,0.58992,0.58716,0.5901699999999999,0.58894,0.5877,0.5861099999999999,0.6794,0.6715,0.6804
