Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.3183,0.3696,0.3373,0.3445,0.3586,0.3542,0.3624,0.3002,0.3426,0.318,0.3552
2,0.4037,0.4021,0.3808,0.3992,0.4069,0.3771,0.3824,0.3831,0.3951,0.412,0.4281
3,0.429,0.4273,0.4147,0.4475,0.433,0.4356,0.4465,0.4321,0.4379,0.4428,0.4684
4,0.4622,0.4403,0.4649,0.4665,0.4649,0.4626,0.4657,0.4503,0.4397,0.4665,0.4912
5,0.4735,0.4847,0.4739,0.4777,0.4383,0.4761,0.49,0.4821,0.4817,0.4945,0.5047
6,0.482,0.4705,0.5034,0.4897,0.4852,0.5047,0.4922,0.4908,0.4969,0.4946,0.524
7,0.4985,0.5192,0.4816,0.5015,0.4977,0.4986,0.4953,0.484,0.5014,0.4981,0.5338
8,0.5076,0.4949,0.5076,0.507,0.5186,0.5112,0.5012,0.4988,0.5155,0.5188,0.5429
9,0.5226,0.526,0.5114,0.5048,0.5045,0.5145,0.5266,0.5036,0.4943,0.518,0.5462
10,0.524,0.5147,0.5279,0.519,0.5224,0.5242,0.5251,0.5355,0.5245,0.5092,0.5564
11,0.5306,0.5173,0.5236,0.5259,0.5219,0.5242,0.5187,0.5258,0.5101,0.526,0.5595
12,0.5312,0.5129,0.5281,0.5406,0.535,0.525,0.5175,0.528,0.5231,0.5325,0.5637
13,0.5449,0.5414,0.5387,0.5261,0.5419,0.5383,0.5092,0.542,0.5292,0.5484,0.569
14,0.5341,0.5436,0.5395,0.5329,0.5511,0.5172,0.5418,0.5453,0.4963,0.5398,0.5739
15,0.5397,0.5557,0.533,0.5339,0.5399,0.5512,0.5487,0.5458,0.5483,0.5529,0.5737
16,0.5523,0.536,0.5495,0.5403,0.5422,0.5273,0.5369,0.5514,0.5364,0.5514,0.5773
17,0.5542,0.5401,0.5604,0.5547,0.5544,0.5431,0.544,0.558,0.5493,0.5368,0.5804
18,0.5359,0.5542,0.5599,0.5583,0.5686,0.5449,0.5324,0.5458,0.5498,0.5522,0.584
19,0.5497,0.5471,0.5657,0.5445,0.5438,0.553,0.5574,0.5479,0.5561,0.5622,0.5828
20,0.5617,0.5556,0.5603,0.5454,0.5688,0.5417,0.5533,0.5693,0.5555,0.559,0.5869
21,0.561,0.5693,0.5536,0.5615,0.5628,0.5504,0.5602,0.5588,0.5609,0.5521,0.586
22,0.5716,0.5611,0.5592,0.5581,0.5682,0.5646,0.5474,0.5611,0.5617,0.5605,0.588
23,0.5489,0.556,0.5579,0.5533,0.5638,0.5596,0.5668,0.5631,0.5611,0.5644,0.5901
24,0.5626,0.5652,0.5619,0.5706,0.5687,0.5756,0.5558,0.5435,0.5527,0.5627,0.5923
25,0.5635,0.5543,0.5668,0.5784,0.5718,0.5409,0.5574,0.5517,0.5658,0.5415,0.594
26,0.5637,0.5642,0.5705,0.5697,0.5551,0.5645,0.5705,0.5533,0.5677,0.5569,0.5948
27,0.5598,0.5782,0.5652,0.571,0.5713,0.5669,0.5649,0.5457,0.559,0.569,0.5964
28,0.5637,0.566,0.5756,0.5556,0.579,0.5642,0.569,0.5674,0.5599,0.5782,0.5957
29,0.5688,0.5678,0.566,0.5616,0.5775,0.5771,0.5608,0.5572,0.5662,0.5624,0.5977
30,0.5563,0.5742,0.5688,0.5525,0.5672,0.575,0.5627,0.5575,0.5756,0.5681,0.5985
