Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Pruned-global Aggregated,Whole Aggregated
1,0.3763,0.3627,0.3802,0.2992,0.3582,0.3599,0.3445,0.3615,0.3591,0.3504,0.3887,0.3898
2,0.4087,0.435,0.39,0.343,0.4297,0.3779,0.418,0.4259,0.3838,0.4248,0.4351,0.4323
3,0.4621,0.4838,0.4804,0.448,0.4594,0.4589,0.4544,0.4478,0.4588,0.4406,0.4914,0.4884
4,0.4969,0.4973,0.4706,0.5034,0.4745,0.4673,0.4664,0.4809,0.4569,0.4916,0.518,0.5087
5,0.5243,0.5192,0.4883,0.5192,0.5245,0.4756,0.4926,0.504,0.4756,0.484,0.5402,0.5293
6,0.55,0.5454,0.5505,0.4887,0.5286,0.4955,0.4988,0.5263,0.505,0.4892,0.566,0.5633
7,0.5678,0.559,0.536,0.5566,0.5497,0.5376,0.5137,0.5196,0.5293,0.5187,0.587,0.5783
8,0.5496,0.5828,0.5803,0.5631,0.5364,0.5426,0.501,0.5427,0.539,0.5349,0.5852,0.5779
9,0.5912,0.5886,0.59,0.5813,0.5838,0.5619,0.553,0.5218,0.5265,0.558,0.6054,0.5998
10,0.5834,0.6005,0.584,0.5913,0.6127,0.5659,0.5571,0.5387,0.5426,0.5493,0.6156,0.6056
11,0.5976,0.5839,0.6112,0.6023,0.6061,0.5635,0.5806,0.5452,0.5639,0.5479,0.6257,0.6241
12,0.6106,0.6267,0.6223,0.6178,0.6165,0.5592,0.5574,0.5741,0.5648,0.5872,0.6416,0.6378
13,0.6238,0.6229,0.6338,0.6286,0.6314,0.5612,0.5663,0.5871,0.5751,0.5886,0.6477,0.644
14,0.6297,0.6169,0.6226,0.6172,0.6177,0.5708,0.5927,0.6024,0.5906,0.6036,0.6511,0.6475
15,0.6412,0.6424,0.6335,0.6275,0.6291,0.5982,0.5993,0.6003,0.6004,0.5892,0.6576,0.6564
16,0.6424,0.6524,0.6567,0.6509,0.6261,0.5964,0.6013,0.6054,0.6075,0.5785,0.665,0.6606
17,0.6517,0.6418,0.6569,0.6306,0.639,0.6119,0.5965,0.5982,0.6185,0.6027,0.6679,0.6648
18,0.6509,0.6453,0.6257,0.6516,0.6612,0.5918,0.5905,0.6139,0.6096,0.5967,0.6726,0.6698
19,0.6524,0.651,0.6519,0.6417,0.6314,0.6151,0.615,0.6193,0.5981,0.6127,0.6713,0.6712
20,0.6462,0.6473,0.655,0.6598,0.6433,0.6098,0.6254,0.6201,0.6212,0.6163,0.6713,0.6671
21,0.6615,0.6577,0.6621,0.6612,0.6705,0.613,0.6123,0.5928,0.6147,0.6182,0.6739,0.6749
22,0.6554,0.6535,0.6675,0.6453,0.6606,0.6097,0.6084,0.5963,0.618,0.5988,0.674,0.6724
23,0.6648,0.6623,0.6622,0.6526,0.6631,0.6111,0.6299,0.6201,0.6133,0.6285,0.6802,0.6768
24,0.6675,0.6637,0.6524,0.6499,0.6592,0.6139,0.6143,0.6301,0.6205,0.63,0.6812,0.6809
25,0.665,0.6644,0.6567,0.6681,0.662,0.634,0.6269,0.6219,0.6216,0.628,0.6785,0.676
26,0.664,0.6672,0.6649,0.6625,0.6496,0.6303,0.6258,0.6208,0.6275,0.6046,0.6789,0.6755
27,0.666,0.6446,0.6713,0.6604,0.6785,0.6108,0.618,0.6256,0.6311,0.6185,0.6689,0.6685
28,0.6498,0.6564,0.6432,0.6739,0.6768,0.6333,0.6267,0.6351,0.6342,0.6239,0.6786,0.6784
29,0.6605,0.6304,0.6733,0.6772,0.6754,0.6123,0.6253,0.6229,0.6297,0.6348,0.6702,0.6675
30,0.6517,0.6593,0.6659,0.6779,0.6653,0.621,0.6242,0.6154,0.6095,0.6309,0.675,0.6747
31,0.6597,0.6652,0.6852,0.6644,0.6784,0.6222,0.6359,0.6367,0.6354,0.6274,0.678,0.6764
32,0.6633,0.6525,0.6731,0.6556,0.684,0.6402,0.6355,0.6271,0.6348,0.6342,0.6727,0.6736
33,0.657,0.6442,0.6588,0.6731,0.6705,0.6228,0.6288,0.6237,0.6206,0.6264,0.6736,0.6734
34,0.6423,0.6618,0.679,0.6696,0.6839,0.6304,0.642,0.6292,0.6342,0.6393,0.6707,0.6715
35,0.6571,0.6435,0.6707,0.6796,0.6669,0.6346,0.6363,0.6308,0.6297,0.6154,0.6723,0.6714
36,0.6531,0.6588,0.6756,0.678,0.6683,0.6352,0.6273,0.6382,0.6275,0.6292,0.6721,0.6698
37,0.6654,0.6464,0.6795,0.663,0.6771,0.6397,0.6393,0.6345,0.6392,0.6352,0.6755,0.6727
38,0.6638,0.6516,0.6478,0.6643,0.6743,0.6279,0.6407,0.6167,0.6253,0.6369,0.6719,0.6706
39,0.6656,0.6521,0.6835,0.6753,0.6744,0.6327,0.6329,0.6377,0.6306,0.6312,0.6757,0.6724
40,0.6598,0.6519,0.6769,0.6662,0.6765,0.6367,0.6372,0.6299,0.6397,0.6367,0.6716,0.6728
41,0.6364,0.6491,0.6809,0.6758,0.6681,0.6302,0.6325,0.6295,0.6403,0.6232,0.6668,0.6625
42,0.6642,0.6576,0.6825,0.6805,0.6805,0.635,0.6339,0.6313,0.6244,0.6422,0.672,0.671
43,0.6429,0.6471,0.6797,0.6657,0.6823,0.6307,0.6273,0.6204,0.643,0.6363,0.6709,0.6705
44,0.644,0.6595,0.6811,0.6728,0.6604,0.6297,0.6435,0.641,0.6357,0.6389,0.6677,0.6716
45,0.6531,0.6563,0.6743,0.6622,0.6847,0.6348,0.6241,0.6288,0.6311,0.6301,0.6719,0.6724
46,0.6551,0.6535,0.6785,0.6629,0.6629,0.6318,0.6309,0.647,0.6224,0.5975,0.6677,0.6691
47,0.6457,0.6585,0.6681,0.6715,0.662,0.6152,0.6376,0.6258,0.6177,0.6274,0.6705,0.6718
48,0.6508,0.6643,0.6803,0.673,0.6838,0.6259,0.6377,0.6325,0.6348,0.6216,0.6732,0.6757
49,0.6506,0.6508,0.6767,0.6743,0.6763,0.6327,0.6281,0.6287,0.635,0.6293,0.6699,0.6699
50,0.655,0.6551,0.6585,0.6779,0.6772,0.6202,0.6281,0.632,0.6335,0.6254,0.672,0.671
51,0.6563,0.6559,0.682,0.6807,0.6706,0.6344,0.6228,0.6311,0.6193,0.6263,0.6738,0.6759
52,0.6494,0.6443,0.6714,0.6608,0.6719,0.632,0.6321,0.63,0.6202,0.6342,0.6634,0.6627
53,0.6582,0.6597,0.6767,0.672,0.6775,0.6364,0.632,0.6433,0.6411,0.6357,0.6712,0.6712
54,0.6642,0.6405,0.6656,0.6574,0.6825,0.6187,0.6356,0.6368,0.6407,0.628,0.6741,0.6755
55,0.6551,0.6452,0.6768,0.6807,0.6687,0.6366,0.6205,0.628,0.6197,0.6268,0.6664,0.6707
56,0.6447,0.6486,0.6674,0.6671,0.6795,0.6398,0.6361,0.6429,0.6432,0.6096,0.6699,0.669
57,0.6431,0.6543,0.6836,0.6809,0.6686,0.626,0.6239,0.6291,0.634,0.6346,0.6682,0.6685
58,0.6587,0.6359,0.6758,0.6709,0.6771,0.6281,0.6334,0.6175,0.6167,0.6156,0.6669,0.6678
59,0.641,0.6423,0.6705,0.6806,0.6701,0.6253,0.6323,0.6256,0.6317,0.6392,0.6667,0.6662
60,0.6556,0.6523,0.6675,0.6796,0.6766,0.6265,0.6248,0.6405,0.6238,0.626,0.6688,0.6703
61,0.6505,0.6399,0.6624,0.6727,0.6657,0.6231,0.632,0.6297,0.6256,0.6334,0.6637,0.6638
62,0.6472,0.656,0.6702,0.6777,0.6707,0.6212,0.6316,0.6329,0.642,0.6351,0.6676,0.666
63,0.6291,0.6488,0.6729,0.6674,0.6729,0.6261,0.6338,0.6328,0.6434,0.6261,0.6602,0.6619
64,0.6492,0.6313,0.6683,0.6704,0.6725,0.6336,0.6232,0.6299,0.6298,0.6348,0.6586,0.6616
65,0.651,0.6482,0.6737,0.6719,0.6711,0.6316,0.6367,0.6301,0.6286,0.6341,0.6613,0.6621
66,0.6467,0.6482,0.6616,0.6725,0.6652,0.6222,0.6202,0.628,0.6211,0.635,0.6678,0.6694
67,0.6462,0.6522,0.675,0.6637,0.6795,0.6292,0.626,0.6207,0.6248,0.6242,0.6685,0.6679
68,0.6434,0.6574,0.6708,0.6743,0.665,0.632,0.6177,0.6332,0.6352,0.6283,0.6707,0.6718
69,0.6455,0.6517,0.6814,0.6739,0.6763,0.6294,0.6333,0.6259,0.6268,0.6348,0.6643,0.6647
70,0.6426,0.6355,0.6757,0.6669,0.675,0.6239,0.6339,0.6273,0.6174,0.6303,0.6608,0.6644
71,0.6488,0.6504,0.6704,0.6648,0.6748,0.6288,0.6327,0.6239,0.6274,0.6325,0.6643,0.6666
72,0.6463,0.6501,0.6594,0.6597,0.6766,0.6258,0.6387,0.6292,0.6359,0.6283,0.6646,0.666
73,0.6396,0.635,0.6721,0.6694,0.6765,0.6258,0.6219,0.6285,0.6311,0.627,0.6609,0.6624
74,0.637,0.6438,0.6648,0.6606,0.6586,0.6254,0.6288,0.6242,0.6266,0.6218,0.6664,0.6658
