Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.3498,0.4028,0.366,0.3885,0.3515,0.3495,0.3528,0.3504,0.3694,0.3929,0.3985
2,0.4234,0.4185,0.4146,0.3743,0.3145,0.3868,0.4176,0.4166,0.3905,0.382,0.4427
3,0.4295,0.4561,0.4449,0.443,0.4424,0.3807,0.4372,0.4362,0.3991,0.427,0.4621
4,0.4846,0.4767,0.4896,0.4673,0.5048,0.4456,0.4669,0.4358,0.4376,0.4516,0.4965
5,0.5063,0.5227,0.4726,0.4934,0.4863,0.474,0.4451,0.4713,0.4903,0.4796,0.5119
6,0.5446,0.5383,0.5092,0.5061,0.5119,0.4749,0.4742,0.4774,0.4623,0.5017,0.5501
7,0.5508,0.5487,0.5391,0.5107,0.5419,0.4822,0.4936,0.5052,0.49,0.4779,0.5604
8,0.5632,0.5575,0.5482,0.5529,0.5551,0.4999,0.4737,0.4824,0.5225,0.5218,0.5785
9,0.5808,0.5691,0.554,0.5703,0.5649,0.521,0.5015,0.4939,0.5377,0.519,0.5857
10,0.588,0.5915,0.5497,0.5654,0.5774,0.5313,0.5127,0.5074,0.503,0.5261,0.6082
11,0.5852,0.5902,0.5847,0.5969,0.5603,0.5225,0.5253,0.5192,0.5226,0.5303,0.6148
12,0.589,0.6099,0.5948,0.5885,0.5938,0.5088,0.4643,0.5325,0.5282,0.518,0.6259
13,0.625,0.6166,0.6076,0.6072,0.5837,0.5327,0.5017,0.5231,0.5517,0.516,0.6221
14,0.6272,0.6085,0.5931,0.6111,0.6132,0.541,0.5325,0.5396,0.5434,0.5461,0.6428
15,0.6153,0.6119,0.6257,0.6112,0.6182,0.5092,0.5298,0.5562,0.53,0.5056,0.647
16,0.645,0.6257,0.6078,0.6165,0.6168,0.5419,0.5535,0.5513,0.5372,0.5092,0.6476
17,0.6189,0.6416,0.625,0.6151,0.6375,0.5483,0.5491,0.546,0.5525,0.5402,0.6624
18,0.6572,0.6406,0.6327,0.5978,0.6377,0.5342,0.5637,0.531,0.5343,0.5273,0.6647
19,0.6338,0.6355,0.6303,0.6326,0.6399,0.5578,0.557,0.5498,0.518,0.5171,0.667
20,0.6513,0.6604,0.6282,0.6416,0.6406,0.5302,0.5414,0.5137,0.5535,0.5493,0.6697
21,0.6601,0.6625,0.6442,0.6448,0.621,0.5283,0.5314,0.5393,0.5566,0.5185,0.6811
22,0.669,0.6643,0.6507,0.6424,0.6554,0.5227,0.5568,0.5393,0.5552,0.5048,0.6825
23,0.6488,0.6717,0.63,0.6467,0.6391,0.5336,0.519,0.5502,0.5621,0.5587,0.6878
24,0.6723,0.6656,0.6488,0.6432,0.6518,0.5496,0.5552,0.5476,0.5354,0.5181,0.6852
25,0.6704,0.6751,0.6572,0.6554,0.655,0.5311,0.5349,0.5482,0.5289,0.5685,0.6917
26,0.6702,0.6778,0.648,0.6583,0.665,0.4976,0.4965,0.5499,0.5615,0.4618,0.6969
27,0.6689,0.6694,0.6563,0.656,0.6524,0.5636,0.5512,0.5386,0.5487,0.5246,0.684
28,0.6797,0.6841,0.6468,0.6668,0.654,0.5097,0.531,0.5519,0.5081,0.5049,0.7012
29,0.687,0.6668,0.6397,0.6546,0.6606,0.5374,0.4176,0.4896,0.5105,0.5042,0.695
30,0.683,0.6805,0.6699,0.6533,0.6658,0.5599,0.4839,0.5269,0.5266,0.5141,0.7071
31,0.676,0.6723,0.6649,0.6642,0.6589,0.5444,0.4885,0.4625,0.5447,0.5055,0.686
32,0.6808,0.6874,0.6594,0.6701,0.6736,0.5354,0.5226,0.5654,0.5419,0.5626,0.7063
33,0.6923,0.6872,0.6696,0.655,0.6725,0.4897,0.5581,0.5459,0.5315,0.5003,0.6861
