Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.1,0.1,0.1,0.1,0.1,0.1,0.1051,0.1018,0.1227,0.1076,0.1157
2,0.1004,0.1,0.1,0.1094,0.1,0.135,0.1743,0.1489,0.1447,0.1115,0.2366
3,0.1279,0.1307,0.1,0.1356,0.1037,0.1223,0.1557,0.1008,0.1361,0.1045,0.2624
4,0.1567,0.1441,0.1005,0.1519,0.1,0.1696,0.1693,0.1467,0.1755,0.1482,0.3202
5,0.1492,0.2197,0.1185,0.1972,0.1947,0.1441,0.1699,0.1611,0.1737,0.1629,0.3328
6,0.1361,0.2439,0.155,0.2058,0.1788,0.1706,0.1867,0.1641,0.1696,0.2047,0.3703
7,0.1796,0.259,0.1941,0.2211,0.1703,0.2614,0.1796,0.1254,0.262,0.1694,0.3946
8,0.1654,0.2769,0.2176,0.2437,0.2021,0.2129,0.2406,0.164,0.226,0.178,0.3975
9,0.2604,0.2913,0.1604,0.2707,0.1742,0.1772,0.2225,0.1843,0.2113,0.1937,0.4232
10,0.2519,0.3124,0.2437,0.248,0.2856,0.2414,0.2976,0.2156,0.2013,0.1674,0.4055
11,0.304,0.3298,0.1738,0.2864,0.2051,0.22,0.2742,0.1789,0.1987,0.2521,0.4398
12,0.3004,0.3689,0.2,0.2587,0.2505,0.2167,0.2951,0.1989,0.2878,0.2912,0.4405
13,0.2795,0.3998,0.3053,0.27,0.2986,0.256,0.2589,0.2306,0.1953,0.2681,0.4607
14,0.3394,0.3547,0.2431,0.2587,0.2595,0.1844,0.2501,0.225,0.252,0.2312,0.4863
15,0.3031,0.418,0.2145,0.289,0.2339,0.2239,0.2545,0.226,0.2664,0.2784,0.495
16,0.2972,0.394,0.2552,0.3093,0.2651,0.2142,0.2496,0.2415,0.3237,0.2843,0.5017
17,0.3518,0.4288,0.2546,0.2791,0.2939,0.2399,0.3178,0.2002,0.29,0.258,0.5129
18,0.3629,0.4094,0.2747,0.3002,0.2921,0.2572,0.2068,0.2313,0.2891,0.266,0.5105
19,0.3508,0.3856,0.2363,0.3,0.2995,0.2753,0.3281,0.1963,0.2753,0.2853,0.5133
20,0.3845,0.4118,0.2604,0.3223,0.2781,0.1885,0.2245,0.1763,0.299,0.2624,0.5293
21,0.3975,0.4336,0.265,0.3063,0.2984,0.2505,0.2891,0.1849,0.2361,0.2033,0.5339
22,0.396,0.4401,0.2565,0.2852,0.3478,0.2818,0.2489,0.1403,0.2731,0.2724,0.5351
23,0.3668,0.4259,0.3167,0.3333,0.2997,0.2517,0.2411,0.2683,0.2512,0.2762,0.5363
24,0.4192,0.4432,0.2881,0.3391,0.2943,0.2999,0.2291,0.2752,0.2718,0.2823,0.5375
25,0.3904,0.4516,0.2702,0.3175,0.3248,0.2363,0.3033,0.2098,0.3127,0.274,0.5408
26,0.4149,0.4363,0.3138,0.2926,0.3307,0.2821,0.3525,0.2543,0.2999,0.2527,0.5464
27,0.4074,0.4423,0.2964,0.3531,0.3728,0.2246,0.2197,0.1809,0.3242,0.2967,0.5476
28,0.4285,0.3881,0.2787,0.335,0.3455,0.2767,0.2388,0.2676,0.2794,0.2521,0.5613
29,0.4278,0.444,0.3544,0.3499,0.3522,0.2593,0.2684,0.2359,0.2919,0.2354,0.5696
30,0.412,0.4697,0.3148,0.3261,0.321,0.3024,0.3505,0.2214,0.2628,0.2615,0.559
31,0.4403,0.485,0.3158,0.3647,0.3594,0.3037,0.2626,0.2606,0.3089,0.3379,0.5766
32,0.4337,0.4518,0.3163,0.3335,0.3282,0.2419,0.2895,0.2744,0.2709,0.2582,0.5744
33,0.4609,0.4774,0.3273,0.3721,0.3556,0.2679,0.2825,0.238,0.2988,0.2496,0.5731
34,0.4487,0.4735,0.3397,0.3551,0.3708,0.2989,0.2538,0.2436,0.2475,0.3178,0.5686
35,0.4631,0.4708,0.3608,0.3989,0.3584,0.2447,0.3021,0.2743,0.303,0.2971,0.5862
36,0.4345,0.4865,0.3356,0.3762,0.4043,0.2778,0.3011,0.1902,0.1881,0.2434,0.5873
37,0.4653,0.5115,0.3451,0.3642,0.4066,0.2778,0.219,0.2131,0.3495,0.3119,0.5898
38,0.4658,0.4988,0.3299,0.3979,0.3797,0.2402,0.2477,0.2615,0.3516,0.3103,0.5892
39,0.4624,0.5023,0.3382,0.3669,0.3408,0.235,0.2859,0.26,0.3482,0.2235,0.5942
40,0.4695,0.506,0.3487,0.4002,0.3753,0.2132,0.321,0.2463,0.3085,0.2914,0.5959
41,0.4963,0.5125,0.3456,0.4071,0.4015,0.2574,0.2911,0.254,0.2847,0.3488,0.5984
42,0.473,0.5185,0.3239,0.3712,0.3335,0.2967,0.2499,0.2773,0.2955,0.3158,0.6035
43,0.4844,0.5129,0.344,0.3978,0.3992,0.2771,0.214,0.3093,0.2588,0.2832,0.5927
44,0.4658,0.4979,0.3722,0.383,0.3497,0.2201,0.2578,0.3078,0.291,0.2584,0.6138
45,0.4965,0.5216,0.3808,0.4034,0.3878,0.2494,0.2704,0.2658,0.3334,0.2856,0.6077
46,0.5241,0.5227,0.362,0.3396,0.4312,0.2682,0.2264,0.2149,0.2941,0.2611,0.6043
47,0.4802,0.541,0.3508,0.4079,0.3792,0.2108,0.2584,0.219,0.2201,0.2799,0.5978
48,0.4925,0.5076,0.3453,0.4028,0.3642,0.2629,0.3288,0.2039,0.3209,0.3108,0.6053
49,0.5003,0.516,0.3354,0.3928,0.4154,0.2837,0.296,0.2184,0.3065,0.2852,0.6165
50,0.4894,0.5064,0.32,0.3776,0.3765,0.2437,0.2665,0.2805,0.3039,0.2862,0.604
51,0.5119,0.5099,0.3618,0.4052,0.3942,0.2549,0.2975,0.2661,0.2675,0.2132,0.6181
52,0.498,0.5221,0.3744,0.4374,0.3882,0.2308,0.3032,0.2349,0.3248,0.2088,0.6184
53,0.5176,0.5418,0.3795,0.417,0.4062,0.2778,0.3248,0.2409,0.2853,0.2292,0.6253
54,0.4802,0.529,0.3656,0.3377,0.4253,0.2961,0.3046,0.3114,0.2737,0.2671,0.618
55,0.4975,0.5404,0.3684,0.3875,0.398,0.2653,0.2471,0.2955,0.3043,0.255,0.6136
56,0.5037,0.5497,0.3752,0.4319,0.4078,0.2372,0.3191,0.217,0.2881,0.2893,0.6072
57,0.5108,0.5182,0.3576,0.4001,0.408,0.2494,0.3178,0.2482,0.2648,0.225,0.6218
58,0.5461,0.5159,0.3804,0.4061,0.3599,0.2282,0.3254,0.311,0.2509,0.2196,0.6257
59,0.5223,0.5504,0.4208,0.4008,0.3935,0.2594,0.3348,0.311,0.3372,0.2529,0.629
60,0.504,0.5612,0.3787,0.4014,0.4228,0.3132,0.2949,0.2966,0.2498,0.195,0.6328
61,0.5378,0.5327,0.401,0.4297,0.3958,0.2653,0.2719,0.2703,0.2154,0.2103,0.6286
62,0.4997,0.5587,0.3512,0.3685,0.376,0.2426,0.2524,0.2736,0.2973,0.2477,0.6235
63,0.5334,0.5268,0.3631,0.4004,0.4126,0.252,0.3022,0.2355,0.314,0.2021,0.6217
64,0.5246,0.5357,0.3649,0.4107,0.3985,0.2619,0.315,0.2401,0.224,0.2392,0.6207
65,0.5257,0.5447,0.3911,0.4251,0.3983,0.2269,0.2452,0.2166,0.2548,0.302,0.6285
66,0.5014,0.5567,0.3973,0.4262,0.3679,0.2234,0.2426,0.3154,0.2716,0.3101,0.6314
67,0.5294,0.5378,0.392,0.4078,0.4748,0.2544,0.3031,0.2579,0.271,0.281,0.6322
68,0.4884,0.5502,0.4254,0.4308,0.4171,0.2287,0.2548,0.2155,0.2838,0.2464,0.6203
69,0.5362,0.5424,0.3723,0.4335,0.4136,0.2744,0.3107,0.2038,0.2782,0.2352,0.6352
70,0.515,0.5335,0.3816,0.4112,0.4008,0.2262,0.2827,0.2,0.255,0.2088,0.63
71,0.5146,0.5373,0.4179,0.4158,0.446,0.2543,0.2715,0.2627,0.305,0.298,0.6357
72,0.5354,0.545,0.3851,0.4238,0.4889,0.2294,0.2183,0.2706,0.2742,0.2378,0.6321
73,0.5612,0.5519,0.399,0.4174,0.3912,0.2583,0.2917,0.2681,0.2915,0.2152,0.6319
74,0.4971,0.553,0.3738,0.3881,0.3969,0.2828,0.2603,0.2544,0.2613,0.2586,0.6306
75,0.5429,0.555,0.3952,0.4012,0.4396,0.2712,0.2374,0.2366,0.2831,0.2837,0.6246
76,0.5189,0.5458,0.4258,0.4263,0.4173,0.2543,0.2928,0.2241,0.2297,0.2509,0.6331
77,0.5607,0.5274,0.4033,0.4583,0.4331,0.2659,0.3584,0.2728,0.2774,0.2436,0.6274
78,0.521,0.5631,0.3819,0.4172,0.4244,0.2479,0.2387,0.2341,0.3013,0.2492,0.6255
79,0.5184,0.5324,0.384,0.4496,0.397,0.2316,0.1939,0.2879,0.2451,0.2817,0.6418
80,0.5257,0.556,0.398,0.3985,0.4228,0.2227,0.2849,0.2668,0.2544,0.195,0.6354
81,0.5499,0.5645,0.3751,0.3858,0.4111,0.2607,0.2675,0.2887,0.1901,0.3026,0.6434
82,0.5265,0.5692,0.414,0.3618,0.4078,0.2128,0.2291,0.1921,0.2999,0.2237,0.6312
83,0.5201,0.5537,0.4005,0.4437,0.4438,0.1923,0.2272,0.2891,0.2511,0.2223,0.6416
84,0.5276,0.5395,0.4201,0.411,0.4563,0.2633,0.2529,0.2189,0.2499,0.2615,0.6261
85,0.5641,0.5522,0.3699,0.425,0.4416,0.2167,0.2987,0.2115,0.2375,0.2376,0.6414
86,0.5219,0.5418,0.4219,0.4097,0.4227,0.245,0.2783,0.2426,0.2434,0.2056,0.653
87,0.5004,0.5583,0.4072,0.4709,0.3906,0.2045,0.1949,0.2108,0.2981,0.2702,0.6439
88,0.5336,0.5488,0.4282,0.4612,0.4228,0.2418,0.2907,0.224,0.2627,0.2084,0.6391
89,0.5398,0.5618,0.4149,0.414,0.4491,0.2472,0.2899,0.2646,0.2642,0.2911,0.6398
90,0.5319,0.5454,0.3829,0.4253,0.4024,0.212,0.225,0.2171,0.24,0.2235,0.6312
91,0.5337,0.5655,0.3578,0.4119,0.4572,0.2095,0.2647,0.2311,0.2516,0.2932,0.636
92,0.5276,0.5634,0.4224,0.4379,0.4156,0.2295,0.1977,0.2709,0.2436,0.2305,0.6504
93,0.5042,0.5459,0.3571,0.4347,0.4344,0.2182,0.2238,0.2204,0.2836,0.1946,0.6389
94,0.5434,0.5716,0.4086,0.4467,0.4434,0.1965,0.245,0.2152,0.211,0.2016,0.6369
95,0.4995,0.5562,0.3923,0.4613,0.3972,0.1744,0.2654,0.1757,0.2418,0.2261,0.6493
96,0.5309,0.5669,0.3749,0.4126,0.4355,0.1977,0.2391,0.1795,0.2084,0.2494,0.6328
97,0.527,0.5466,0.4131,0.419,0.4467,0.1918,0.2615,0.1836,0.2709,0.2012,0.6448
98,0.5105,0.5537,0.4306,0.4277,0.4352,0.2507,0.2972,0.2544,0.3025,0.1834,0.6442
99,0.5208,0.5551,0.4145,0.4157,0.436,0.2132,0.2382,0.2219,0.2554,0.2777,0.6473
100,0.5404,0.5481,0.3966,0.427,0.4452,0.1988,0.2543,0.2297,0.2507,0.2329,0.6423
