Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.1,0.1008,0.1,0.1132,0.1304,0.1015,0.1545,0.1336,0.1308,0.1248,0.2093
2,0.1002,0.1012,0.1,0.1318,0.107,0.1498,0.2035,0.1543,0.1744,0.1204,0.2822
3,0.1588,0.1032,0.1234,0.1973,0.1177,0.195,0.2333,0.1441,0.1944,0.1162,0.3341
4,0.1122,0.1595,0.1575,0.1774,0.2232,0.1966,0.221,0.1536,0.2497,0.2194,0.388
5,0.2069,0.2543,0.2224,0.1937,0.1773,0.2363,0.2737,0.1937,0.2205,0.2358,0.4161
6,0.2279,0.2971,0.1679,0.2027,0.2271,0.2004,0.2799,0.2263,0.2706,0.2777,0.4339
7,0.2201,0.2833,0.2076,0.218,0.2456,0.2045,0.3242,0.2498,0.2394,0.265,0.4435
8,0.2348,0.3386,0.204,0.265,0.2276,0.2904,0.2924,0.2376,0.2896,0.286,0.4508
9,0.2357,0.3113,0.2174,0.2293,0.2412,0.2543,0.3148,0.2765,0.3215,0.2824,0.4684
10,0.2161,0.2744,0.2176,0.2869,0.2821,0.2604,0.2587,0.2757,0.3172,0.3062,0.4701
11,0.2608,0.3227,0.2228,0.2896,0.2357,0.2613,0.334,0.2927,0.3042,0.3143,0.4827
12,0.2202,0.3743,0.2465,0.2882,0.2508,0.2696,0.3545,0.3047,0.3293,0.3576,0.4927
13,0.2825,0.3803,0.2605,0.2993,0.2569,0.2972,0.3106,0.3061,0.32,0.3345,0.5022
14,0.3151,0.3709,0.248,0.2929,0.2915,0.2996,0.3401,0.3419,0.3494,0.3519,0.5097
15,0.3451,0.384,0.2127,0.2876,0.2883,0.3094,0.3559,0.3065,0.3853,0.33,0.5116
16,0.3167,0.3668,0.2456,0.3197,0.2808,0.3291,0.3798,0.3532,0.3717,0.3298,0.5174
17,0.2766,0.4137,0.2511,0.2945,0.2834,0.3083,0.3694,0.3321,0.3779,0.3562,0.5253
18,0.312,0.377,0.2775,0.3312,0.2973,0.3392,0.3842,0.3438,0.3731,0.3401,0.532
19,0.3208,0.3807,0.2734,0.3445,0.2966,0.3595,0.3507,0.3596,0.3664,0.3435,0.5343
20,0.391,0.4012,0.3102,0.3456,0.3208,0.334,0.4003,0.3646,0.3838,0.3787,0.5401
21,0.3192,0.4104,0.3048,0.3261,0.3319,0.3293,0.4027,0.3488,0.3621,0.3644,0.5477
22,0.3658,0.4271,0.2443,0.3444,0.3384,0.348,0.3811,0.3978,0.3978,0.3932,0.5516
23,0.3481,0.428,0.31,0.3253,0.3247,0.3602,0.4191,0.3789,0.3829,0.4003,0.5557
24,0.3811,0.444,0.3089,0.3734,0.3261,0.367,0.3952,0.4034,0.3689,0.3967,0.5575
25,0.3217,0.3927,0.3283,0.3607,0.3431,0.3851,0.4081,0.419,0.3709,0.4081,0.5663
26,0.4127,0.4422,0.3461,0.3512,0.3569,0.3658,0.4185,0.4131,0.3985,0.4195,0.5689
27,0.3794,0.4179,0.3375,0.3784,0.3641,0.4206,0.4227,0.4008,0.4381,0.4213,0.5729
28,0.3736,0.4353,0.3333,0.3638,0.3623,0.3594,0.4544,0.4235,0.4298,0.4187,0.5742
29,0.4113,0.4424,0.3219,0.3653,0.3521,0.39,0.4318,0.4098,0.4452,0.4216,0.575
30,0.3838,0.4375,0.3574,0.3746,0.3888,0.3757,0.4375,0.4024,0.4195,0.4277,0.579
31,0.4249,0.4651,0.3628,0.4009,0.3349,0.4039,0.4471,0.4439,0.4671,0.4368,0.5848
32,0.4278,0.4738,0.3246,0.379,0.3588,0.4043,0.4447,0.4253,0.4602,0.3895,0.5872
33,0.4038,0.4599,0.3391,0.4036,0.398,0.3705,0.4233,0.4259,0.4308,0.4063,0.5891
34,0.3976,0.4507,0.3484,0.3994,0.3751,0.4327,0.4251,0.4401,0.4389,0.4111,0.5892
35,0.4166,0.4701,0.3572,0.4254,0.3616,0.3864,0.4561,0.4184,0.4529,0.4503,0.589
36,0.4281,0.4596,0.3857,0.3977,0.3999,0.4331,0.4522,0.4393,0.4603,0.4609,0.5909
37,0.3985,0.4734,0.3688,0.4102,0.3835,0.3839,0.4504,0.436,0.4639,0.4365,0.5919
38,0.4011,0.4786,0.367,0.4229,0.3779,0.4188,0.427,0.4512,0.4628,0.4606,0.5951
39,0.4073,0.4873,0.3567,0.3996,0.3587,0.4299,0.4523,0.4551,0.4632,0.4313,0.5971
40,0.4267,0.4522,0.3703,0.3892,0.3779,0.4352,0.4485,0.4581,0.4672,0.4442,0.5964
41,0.4608,0.5009,0.3856,0.4047,0.396,0.4138,0.447,0.4805,0.4937,0.4351,0.5984
42,0.4634,0.4685,0.3987,0.4312,0.3942,0.434,0.4445,0.4712,0.462,0.4841,0.6011
43,0.4507,0.5041,0.3927,0.3825,0.3849,0.4336,0.4432,0.4813,0.4793,0.4757,0.601
44,0.4264,0.521,0.3887,0.4139,0.4212,0.4388,0.4936,0.4732,0.4639,0.4445,0.6029
45,0.4268,0.4784,0.4013,0.415,0.4053,0.4299,0.4798,0.4728,0.5106,0.4665,0.6045
46,0.453,0.4925,0.403,0.4356,0.3929,0.439,0.4887,0.4874,0.4778,0.4596,0.605
47,0.4463,0.4365,0.3873,0.4327,0.4181,0.4484,0.4642,0.5036,0.4793,0.4759,0.6028
48,0.4466,0.4643,0.399,0.4145,0.415,0.4693,0.4768,0.4808,0.4944,0.4729,0.6067
49,0.4395,0.488,0.4004,0.4419,0.4008,0.4376,0.4566,0.4831,0.4975,0.4864,0.6088
50,0.4555,0.5018,0.3973,0.4312,0.4064,0.4542,0.4716,0.464,0.4733,0.4513,0.6114
51,0.4724,0.4958,0.3833,0.4337,0.3898,0.4459,0.4843,0.5052,0.4849,0.4891,0.6119
52,0.4256,0.5108,0.4016,0.4592,0.4362,0.4441,0.4884,0.4898,0.5083,0.4869,0.6107
53,0.4511,0.5248,0.3848,0.4238,0.435,0.4653,0.4717,0.4864,0.511,0.481,0.6098
54,0.4471,0.5119,0.4108,0.4438,0.4208,0.4532,0.4697,0.5042,0.5195,0.4826,0.6109
55,0.4444,0.5032,0.4313,0.4399,0.4109,0.4715,0.4862,0.4901,0.5164,0.4822,0.612
56,0.4674,0.5102,0.4084,0.4253,0.4056,0.48,0.4464,0.4714,0.4844,0.4735,0.6072
57,0.4573,0.5007,0.4284,0.4375,0.428,0.4544,0.4682,0.4823,0.5154,0.459,0.6091
58,0.449,0.494,0.4094,0.4492,0.4523,0.4539,0.4619,0.4896,0.5006,0.4756,0.6107
59,0.4626,0.5067,0.4249,0.4285,0.4376,0.4451,0.4864,0.48,0.496,0.4584,0.6127
60,0.4721,0.5128,0.4184,0.4407,0.448,0.4622,0.4537,0.4876,0.5188,0.4754,0.6128
61,0.474,0.4977,0.4357,0.4449,0.4138,0.4567,0.4697,0.5154,0.5156,0.4838,0.6125
62,0.4572,0.5102,0.4132,0.4401,0.4676,0.4755,0.4664,0.5024,0.5027,0.4711,0.6157
63,0.4647,0.5041,0.4291,0.4449,0.4352,0.4671,0.4957,0.4978,0.4876,0.5086,0.6139
64,0.4766,0.5068,0.4358,0.4489,0.4411,0.4575,0.4827,0.4959,0.5036,0.456,0.617
65,0.4828,0.5092,0.4322,0.4512,0.432,0.445,0.4878,0.4972,0.5257,0.4821,0.6183
66,0.4658,0.5086,0.4275,0.4369,0.4351,0.4407,0.4782,0.4944,0.5105,0.4877,0.6152
67,0.4929,0.5182,0.4114,0.4468,0.452,0.4686,0.4986,0.4866,0.4833,0.5028,0.6183
68,0.4596,0.4954,0.4311,0.443,0.4229,0.4689,0.4657,0.5091,0.5023,0.4802,0.6166
69,0.4769,0.503,0.4205,0.4576,0.466,0.4606,0.4528,0.5063,0.5125,0.4759,0.6155
70,0.4892,0.5098,0.4353,0.4473,0.4607,0.4591,0.5228,0.4962,0.4905,0.4882,0.6166
71,0.4889,0.5134,0.4282,0.4782,0.4628,0.4901,0.4579,0.5215,0.5153,0.4895,0.6189
72,0.4641,0.5429,0.4535,0.442,0.4566,0.45,0.4921,0.4822,0.5383,0.4955,0.6205
73,0.4673,0.5344,0.4552,0.4739,0.4526,0.4609,0.509,0.5072,0.5256,0.4722,0.6179
74,0.4844,0.4978,0.4593,0.4611,0.4577,0.4679,0.4999,0.4994,0.5198,0.5042,0.6181
75,0.5049,0.5029,0.4146,0.4351,0.4337,0.4714,0.5273,0.4949,0.5027,0.4861,0.62
76,0.4941,0.5303,0.4522,0.4542,0.4271,0.4633,0.4863,0.5181,0.5285,0.503,0.6215
77,0.465,0.5235,0.4378,0.4791,0.4686,0.4797,0.4896,0.4835,0.5178,0.4796,0.6186
78,0.4575,0.504,0.4441,0.4667,0.4574,0.4677,0.511,0.4974,0.499,0.506,0.6196
