Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.1,0.1,0.1,0.1,0.1,0.12076,0.141772,0.12161200000000001,0.12237999999999997,0.110264,0.1125
2,0.1,0.1001,0.1,0.1321,0.104325,0.125152,0.1503,0.117488,0.128156,0.12264400000000002,0.182
3,0.1,0.1,0.10075,0.134175,0.10395000000000001,0.13225600000000004,0.158688,0.126424,0.13524400000000003,0.11814,0.2514
4,0.1,0.101,0.100275,0.1365,0.1115,0.146152,0.15648000000000004,0.128064,0.13292400000000001,0.12249999999999998,0.2689
5,0.1123,0.1022,0.10135,0.11682500000000001,0.10644999999999999,0.148864,0.15696000000000004,0.13278799999999996,0.14656799999999998,0.12602400000000002,0.2754
6,0.1,0.1019,0.1067,0.161625,0.12505,0.16668799999999998,0.178752,0.14775600000000003,0.166132,0.126416,0.2969
7,0.1251,0.1357,0.106725,0.16347499999999998,0.1318,0.165664,0.19318000000000002,0.14723599999999998,0.18370800000000004,0.14567600000000003,0.3219
8,0.1117,0.151,0.12507500000000002,0.149925,0.14489999999999997,0.17934,0.20079600000000006,0.164612,0.17784399999999997,0.158316,0.3443
9,0.1592,0.1437,0.146925,0.17312500000000003,0.1646,0.19527999999999998,0.21764400000000006,0.157628,0.18593600000000002,0.17520400000000003,0.3691
10,0.1566,0.1613,0.170925,0.1855,0.1958,0.18789999999999996,0.21184399999999998,0.171492,0.204304,0.182636,0.3821
11,0.1336,0.2467,0.1693,0.20679999999999998,0.17585,0.203608,0.22640000000000002,0.17379200000000006,0.20540000000000003,0.187916,0.3899
12,0.1724,0.2131,0.17509999999999998,0.21415,0.1807,0.208436,0.22858399999999995,0.17960400000000004,0.21376799999999999,0.20532400000000003,0.3795
13,0.2128,0.233,0.16212500000000002,0.23075,0.21242499999999997,0.21709999999999996,0.23619199999999999,0.18828,0.21822800000000003,0.207604,0.3955
14,0.1812,0.2395,0.18349999999999997,0.228225,0.190425,0.209964,0.23341600000000007,0.190564,0.22528800000000002,0.21423999999999999,0.4141
15,0.1869,0.2558,0.17179999999999998,0.2231,0.19795000000000001,0.21706,0.246968,0.192644,0.21896400000000005,0.21747200000000003,0.4048
16,0.2294,0.245,0.19590000000000002,0.23710000000000003,0.218225,0.224804,0.24273599999999998,0.20194000000000006,0.23077600000000004,0.20534000000000002,0.4228
17,0.2002,0.281,0.174725,0.242025,0.21802500000000002,0.21701200000000004,0.24793199999999996,0.20770399999999994,0.24056799999999995,0.228048,0.4218
18,0.2367,0.286,0.217825,0.266575,0.23722500000000002,0.231144,0.25989999999999996,0.21023999999999998,0.24379199999999998,0.235312,0.4326
19,0.2168,0.2868,0.21642499999999998,0.27325,0.237975,0.23570800000000006,0.2584480000000001,0.21517599999999998,0.24848800000000001,0.23948,0.4341
