Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
1,0.787,0.007,0.239,0.007,0.527,0.004,0.0,0.0,0.0,0.026
2,0.449,0.135,0.209,0.144,0.726,0.0,0.0,0.0,0.159,0.171
3,0.585,0.065,0.047,0.088,0.477,0.081,0.449,0.009,0.34,0.474
4,0.552,0.266,0.047,0.048,0.267,0.097,0.696,0.118,0.345,0.461
5,0.495,0.44,0.081,0.104,0.497,0.054,0.553,0.311,0.302,0.484
6,0.559,0.532,0.121,0.129,0.38,0.099,0.543,0.385,0.363,0.5
7,0.707,0.357,0.375,0.194,0.386,0.095,0.243,0.345,0.386,0.375
8,0.541,0.557,0.158,0.176,0.414,0.198,0.513,0.433,0.484,0.427
9,0.613,0.478,0.156,0.143,0.708,0.119,0.207,0.335,0.476,0.299
10,0.58,0.679,0.164,0.236,0.553,0.217,0.431,0.412,0.428,0.393
11,0.646,0.621,0.236,0.215,0.547,0.274,0.328,0.402,0.472,0.334
12,0.656,0.588,0.316,0.274,0.527,0.264,0.281,0.403,0.493,0.363
13,0.627,0.652,0.216,0.327,0.555,0.298,0.36,0.417,0.481,0.414
14,0.598,0.599,0.255,0.305,0.424,0.388,0.536,0.432,0.503,0.517
15,0.538,0.755,0.254,0.188,0.507,0.419,0.498,0.529,0.485,0.451
16,0.634,0.683,0.306,0.23,0.534,0.382,0.413,0.462,0.503,0.421
17,0.622,0.672,0.4,0.339,0.387,0.343,0.54,0.456,0.533,0.483
18,0.615,0.76,0.406,0.227,0.371,0.421,0.472,0.476,0.576,0.433
19,0.621,0.691,0.321,0.283,0.498,0.363,0.608,0.563,0.519,0.454
20,0.559,0.685,0.249,0.324,0.419,0.476,0.541,0.603,0.524,0.526
21,0.584,0.77,0.321,0.226,0.451,0.423,0.623,0.563,0.543,0.5
22,0.644,0.77,0.339,0.262,0.473,0.433,0.636,0.558,0.507,0.475
23,0.613,0.732,0.344,0.38,0.464,0.426,0.65,0.503,0.587,0.499
24,0.663,0.767,0.372,0.32,0.512,0.439,0.572,0.558,0.5,0.499
25,0.586,0.79,0.346,0.333,0.465,0.433,0.591,0.597,0.621,0.522
26,0.628,0.759,0.38,0.317,0.488,0.403,0.644,0.564,0.587,0.531
27,0.614,0.828,0.404,0.303,0.501,0.345,0.67,0.558,0.535,0.496
28,0.593,0.783,0.403,0.311,0.474,0.465,0.659,0.587,0.622,0.526
29,0.645,0.793,0.387,0.378,0.503,0.418,0.609,0.608,0.569,0.506
30,0.624,0.778,0.396,0.312,0.536,0.477,0.573,0.615,0.607,0.509
31,0.657,0.786,0.38,0.395,0.451,0.386,0.662,0.596,0.646,0.521
32,0.606,0.755,0.423,0.283,0.499,0.5,0.635,0.617,0.626,0.55
33,0.646,0.827,0.343,0.405,0.489,0.399,0.666,0.612,0.609,0.547
34,0.627,0.771,0.417,0.323,0.564,0.399,0.649,0.592,0.654,0.572
35,0.635,0.713,0.419,0.332,0.53,0.437,0.696,0.627,0.662,0.54
36,0.684,0.781,0.375,0.337,0.483,0.472,0.653,0.653,0.613,0.571
37,0.613,0.762,0.355,0.382,0.534,0.41,0.713,0.643,0.585,0.584
38,0.648,0.804,0.425,0.299,0.505,0.425,0.723,0.635,0.619,0.549
39,0.67,0.825,0.488,0.274,0.512,0.475,0.627,0.613,0.616,0.543
40,0.652,0.751,0.471,0.316,0.567,0.41,0.679,0.626,0.608,0.584
41,0.648,0.777,0.468,0.367,0.528,0.385,0.705,0.627,0.659,0.561
42,0.652,0.772,0.394,0.391,0.547,0.347,0.721,0.646,0.688,0.562
43,0.67,0.742,0.479,0.351,0.566,0.39,0.722,0.617,0.679,0.515
44,0.655,0.823,0.471,0.322,0.471,0.384,0.759,0.615,0.693,0.501
45,0.663,0.82,0.421,0.367,0.524,0.349,0.738,0.626,0.664,0.596
46,0.655,0.837,0.427,0.397,0.52,0.439,0.722,0.655,0.669,0.605
47,0.653,0.817,0.425,0.415,0.518,0.457,0.715,0.644,0.705,0.579
48,0.658,0.771,0.456,0.4,0.598,0.332,0.732,0.634,0.693,0.577
49,0.668,0.808,0.469,0.352,0.581,0.369,0.732,0.651,0.685,0.584
50,0.661,0.827,0.46,0.342,0.552,0.353,0.771,0.657,0.683,0.567
51,0.691,0.825,0.457,0.383,0.55,0.389,0.748,0.611,0.715,0.535
52,0.647,0.772,0.461,0.402,0.56,0.448,0.746,0.636,0.681,0.623
53,0.68,0.802,0.518,0.345,0.556,0.494,0.71,0.652,0.703,0.591
54,0.684,0.768,0.503,0.397,0.537,0.467,0.73,0.637,0.687,0.621
55,0.673,0.781,0.507,0.326,0.607,0.46,0.718,0.63,0.747,0.589
56,0.662,0.819,0.479,0.336,0.546,0.395,0.799,0.622,0.738,0.577
57,0.678,0.806,0.478,0.383,0.554,0.457,0.745,0.651,0.677,0.635
58,0.729,0.816,0.495,0.387,0.557,0.478,0.744,0.616,0.712,0.596
59,0.699,0.836,0.5,0.355,0.542,0.399,0.786,0.625,0.743,0.59
60,0.681,0.785,0.5,0.376,0.554,0.416,0.763,0.63,0.797,0.585
61,0.697,0.755,0.514,0.481,0.57,0.411,0.702,0.653,0.727,0.638
62,0.726,0.797,0.476,0.363,0.597,0.519,0.706,0.667,0.713,0.586
63,0.673,0.81,0.463,0.388,0.563,0.521,0.771,0.648,0.725,0.646
64,0.672,0.791,0.436,0.416,0.623,0.514,0.712,0.672,0.749,0.627
65,0.698,0.79,0.522,0.38,0.591,0.474,0.753,0.662,0.705,0.649
66,0.737,0.776,0.462,0.468,0.558,0.522,0.663,0.697,0.71,0.652
67,0.711,0.831,0.511,0.375,0.577,0.424,0.753,0.666,0.736,0.633
68,0.735,0.8,0.422,0.352,0.697,0.46,0.747,0.623,0.733,0.614
69,0.714,0.818,0.477,0.415,0.568,0.463,0.775,0.68,0.699,0.655
70,0.691,0.817,0.504,0.406,0.647,0.5,0.704,0.63,0.74,0.633
71,0.707,0.842,0.479,0.324,0.604,0.398,0.818,0.66,0.72,0.624
72,0.747,0.784,0.531,0.445,0.563,0.409,0.738,0.65,0.784,0.628
73,0.733,0.796,0.51,0.39,0.604,0.477,0.755,0.654,0.743,0.656
74,0.675,0.82,0.511,0.391,0.601,0.426,0.828,0.616,0.735,0.63
75,0.724,0.805,0.563,0.402,0.584,0.393,0.801,0.596,0.759,0.627
76,0.712,0.826,0.52,0.359,0.604,0.465,0.785,0.637,0.748,0.65
77,0.692,0.835,0.505,0.349,0.602,0.42,0.836,0.598,0.754,0.628
78,0.704,0.824,0.537,0.419,0.602,0.488,0.741,0.647,0.757,0.658
79,0.705,0.831,0.498,0.425,0.605,0.564,0.717,0.669,0.74,0.625
80,0.754,0.828,0.517,0.348,0.652,0.467,0.764,0.69,0.714,0.606
81,0.723,0.839,0.454,0.459,0.604,0.522,0.706,0.709,0.712,0.669
82,0.739,0.829,0.482,0.406,0.644,0.484,0.716,0.703,0.743,0.68
83,0.719,0.816,0.523,0.361,0.633,0.491,0.797,0.675,0.697,0.676
84,0.729,0.819,0.505,0.387,0.615,0.503,0.785,0.689,0.757,0.688
85,0.703,0.827,0.514,0.403,0.646,0.494,0.801,0.635,0.76,0.629
86,0.696,0.815,0.575,0.4,0.591,0.446,0.787,0.659,0.769,0.655
87,0.713,0.824,0.553,0.375,0.645,0.485,0.808,0.631,0.736,0.66
88,0.728,0.828,0.548,0.383,0.637,0.471,0.779,0.681,0.75,0.656
89,0.681,0.791,0.495,0.429,0.636,0.493,0.807,0.707,0.745,0.654
90,0.699,0.827,0.543,0.376,0.652,0.436,0.821,0.622,0.779,0.64
91,0.72,0.822,0.573,0.394,0.632,0.483,0.778,0.653,0.767,0.642
92,0.721,0.84,0.57,0.428,0.641,0.47,0.792,0.658,0.741,0.662
93,0.74,0.804,0.541,0.428,0.632,0.465,0.8,0.672,0.77,0.667
94,0.713,0.842,0.521,0.362,0.647,0.422,0.841,0.65,0.751,0.67
95,0.726,0.855,0.571,0.35,0.642,0.43,0.813,0.654,0.763,0.643
96,0.708,0.802,0.549,0.404,0.687,0.484,0.795,0.661,0.757,0.643
97,0.714,0.829,0.548,0.356,0.655,0.485,0.814,0.659,0.759,0.659
98,0.736,0.861,0.572,0.363,0.628,0.443,0.821,0.665,0.737,0.668
99,0.688,0.824,0.544,0.354,0.663,0.451,0.832,0.675,0.739,0.665
100,0.735,0.828,0.553,0.36,0.654,0.535,0.797,0.643,0.769,0.642
101,0.74,0.811,0.56,0.41,0.633,0.505,0.76,0.699,0.767,0.699
102,0.739,0.814,0.603,0.362,0.657,0.471,0.786,0.659,0.767,0.651
103,0.763,0.842,0.605,0.38,0.611,0.456,0.752,0.677,0.768,0.674
104,0.687,0.805,0.588,0.377,0.657,0.503,0.794,0.658,0.77,0.686
105,0.725,0.847,0.577,0.375,0.671,0.47,0.784,0.67,0.744,0.67
106,0.714,0.818,0.562,0.385,0.707,0.549,0.765,0.617,0.801,0.624
107,0.749,0.838,0.544,0.372,0.67,0.518,0.794,0.636,0.788,0.677
108,0.739,0.842,0.519,0.39,0.671,0.476,0.823,0.667,0.773,0.672
109,0.724,0.814,0.587,0.366,0.666,0.433,0.822,0.642,0.785,0.68
110,0.727,0.818,0.571,0.388,0.667,0.492,0.806,0.658,0.798,0.671
111,0.745,0.81,0.583,0.388,0.646,0.482,0.803,0.65,0.798,0.661
112,0.758,0.84,0.587,0.369,0.643,0.501,0.831,0.676,0.748,0.678
113,0.703,0.828,0.514,0.396,0.728,0.51,0.808,0.668,0.772,0.666
114,0.748,0.814,0.571,0.41,0.661,0.488,0.799,0.657,0.794,0.656
115,0.738,0.812,0.585,0.423,0.691,0.49,0.75,0.681,0.746,0.682
116,0.73,0.81,0.599,0.371,0.698,0.473,0.773,0.623,0.805,0.643
117,0.741,0.836,0.547,0.431,0.671,0.52,0.777,0.664,0.775,0.652
118,0.749,0.831,0.588,0.416,0.673,0.466,0.781,0.675,0.786,0.67
119,0.76,0.859,0.584,0.355,0.673,0.41,0.821,0.664,0.772,0.675
120,0.727,0.818,0.524,0.401,0.673,0.583,0.784,0.713,0.754,0.711
121,0.746,0.828,0.613,0.414,0.697,0.449,0.748,0.665,0.771,0.673
122,0.777,0.855,0.556,0.409,0.649,0.478,0.796,0.712,0.726,0.689
123,0.748,0.827,0.568,0.374,0.686,0.48,0.778,0.707,0.769,0.69
124,0.714,0.797,0.607,0.374,0.72,0.441,0.751,0.669,0.815,0.681
125,0.751,0.824,0.593,0.387,0.677,0.489,0.797,0.664,0.787,0.656
126,0.745,0.831,0.562,0.376,0.73,0.508,0.781,0.646,0.778,0.631
127,0.737,0.853,0.59,0.355,0.637,0.496,0.828,0.68,0.795,0.662
128,0.761,0.832,0.63,0.393,0.637,0.455,0.817,0.662,0.762,0.65
129,0.759,0.849,0.548,0.432,0.698,0.543,0.756,0.693,0.771,0.687
130,0.712,0.824,0.606,0.396,0.674,0.426,0.827,0.68,0.802,0.661
131,0.745,0.849,0.564,0.429,0.658,0.508,0.811,0.695,0.773,0.665
