Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
1,0.984,0.134,0.0,0.003,0.318,0.0,0.0,0.0,0.0,0.0
2,0.853,0.247,0.038,0.134,0.662,0.03,0.0,0.002,0.013,0.153
3,0.88,0.342,0.04,0.203,0.185,0.002,0.506,0.108,0.037,0.171
4,0.558,0.842,0.027,0.262,0.398,0.004,0.216,0.228,0.111,0.314
5,0.532,0.838,0.395,0.212,0.289,0.011,0.37,0.326,0.121,0.309
6,0.756,0.6,0.1,0.341,0.437,0.0,0.234,0.258,0.348,0.26
7,0.738,0.695,0.432,0.13,0.312,0.2,0.269,0.413,0.25,0.268
8,0.626,0.79,0.155,0.304,0.445,0.178,0.341,0.425,0.407,0.376
9,0.639,0.794,0.388,0.192,0.361,0.227,0.349,0.471,0.409,0.314
10,0.563,0.914,0.182,0.303,0.079,0.229,0.302,0.464,0.43,0.245
11,0.658,0.777,0.34,0.27,0.495,0.2,0.383,0.468,0.39,0.293
12,0.662,0.854,0.247,0.231,0.409,0.418,0.418,0.486,0.462,0.29
13,0.652,0.805,0.271,0.359,0.318,0.342,0.473,0.549,0.451,0.465
14,0.673,0.87,0.345,0.364,0.354,0.279,0.547,0.506,0.355,0.401
15,0.68,0.802,0.199,0.438,0.3,0.436,0.332,0.567,0.404,0.536
16,0.643,0.889,0.179,0.413,0.493,0.289,0.612,0.578,0.369,0.383
17,0.686,0.875,0.236,0.415,0.514,0.359,0.349,0.534,0.481,0.424
18,0.705,0.86,0.383,0.312,0.433,0.384,0.455,0.593,0.348,0.443
19,0.746,0.872,0.448,0.354,0.412,0.278,0.565,0.481,0.421,0.427
20,0.619,0.815,0.302,0.321,0.487,0.284,0.559,0.686,0.425,0.604
21,0.729,0.849,0.312,0.38,0.421,0.343,0.642,0.625,0.47,0.471
22,0.731,0.823,0.37,0.356,0.482,0.434,0.527,0.611,0.435,0.523
23,0.659,0.842,0.209,0.586,0.505,0.254,0.647,0.499,0.679,0.394
24,0.732,0.79,0.394,0.336,0.466,0.276,0.741,0.573,0.433,0.538
25,0.703,0.858,0.258,0.472,0.52,0.404,0.593,0.629,0.499,0.482
26,0.753,0.87,0.329,0.399,0.555,0.392,0.545,0.603,0.476,0.522
27,0.72,0.872,0.32,0.383,0.481,0.343,0.658,0.614,0.551,0.556
28,0.712,0.854,0.379,0.314,0.581,0.314,0.713,0.555,0.516,0.489
29,0.707,0.855,0.3,0.45,0.518,0.395,0.675,0.595,0.555,0.579
30,0.707,0.882,0.344,0.42,0.468,0.339,0.7,0.572,0.6,0.571
31,0.738,0.826,0.374,0.421,0.612,0.342,0.665,0.559,0.562,0.619
32,0.724,0.85,0.367,0.4,0.527,0.331,0.731,0.661,0.617,0.541
33,0.788,0.876,0.486,0.254,0.572,0.304,0.606,0.604,0.549,0.462
34,0.761,0.815,0.442,0.361,0.597,0.323,0.671,0.529,0.622,0.55
35,0.763,0.883,0.392,0.452,0.581,0.353,0.647,0.583,0.658,0.443
36,0.756,0.851,0.466,0.379,0.589,0.276,0.708,0.552,0.627,0.53
37,0.719,0.841,0.478,0.416,0.518,0.364,0.659,0.701,0.57,0.567
38,0.717,0.84,0.57,0.303,0.541,0.326,0.733,0.602,0.657,0.504
39,0.766,0.852,0.356,0.448,0.578,0.472,0.617,0.662,0.594,0.583
40,0.75,0.855,0.576,0.416,0.442,0.313,0.683,0.689,0.635,0.565
41,0.73,0.848,0.379,0.413,0.604,0.416,0.697,0.669,0.592,0.559
42,0.771,0.88,0.424,0.417,0.548,0.433,0.651,0.629,0.63,0.568
43,0.765,0.88,0.417,0.392,0.604,0.431,0.639,0.671,0.595,0.514
44,0.76,0.851,0.382,0.451,0.571,0.535,0.617,0.617,0.659,0.588
45,0.744,0.8,0.44,0.41,0.672,0.39,0.655,0.63,0.638,0.621
46,0.771,0.872,0.443,0.441,0.602,0.505,0.551,0.634,0.614,0.536
47,0.785,0.857,0.56,0.409,0.524,0.44,0.635,0.621,0.645,0.571
48,0.757,0.852,0.415,0.516,0.642,0.422,0.671,0.622,0.577,0.587
49,0.757,0.865,0.424,0.551,0.552,0.405,0.63,0.646,0.675,0.598
50,0.807,0.884,0.477,0.41,0.597,0.398,0.693,0.653,0.581,0.507
51,0.811,0.886,0.508,0.402,0.573,0.42,0.633,0.68,0.654,0.511
52,0.79,0.842,0.475,0.496,0.589,0.41,0.688,0.595,0.688,0.608
53,0.776,0.798,0.426,0.382,0.672,0.454,0.663,0.675,0.589,0.646
54,0.812,0.866,0.477,0.464,0.518,0.488,0.668,0.645,0.61,0.596
55,0.738,0.864,0.559,0.427,0.572,0.318,0.738,0.603,0.74,0.536
56,0.851,0.893,0.537,0.328,0.498,0.397,0.736,0.587,0.554,0.533
57,0.759,0.826,0.58,0.376,0.536,0.441,0.703,0.545,0.765,0.558
58,0.783,0.866,0.456,0.313,0.63,0.507,0.755,0.603,0.623,0.627
59,0.799,0.799,0.465,0.443,0.604,0.483,0.728,0.581,0.659,0.643
60,0.813,0.84,0.523,0.446,0.534,0.36,0.786,0.596,0.679,0.579
61,0.784,0.817,0.469,0.391,0.56,0.447,0.831,0.54,0.683,0.616
62,0.793,0.851,0.438,0.457,0.597,0.468,0.755,0.658,0.605,0.604
63,0.814,0.888,0.538,0.305,0.548,0.427,0.714,0.639,0.549,0.64
64,0.779,0.877,0.55,0.378,0.565,0.4,0.741,0.63,0.652,0.575
65,0.798,0.881,0.433,0.446,0.587,0.566,0.665,0.649,0.642,0.561
66,0.765,0.846,0.47,0.418,0.616,0.523,0.689,0.705,0.672,0.557
67,0.797,0.852,0.4,0.484,0.614,0.538,0.645,0.637,0.724,0.602
68,0.798,0.83,0.479,0.473,0.628,0.355,0.771,0.674,0.652,0.629
69,0.788,0.875,0.47,0.529,0.559,0.463,0.662,0.601,0.684,0.624
70,0.805,0.882,0.48,0.438,0.629,0.566,0.622,0.628,0.636,0.601
71,0.807,0.841,0.455,0.407,0.607,0.389,0.71,0.714,0.663,0.669
72,0.826,0.869,0.534,0.355,0.626,0.493,0.747,0.653,0.613,0.554
73,0.783,0.865,0.453,0.515,0.535,0.44,0.686,0.598,0.743,0.616
74,0.813,0.855,0.504,0.339,0.581,0.462,0.783,0.691,0.645,0.672
75,0.811,0.851,0.563,0.4,0.603,0.385,0.745,0.603,0.742,0.553
76,0.755,0.874,0.418,0.446,0.615,0.516,0.744,0.655,0.672,0.663
77,0.809,0.86,0.561,0.522,0.568,0.37,0.643,0.572,0.743,0.564
78,0.807,0.883,0.545,0.416,0.562,0.461,0.719,0.601,0.656,0.59
