Round,Class_0_Acc,Class_1_Acc,Class_2_Acc,Class_3_Acc,Class_4_Acc,Class_5_Acc,Class_6_Acc,Class_7_Acc,Class_8_Acc,Class_9_Acc
1,0.423,0.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.905,0.469,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0
3,0.541,0.977,0.001,0.033,0.16,0.006,0.0,0.048,0.0,0.0
4,0.746,0.933,0.177,0.152,0.089,0.171,0.171,0.179,0.03,0.0
5,0.744,0.926,0.18,0.178,0.19,0.281,0.425,0.225,0.07,0.029
6,0.742,0.932,0.045,0.04,0.279,0.339,0.44,0.304,0.133,0.056
7,0.737,0.941,0.168,0.134,0.367,0.315,0.403,0.342,0.142,0.026
8,0.847,0.865,0.133,0.157,0.403,0.305,0.457,0.382,0.174,0.177
9,0.857,0.907,0.299,0.12,0.285,0.339,0.428,0.413,0.165,0.094
10,0.81,0.888,0.213,0.202,0.418,0.386,0.563,0.466,0.208,0.314
11,0.822,0.897,0.305,0.123,0.358,0.449,0.466,0.528,0.316,0.206
12,0.845,0.899,0.338,0.181,0.425,0.389,0.511,0.434,0.296,0.213
13,0.849,0.932,0.244,0.221,0.4,0.362,0.547,0.513,0.266,0.231
14,0.868,0.86,0.274,0.254,0.496,0.484,0.518,0.477,0.272,0.315
15,0.852,0.858,0.205,0.321,0.523,0.43,0.542,0.553,0.359,0.369
16,0.845,0.876,0.288,0.182,0.405,0.571,0.437,0.515,0.463,0.283
17,0.84,0.913,0.306,0.291,0.456,0.397,0.538,0.574,0.395,0.379
18,0.862,0.897,0.299,0.188,0.453,0.555,0.561,0.416,0.424,0.23
19,0.87,0.89,0.325,0.191,0.342,0.557,0.554,0.586,0.327,0.365
20,0.849,0.899,0.314,0.308,0.476,0.501,0.495,0.518,0.435,0.342
21,0.848,0.905,0.364,0.275,0.559,0.486,0.608,0.493,0.421,0.335
22,0.882,0.864,0.319,0.368,0.453,0.519,0.596,0.475,0.385,0.332
23,0.824,0.883,0.368,0.28,0.581,0.41,0.601,0.538,0.56,0.371
24,0.869,0.873,0.396,0.321,0.453,0.465,0.551,0.578,0.495,0.316
25,0.848,0.844,0.386,0.327,0.502,0.504,0.575,0.57,0.509,0.426
26,0.834,0.885,0.368,0.223,0.539,0.43,0.687,0.594,0.538,0.436
27,0.866,0.883,0.395,0.309,0.478,0.461,0.673,0.551,0.469,0.399
28,0.856,0.89,0.381,0.354,0.535,0.397,0.661,0.549,0.491,0.366
29,0.889,0.896,0.318,0.391,0.5,0.408,0.65,0.522,0.462,0.392
30,0.859,0.91,0.408,0.258,0.469,0.525,0.552,0.653,0.445,0.354
31,0.859,0.892,0.381,0.342,0.483,0.457,0.595,0.551,0.528,0.408
32,0.877,0.863,0.274,0.32,0.534,0.552,0.583,0.481,0.561,0.403
33,0.844,0.884,0.387,0.349,0.494,0.434,0.611,0.598,0.55,0.445
34,0.857,0.89,0.364,0.282,0.446,0.487,0.673,0.594,0.504,0.464
35,0.861,0.896,0.425,0.302,0.442,0.486,0.628,0.555,0.521,0.319
36,0.882,0.889,0.342,0.258,0.509,0.541,0.554,0.564,0.496,0.403
37,0.865,0.903,0.318,0.25,0.513,0.562,0.538,0.534,0.515,0.389
38,0.859,0.891,0.34,0.259,0.515,0.475,0.621,0.57,0.57,0.431
39,0.851,0.898,0.335,0.319,0.481,0.474,0.659,0.547,0.51,0.418
40,0.862,0.879,0.377,0.278,0.479,0.564,0.612,0.528,0.571,0.418
41,0.837,0.874,0.356,0.307,0.476,0.527,0.544,0.596,0.619,0.39
42,0.855,0.874,0.35,0.31,0.456,0.463,0.709,0.577,0.604,0.466
43,0.876,0.867,0.332,0.244,0.587,0.51,0.591,0.606,0.502,0.441
44,0.831,0.873,0.324,0.298,0.514,0.555,0.66,0.587,0.62,0.39
45,0.864,0.844,0.357,0.265,0.532,0.48,0.676,0.58,0.569,0.505
46,0.872,0.883,0.375,0.271,0.45,0.521,0.638,0.625,0.508,0.471
47,0.867,0.867,0.381,0.283,0.54,0.482,0.618,0.546,0.507,0.417
48,0.847,0.892,0.356,0.334,0.487,0.461,0.606,0.571,0.536,0.441
49,0.833,0.87,0.436,0.305,0.438,0.477,0.725,0.533,0.547,0.456
50,0.865,0.871,0.327,0.286,0.509,0.523,0.619,0.596,0.536,0.473
51,0.85,0.865,0.367,0.339,0.499,0.487,0.629,0.588,0.541,0.467
52,0.854,0.88,0.398,0.309,0.498,0.418,0.677,0.567,0.56,0.393
53,0.868,0.876,0.356,0.374,0.428,0.51,0.632,0.543,0.417,0.459
54,0.877,0.886,0.32,0.357,0.411,0.421,0.59,0.588,0.539,0.404
55,0.868,0.879,0.357,0.321,0.416,0.513,0.613,0.561,0.548,0.454
56,0.86,0.88,0.373,0.326,0.433,0.519,0.588,0.574,0.553,0.389
57,0.867,0.89,0.314,0.306,0.452,0.545,0.661,0.483,0.578,0.376
58,0.853,0.901,0.359,0.365,0.423,0.43,0.565,0.547,0.586,0.43
59,0.852,0.882,0.275,0.325,0.437,0.498,0.646,0.594,0.612,0.44
60,0.876,0.908,0.367,0.317,0.425,0.491,0.554,0.504,0.578,0.297
61,0.872,0.892,0.372,0.27,0.455,0.553,0.625,0.515,0.53,0.418
62,0.886,0.881,0.368,0.297,0.337,0.524,0.661,0.526,0.572,0.384
63,0.874,0.898,0.335,0.329,0.412,0.503,0.664,0.543,0.452,0.439
64,0.836,0.89,0.389,0.361,0.4,0.463,0.608,0.534,0.54,0.432
65,0.858,0.908,0.373,0.393,0.435,0.45,0.604,0.599,0.508,0.394
66,0.869,0.895,0.38,0.362,0.443,0.505,0.583,0.546,0.498,0.402
67,0.856,0.873,0.33,0.361,0.502,0.498,0.64,0.559,0.503,0.432
68,0.874,0.906,0.274,0.375,0.48,0.462,0.599,0.555,0.475,0.427
69,0.888,0.916,0.38,0.221,0.433,0.587,0.601,0.518,0.444,0.371
70,0.874,0.887,0.357,0.266,0.524,0.494,0.58,0.597,0.551,0.416
71,0.849,0.902,0.338,0.301,0.492,0.537,0.668,0.528,0.539,0.434
72,0.839,0.896,0.421,0.322,0.434,0.515,0.616,0.567,0.592,0.422
73,0.883,0.914,0.397,0.346,0.48,0.462,0.538,0.546,0.514,0.373
74,0.874,0.907,0.343,0.32,0.464,0.484,0.596,0.58,0.55,0.358
