Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,1.7676,1.6845,1.6990,1.7250,1.7298,1.7041,1.7591,1.7167,1.7453,1.7765
2,1.5879,1.5439,1.5699,1.5273,1.5523,1.5754,1.6150,1.6332,1.5636,1.5836
3,1.4165,1.4696,1.4970,1.4492,1.5427,1.5486,1.5931,1.5614,1.5173,1.5316
4,1.3584,1.2985,1.4477,1.4177,1.3767,1.4889,1.5442,1.4436,1.4675,1.4991
5,1.2664,1.3704,1.4305,1.3350,1.3068,1.4017,1.4826,1.3999,1.3884,1.4819
6,1.2246,1.1741,1.2612,1.2092,1.2692,1.3685,1.4104,1.3449,1.3840,1.4151
7,1.2625,1.2258,1.2288,1.1760,1.1720,1.3546,1.4028,1.3227,1.3274,1.3286
8,1.1033,1.0825,1.2262,1.1329,1.1483,1.3220,1.3331,1.2683,1.3002,1.3188
9,1.0779,1.0648,1.1155,1.1095,1.1365,1.3443,1.3148,1.3066,1.2680,1.2774
10,1.0468,1.0385,1.1453,1.0750,1.0720,1.2308,1.2781,1.1847,1.2234,1.2458
11,1.0485,0.9745,1.0527,1.0414,1.0573,1.2185,1.3106,1.2279,1.2129,1.2385
12,0.9678,0.9313,1.0651,0.9756,1.0118,1.2319,1.2645,1.1942,1.1956,1.2481
13,0.9692,0.8935,1.0298,0.9940,0.9803,1.1947,1.2384,1.1796,1.1722,1.2700
14,0.8792,0.8514,0.9747,0.9322,0.9813,1.1944,1.1901,1.1683,1.1923,1.1421
15,0.9101,0.8691,0.9634,0.8866,0.9130,1.1687,1.2062,1.1531,1.1986,1.1312
16,0.8056,0.8172,0.9371,0.8658,0.8909,1.1495,1.1597,1.1401,1.2050,1.1819
17,0.8161,0.8065,0.9583,0.8704,0.9017,1.1672,1.1294,1.1538,1.1163,1.0967
18,0.8078,0.7771,0.8880,0.8851,0.8816,1.1333,1.1489,1.0817,1.1242,1.1334
19,0.7620,0.7155,0.8721,0.8569,0.8851,1.2020,1.1344,1.1118,1.0993,1.2019
20,0.8422,0.7218,0.8679,0.8139,0.8560,1.0734,1.1216,1.1003,1.0887,1.0945
21,0.7577,0.6950,0.8490,0.8308,0.8499,1.1128,1.1104,1.0672,1.1033,1.1507
22,0.7444,0.6974,0.8157,0.7864,0.8236,1.0948,1.0867,1.0687,1.0796,1.0819
23,0.7587,0.7354,0.8123,0.7893,0.7854,1.1693,1.1690,1.0537,1.0832,1.1209
24,0.6943,0.6485,0.8308,0.7970,0.7845,1.1031,1.1561,1.0477,1.0411,1.0799
25,0.6957,0.6404,0.7796,0.7715,0.7565,1.1136,1.0838,1.0492,1.0369,1.0481
26,0.6819,0.6132,0.8082,0.7554,0.7432,1.0735,1.0687,1.0140,1.0960,1.0271
27,0.6970,0.6123,0.7292,0.7392,0.7267,1.0635,1.0603,1.0242,1.0204,1.0534
28,0.6472,0.6032,0.7621,0.7541,0.7614,1.0583,1.0977,1.0265,1.0521,1.0563
29,0.6557,0.5958,0.7454,0.7052,0.6831,1.0167,1.0938,1.0584,1.0223,1.0813
30,0.6026,0.5628,0.7259,0.6869,0.6875,1.0475,1.1375,1.0365,1.0605,1.0596
31,0.5904,0.5393,0.6955,0.7057,0.6960,1.0302,1.0755,1.0263,1.0292,1.0557
32,0.6028,0.5206,0.7215,0.6739,0.6898,1.0702,1.1067,1.0458,1.0276,1.0041
33,0.5809,0.5696,0.7139,0.6911,0.7023,1.0840,1.0627,1.0735,1.0179,1.0444
