Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,0.8170,0.7621,0.9352,0.8627,0.8713,0.8056,0.7960,0.8144,0.7473,0.7303
2,0.8012,0.7869,0.8828,0.8608,0.8383,0.8004,0.7631,0.8078,0.7152,0.7335
3,0.8050,0.7464,0.8521,0.8147,0.8136,0.7837,0.7747,0.8032,0.7210,0.7058
4,0.7544,0.7313,0.8422,0.8001,0.8092,0.7760,0.7522,0.7754,0.7100,0.6950
5,0.6885,0.6734,0.8157,0.7704,0.8028,0.7657,0.7432,0.7518,0.6936,0.6763
6,0.6818,0.6497,0.7757,0.7336,0.7538,0.7379,0.7356,0.7388,0.6924,0.6749
7,0.6556,0.6338,0.7605,0.6967,0.7440,0.7173,0.7172,0.7114,0.6422,0.6599
8,0.6520,0.6136,0.7241,0.7037,0.7221,0.6982,0.6886,0.7046,0.6470,0.6511
9,0.6424,0.5712,0.7471,0.6808,0.7035,0.7212,0.6800,0.7075,0.6612,0.6450
10,0.6028,0.5626,0.7046,0.6624,0.7009,0.6828,0.6882,0.6937,0.6228,0.6355
11,0.5962,0.5476,0.6855,0.6570,0.6662,0.7035,0.6710,0.6873,0.6104,0.6050
12,0.6027,0.5343,0.6908,0.6548,0.6691,0.6847,0.6531,0.6770,0.5988,0.5859
13,0.5675,0.5430,0.6601,0.6314,0.6718,0.6779,0.6577,0.6582,0.6105,0.6003
14,0.5777,0.5243,0.6823,0.6347,0.6445,0.6616,0.6558,0.6683,0.5905,0.5886
15,0.5606,0.4789,0.6522,0.6101,0.6407,0.6687,0.6298,0.6390,0.5904,0.5827
16,0.5534,0.4840,0.6369,0.5780,0.6276,0.6529,0.6273,0.6417,0.5733,0.5579
17,0.5301,0.4643,0.6202,0.5879,0.6146,0.6465,0.6523,0.6246,0.5640,0.5590
18,0.5287,0.4530,0.6398,0.5817,0.6168,0.6523,0.6121,0.6288,0.5638,0.5644
19,0.5110,0.4474,0.6287,0.5797,0.6118,0.6409,0.6225,0.6215,0.5634,0.5463
20,0.5045,0.4418,0.6114,0.5704,0.6085,0.6368,0.6154,0.6170,0.5535,0.5498
21,0.4937,0.4275,0.6037,0.5538,0.6003,0.6336,0.6160,0.6048,0.5462,0.5582
22,0.5076,0.4254,0.6006,0.5579,0.5900,0.6191,0.5933,0.6096,0.5480,0.5511
23,0.4756,0.4108,0.5824,0.5524,0.5809,0.6248,0.5980,0.5934,0.5532,0.5432
24,0.4753,0.4078,0.5816,0.5451,0.5823,0.6094,0.5964,0.6036,0.5335,0.5355
