Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,1.8308,1.7226,1.7075,1.8116,1.6976,1.7727,1.6888,1.6945,1.6864,1.7750
2,1.6090,1.5892,1.5891,1.4922,1.5769,1.5725,1.6884,1.8409,1.5328,1.5881
3,1.3762,1.3700,1.4230,1.4132,1.5397,1.5542,1.5467,1.4695,1.4893,1.4695
4,1.3477,1.3173,1.3534,1.3987,1.3579,1.4278,1.5373,1.4614,1.4138,1.5502
5,1.2454,1.2243,1.3551,1.2783,1.3051,1.3918,1.4827,1.3676,1.3733,1.4238
6,1.2238,1.1694,1.2776,1.1502,1.2257,1.3434,1.4108,1.3945,1.4340,1.3262
7,1.1341,1.0820,1.2487,1.1857,1.1901,1.3141,1.3222,1.2448,1.4577,1.3566
8,1.0853,1.0438,1.1491,1.1276,1.1389,1.3151,1.4523,1.2751,1.2777,1.3131
9,1.0414,0.9944,1.1382,1.1528,1.0693,1.2370,1.2929,1.3803,1.3147,1.3427
10,0.9784,0.9675,1.0759,1.0245,1.1189,1.2711,1.2768,1.2205,1.1762,1.2172
11,0.9315,0.9154,1.0152,0.9765,1.0158,1.2654,1.3591,1.2937,1.1772,1.2473
12,0.8776,0.9293,1.0386,0.9957,0.9527,1.2800,1.4403,1.1774,1.1804,1.2005
13,0.8383,0.7834,0.9899,0.9423,1.0034,1.2059,1.2965,1.3368,1.1256,1.2600
14,0.7667,0.8193,0.9152,0.9121,0.9562,1.1522,1.2737,1.2896,1.1301,1.1903
15,0.7733,0.7478,0.9063,0.8958,0.9039,1.3450,1.2535,1.1835,1.2593,1.3929
16,0.7287,0.7762,0.9986,0.8212,0.9243,1.1870,1.1405,1.1417,1.1830,1.3195
17,0.7040,0.7171,0.9510,0.9315,0.8969,1.2072,1.1243,1.2216,1.1184,1.1358
18,0.7065,0.6528,0.9112,0.9215,0.8755,1.2106,1.1492,1.3026,1.1559,1.3532
19,0.7041,0.5993,0.8574,0.8224,0.8708,1.2044,1.1393,1.1401,1.2533,1.1872
20,0.6372,0.5897,0.8497,0.8287,0.8532,1.2133,1.2085,1.2765,1.1684,1.1856
21,0.6104,0.5746,0.8223,0.7915,0.8342,1.2477,1.2911,1.2501,1.0688,1.2580
22,0.6360,0.5351,0.8325,0.7690,0.8516,1.3083,1.2199,1.1120,1.1661,1.2413
23,0.5619,0.5648,0.7683,0.7716,0.8177,1.3067,1.2386,1.1384,1.1102,1.2800
24,0.5670,0.5462,0.8260,0.7820,0.8361,1.1893,1.1925,1.1350,1.3207,1.2010
25,0.5382,0.4739,0.8073,0.7444,0.7855,1.3061,1.2256,1.1608,1.1979,1.1329
26,0.5151,0.4335,0.7978,0.7658,0.7599,1.2237,1.3639,1.1016,1.2424,1.3586
27,0.4900,0.4685,0.7969,0.7500,0.7757,1.1839,1.2457,1.1456,1.2195,1.3534
28,0.4740,0.4719,0.7775,0.7894,0.7753,1.2802,1.3538,1.1279,1.3618,1.2472
29,0.4527,0.4135,0.7130,0.7665,0.7617,1.2449,1.5497,1.4635,1.1905,1.3168
30,0.4486,0.3929,0.7529,0.6886,0.7294,1.1866,1.3343,1.1788,1.2193,1.2721
31,0.4468,0.3747,0.7670,0.7590,0.6898,1.1536,1.4548,1.3135,1.2157,1.2844
32,0.4109,0.3490,0.7405,0.6812,0.7545,1.2015,1.2222,1.0824,1.2248,1.1376
33,0.3700,0.3281,0.7316,0.7363,0.6915,1.3814,1.2200,1.2160,1.1880,1.3284
34,0.3896,0.3532,0.7936,0.6595,0.6997,1.2604,1.5160,1.3142,1.4130,1.2196
35,0.3916,0.3234,0.6420,0.6902,0.6606,1.5568,1.3158,1.4239,1.2217,1.2583
36,0.3505,0.3184,0.7057,0.6420,0.6742,1.3673,1.1692,1.3049,1.2337,1.2736
37,0.3281,0.3040,0.6978,0.6471,0.6903,1.2935,1.2977,1.3191,1.3289,1.2557
38,0.2883,0.2612,0.6975,0.6423,0.7274,1.3386,1.5535,1.1330,1.3953,1.4761
39,0.2854,0.2914,0.6833,0.6338,0.6461,1.2078,1.2548,1.3130,1.2098,1.2262
40,0.2728,0.2629,0.6438,0.6412,0.7528,1.2362,1.3218,1.2675,1.1132,1.3861
41,0.2687,0.2270,0.6663,0.6581,0.6192,1.4790,1.3233,1.2158,1.2748,1.2760
42,0.2666,0.2647,0.6526,0.7058,0.6710,1.3758,1.1883,1.1663,1.2168,1.2680
43,0.2544,0.2190,0.7258,0.6978,0.6791,1.4968,1.3609,1.5326,1.3796,1.3027
44,0.2240,0.2093,0.7051,0.6116,0.6173,1.3200,1.2826,1.1972,1.5222,1.3250
45,0.2353,0.1983,0.6788,0.6429,0.6653,1.3256,1.2748,1.2598,1.2311,1.2113
46,0.2042,0.2002,0.6822,0.6087,0.5986,1.1228,1.3394,1.3812,1.1374,1.2954
47,0.2014,0.1931,0.6208,0.6805,0.6102,1.2330,1.4593,1.1914,1.3030,1.1732
48,0.1859,0.1713,0.6278,0.5780,0.6815,1.4035,1.3435,1.3658,1.3314,1.2604
49,0.2053,0.1707,0.6528,0.5943,0.6322,1.5795,1.6456,1.3024,1.3919,1.4834
50,0.2171,0.1536,0.6549,0.6494,0.6229,1.3602,1.4241,1.4536,1.3922,1.5789
51,0.1846,0.1679,0.6460,0.5647,0.6471,1.4503,1.3441,1.2356,1.4513,1.3065
52,0.1648,0.1493,0.6550,0.5747,0.5998,1.5194,1.5261,1.1986,1.2572,1.3160
53,0.1611,0.1450,0.6121,0.6044,0.6435,1.3162,1.2813,1.4243,1.3692,1.2857
54,0.1552,0.1293,0.6081,0.6602,0.6361,1.4850,1.3142,1.5492,1.4142,1.3994
55,0.1333,0.1489,0.6263,0.5703,0.6757,1.5186,1.4423,1.2882,1.3776,1.2375
56,0.1455,0.1249,0.6204,0.6056,0.6102,1.5903,1.4409,1.3630,1.5550,1.3357
57,0.1366,0.1344,0.5885,0.5765,0.5961,1.3144,1.4544,1.4695,1.3404,1.4195
58,0.1363,0.1173,0.6103,0.5545,0.6330,1.3967,1.3758,1.3580,1.2464,1.3058
59,0.1205,0.1096,0.6618,0.6543,0.5770,1.4793,1.3684,1.3831,1.3955,1.3828
60,0.1081,0.1040,0.6063,0.5344,0.5603,1.7857,1.5593,1.3865,1.3258,1.5240
61,0.1282,0.1188,0.6014,0.5596,0.5627,1.3530,1.4380,1.3037,1.2869,1.4795
62,0.1080,0.0863,0.5994,0.5728,0.5898,1.3332,1.5201,1.5082,1.3585,1.5944
63,0.1212,0.1396,0.6277,0.5584,0.6474,1.6239,1.5402,1.4387,1.2802,1.3854
64,0.1043,0.1082,0.6037,0.5887,0.6112,1.3936,1.4962,1.5404,1.5704,1.4468
65,0.1055,0.1074,0.6333,0.5939,0.6062,1.3885,1.3641,1.5467,1.3158,1.4732
66,0.0755,0.0768,0.5615,0.5663,0.6340,1.4776,1.7253,1.3678,1.3023,1.3250
67,0.0937,0.0963,0.5813,0.5494,0.6351,1.8206,1.6645,1.5044,1.6135,1.6429
68,0.0648,0.0723,0.5870,0.5465,0.5855,1.4599,1.5817,1.3698,1.3639,1.6455
69,0.0912,0.0836,0.5840,0.5566,0.5566,1.4422,1.5037,1.5262,1.6385,1.5081
70,0.0638,0.0698,0.5738,0.5995,0.6009,1.3559,1.5011,1.4129,1.5513,1.5609
71,0.1060,0.0581,0.6560,0.6143,0.6040,1.4459,1.4107,1.4932,1.5928,1.3143
72,0.0628,0.0662,0.6147,0.5796,0.5329,1.4712,1.5194,1.5891,1.4422,1.6334
73,0.0547,0.0600,0.5754,0.5822,0.5403,1.3972,1.4748,1.6007,1.6720,1.4235
74,0.0741,0.0834,0.5608,0.5755,0.5812,1.8216,1.6031,1.6124,1.3556,1.5413
75,0.0649,0.0528,0.6310,0.5923,0.5830,1.4273,1.4205,1.5039,1.4409,1.4244
76,0.0691,0.0585,0.5950,0.5498,0.5772,1.4955,1.5986,1.4946,1.4286,1.4930
77,0.0561,0.0483,0.5628,0.5514,0.5510,1.4283,1.8316,1.6551,1.6917,1.5325
78,0.0479,0.0432,0.5252,0.5213,0.5860,1.3302,1.5292,1.5269,1.4906,1.4794
79,0.0560,0.0445,0.5877,0.5280,0.6200,1.4037,1.5291,1.5763,1.6192,1.4367
80,0.0441,0.0537,0.5797,0.5278,0.5951,1.6684,1.6686,1.4315,1.5809,1.5825
81,0.0434,0.0623,0.5741,0.5369,0.5254,1.5485,1.4623,1.4579,1.5097,1.4008
82,0.0475,0.0582,0.5623,0.6121,0.5709,1.5874,1.7663,1.3360,1.6139,1.4704
83,0.0581,0.0414,0.5878,0.5569,0.5553,1.3307,1.4721,1.6348,1.3491,1.5813
84,0.0750,0.0499,0.5019,0.5420,0.5678,1.5793,1.7012,1.5931,1.3951,1.6390
85,0.0428,0.0626,0.5708,0.4916,0.5809,1.5303,1.5371,1.4516,1.6919,1.5206
86,0.0411,0.0552,0.5790,0.5362,0.5684,1.4943,1.7538,1.4556,1.5667,1.5626
