Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10
1,0.7929,0.7729,0.8732,0.8919,0.8532,0.8282,0.8065,0.8097,0.7445,0.7400
2,0.8334,0.8012,0.8670,0.8347,0.8368,0.7973,0.7810,0.8036,0.7261,0.7212
3,0.8329,0.7780,0.8572,0.8300,0.8471,0.7998,0.7719,0.7878,0.7235,0.7247
4,0.7969,0.7162,0.8505,0.7955,0.8063,0.7702,0.7664,0.7745,0.7174,0.7034
5,0.7754,0.7215,0.8231,0.7772,0.7957,0.7739,0.7499,0.7611,0.7077,0.6968
6,0.7422,0.6941,0.8034,0.7520,0.7739,0.7534,0.7327,0.7315,0.6816,0.6896
7,0.6951,0.6874,0.7788,0.7177,0.7711,0.7359,0.7224,0.7245,0.6674,0.6670
8,0.6624,0.6354,0.7600,0.7159,0.7499,0.7289,0.7199,0.7030,0.6602,0.6436
9,0.6508,0.6128,0.7414,0.6880,0.7281,0.7184,0.6944,0.7069,0.6476,0.6296
10,0.6626,0.5983,0.7234,0.6838,0.7227,0.7041,0.6868,0.6927,0.6283,0.6193
11,0.6418,0.5778,0.7343,0.6770,0.7142,0.7006,0.6784,0.6849,0.6348,0.6212
12,0.6221,0.5659,0.7126,0.6615,0.7000,0.6902,0.6665,0.6831,0.6296,0.6019
13,0.6147,0.5538,0.6911,0.6599,0.6955,0.6770,0.6714,0.6626,0.6086,0.5982
14,0.6119,0.5508,0.6801,0.6490,0.6703,0.6734,0.6546,0.6570,0.5991,0.5921
15,0.5770,0.5621,0.6857,0.6343,0.6626,0.6685,0.6526,0.6615,0.5927,0.5947
16,0.5801,0.5845,0.6708,0.6170,0.6560,0.6492,0.6455,0.6563,0.5935,0.5924
17,0.6094,0.5173,0.6651,0.6148,0.6529,0.6543,0.6391,0.6328,0.5931,0.5801
18,0.5723,0.5164,0.6599,0.6140,0.6510,0.6430,0.6363,0.6287,0.5741,0.5683
19,0.5519,0.5205,0.6455,0.6200,0.6355,0.6455,0.6362,0.6413,0.5701,0.5736
20,0.5692,0.5192,0.6310,0.6072,0.6434,0.6504,0.6264,0.6258,0.5682,0.5651
21,0.5605,0.4920,0.6359,0.6021,0.6280,0.6426,0.6122,0.6175,0.5601,0.5509
22,0.5400,0.5112,0.6259,0.5868,0.6228,0.6205,0.6115,0.6112,0.5617,0.5424
23,0.5506,0.4692,0.6251,0.5877,0.6228,0.6284,0.6073,0.6019,0.5496,0.5553
24,0.5221,0.4812,0.6123,0.5835,0.6086,0.6268,0.6041,0.6038,0.5370,0.5580
25,0.5139,0.4918,0.6258,0.5724,0.6045,0.6196,0.5988,0.6000,0.5498,0.5324
26,0.5352,0.4752,0.6240,0.5770,0.6021,0.6119,0.5905,0.5976,0.5403,0.5306
27,0.5268,0.4701,0.6074,0.5742,0.5941,0.6128,0.5813,0.5889,0.5302,0.5206
28,0.5148,0.4607,0.6115,0.5592,0.5851,0.6113,0.6014,0.5883,0.5266,0.5378
29,0.5113,0.4551,0.5978,0.5570,0.5783,0.5915,0.5831,0.5663,0.5324,0.5288
30,0.4918,0.4271,0.5851,0.5661,0.5938,0.5938,0.5842,0.5801,0.5183,0.5139
31,0.4918,0.4615,0.5973,0.5572,0.5916,0.5930,0.5832,0.5774,0.5152,0.5149
32,0.4819,0.4305,0.5897,0.5445,0.5822,0.6057,0.5821,0.5835,0.5163,0.5186
33,0.4825,0.4391,0.5836,0.5282,0.5796,0.5948,0.5692,0.5715,0.5132,0.5055
34,0.5011,0.4140,0.5898,0.5497,0.5588,0.5870,0.5623,0.5731,0.5111,0.5151
35,0.4863,0.4217,0.5676,0.5476,0.5607,0.5794,0.5649,0.5624,0.5045,0.5120
36,0.4840,0.3968,0.5685,0.5371,0.5607,0.5788,0.5599,0.5604,0.5000,0.5058
37,0.4783,0.4139,0.5747,0.5205,0.5644,0.5841,0.5481,0.5505,0.4888,0.4964
38,0.4704,0.4113,0.5646,0.5212,0.5559,0.5692,0.5641,0.5479,0.4865,0.4979
39,0.4763,0.4030,0.5687,0.5240,0.5550,0.5787,0.5516,0.5524,0.4813,0.5066
40,0.4591,0.3917,0.5592,0.5222,0.5440,0.5726,0.5492,0.5430,0.4766,0.4889
41,0.4655,0.3834,0.5512,0.5124,0.5489,0.5693,0.5397,0.5323,0.4833,0.4901
42,0.4701,0.3894,0.5519,0.5205,0.5373,0.5678,0.5422,0.5444,0.4840,0.4893
43,0.4512,0.3971,0.5439,0.4948,0.5322,0.5736,0.5405,0.5332,0.4810,0.4868
44,0.4455,0.3752,0.5574,0.5198,0.5323,0.5627,0.5318,0.5283,0.4740,0.4764
45,0.4318,0.3718,0.5507,0.5065,0.5242,0.5615,0.5138,0.5395,0.4687,0.4791
46,0.4343,0.3911,0.5460,0.5259,0.5265,0.5625,0.5227,0.5340,0.4753,0.4778
47,0.4284,0.3780,0.5354,0.5002,0.5313,0.5551,0.5025,0.5139,0.4626,0.4873
48,0.4287,0.3660,0.5355,0.4997,0.5219,0.5479,0.5167,0.5178,0.4840,0.4740
49,0.4295,0.3801,0.5282,0.4942,0.5152,0.5608,0.5190,0.5247,0.4664,0.4671
50,0.4312,0.3792,0.5259,0.4854,0.5073,0.5468,0.5241,0.5161,0.4634,0.4728
51,0.4189,0.3605,0.5161,0.4980,0.5114,0.5620,0.5226,0.5070,0.4604,0.4624
52,0.4258,0.3949,0.5134,0.4738,0.5068,0.5429,0.5127,0.5166,0.4560,0.4659
53,0.4185,0.3650,0.5243,0.4743,0.4958,0.5389,0.5095,0.5144,0.4591,0.4599
54,0.4022,0.3665,0.5233,0.4880,0.4964,0.5429,0.5057,0.5093,0.4544,0.4621
55,0.4047,0.3439,0.5129,0.4772,0.4918,0.5361,0.4976,0.5157,0.4556,0.4680
56,0.3911,0.3541,0.5134,0.4881,0.5012,0.5358,0.5077,0.5015,0.4495,0.4616
57,0.3951,0.3614,0.5006,0.4784,0.4964,0.5481,0.4980,0.4934,0.4566,0.4593
58,0.3999,0.3611,0.5085,0.4717,0.4799,0.5340,0.4921,0.5045,0.4552,0.4605
59,0.3933,0.3595,0.4937,0.4786,0.4813,0.5440,0.4971,0.4923,0.4453,0.4497
60,0.4057,0.3552,0.5129,0.4678,0.4759,0.5348,0.4906,0.4949,0.4399,0.4515
61,0.3980,0.3473,0.4885,0.4630,0.4784,0.5241,0.4976,0.4942,0.4395,0.4599
62,0.3973,0.3409,0.4855,0.4602,0.4730,0.5270,0.4865,0.4897,0.4366,0.4494
63,0.4023,0.3241,0.4831,0.4572,0.4767,0.5288,0.4986,0.4899,0.4415,0.4529
64,0.3894,0.3454,0.4844,0.4564,0.4752,0.5170,0.4804,0.4924,0.4336,0.4545
65,0.3754,0.3462,0.4848,0.4637,0.4686,0.5365,0.4835,0.4923,0.4430,0.4342
66,0.3781,0.3338,0.4829,0.4635,0.4690,0.5203,0.4880,0.4800,0.4371,0.4453
67,0.3639,0.3227,0.4817,0.4598,0.4655,0.5269,0.4892,0.4895,0.4249,0.4488
68,0.4102,0.3505,0.4727,0.4406,0.4621,0.5189,0.4867,0.4789,0.4273,0.4429
69,0.3790,0.3121,0.4926,0.4627,0.4631,0.5138,0.4737,0.4848,0.4295,0.4543
70,0.3696,0.3319,0.4833,0.4316,0.4520,0.5234,0.4738,0.4762,0.4220,0.4373
71,0.3800,0.3192,0.4729,0.4475,0.4414,0.5082,0.4712,0.4808,0.4310,0.4396
72,0.3569,0.3099,0.4631,0.4308,0.4523,0.5074,0.4684,0.4722,0.4300,0.4333
73,0.3597,0.3166,0.4738,0.4383,0.4624,0.5135,0.4730,0.4707,0.4181,0.4423
74,0.3603,0.3095,0.4601,0.4343,0.4484,0.5059,0.4816,0.4740,0.4270,0.4373
75,0.3518,0.2950,0.4638,0.4388,0.4356,0.5068,0.4758,0.4617,0.4255,0.4327
76,0.3469,0.3058,0.4604,0.4381,0.4367,0.5118,0.4688,0.4745,0.4229,0.4380
77,0.3642,0.3195,0.4532,0.4198,0.4377,0.5116,0.4684,0.4661,0.4308,0.4341
78,0.3461,0.3014,0.4566,0.4268,0.4375,0.5164,0.4757,0.4626,0.4202,0.4276
79,0.3542,0.3006,0.4496,0.4264,0.4260,0.5065,0.4559,0.4605,0.4186,0.4474
80,0.3432,0.3093,0.4524,0.4384,0.4367,0.5222,0.4651,0.4660,0.4147,0.4322
81,0.3419,0.3082,0.4429,0.4227,0.4224,0.5114,0.4522,0.4619,0.4128,0.4282
82,0.3409,0.2930,0.4554,0.4189,0.4237,0.5138,0.4548,0.4587,0.4089,0.4405
83,0.3438,0.2926,0.4469,0.4343,0.4253,0.5075,0.4597,0.4680,0.4129,0.4287
84,0.3259,0.2910,0.4459,0.4182,0.4207,0.5063,0.4652,0.4689,0.4148,0.4314
85,0.3492,0.2771,0.4330,0.4134,0.4170,0.5010,0.4582,0.4600,0.4080,0.4290
86,0.3417,0.2775,0.4309,0.4063,0.4087,0.4863,0.4511,0.4606,0.4131,0.4278
87,0.3219,0.2945,0.4409,0.4080,0.4057,0.5122,0.4445,0.4557,0.4106,0.4372
88,0.3426,0.2838,0.4494,0.4195,0.4033,0.5008,0.4558,0.4601,0.4135,0.4240
89,0.3150,0.2739,0.4319,0.4132,0.4145,0.4977,0.4549,0.4556,0.4013,0.4257
90,0.3126,0.2675,0.4353,0.4153,0.4171,0.4937,0.4480,0.4478,0.3993,0.4227
91,0.3271,0.2641,0.4281,0.4016,0.3987,0.5059,0.4576,0.4498,0.4069,0.4224
92,0.3516,0.2696,0.4217,0.4049,0.4013,0.5105,0.4604,0.4544,0.4077,0.4289
93,0.3125,0.2644,0.4171,0.4056,0.4039,0.4985,0.4433,0.4384,0.4024,0.4193
94,0.3243,0.2684,0.4270,0.4020,0.4013,0.5077,0.4495,0.4496,0.4052,0.4266
95,0.3117,0.2901,0.4162,0.3992,0.3941,0.4956,0.4479,0.4438,0.4042,0.4198
96,0.3054,0.2840,0.4231,0.3929,0.4001,0.4903,0.4534,0.4398,0.4072,0.4277
97,0.3134,0.2577,0.4247,0.4116,0.3914,0.5003,0.4577,0.4507,0.4088,0.4209
98,0.3133,0.2618,0.4272,0.3859,0.3850,0.5058,0.4536,0.4507,0.4044,0.4211
99,0.3121,0.2621,0.4175,0.3959,0.3852,0.5013,0.4542,0.4444,0.4006,0.4309
100,0.3153,0.2752,0.4195,0.3925,0.3809,0.5014,0.4358,0.4475,0.4030,0.4095
101,0.3006,0.2503,0.4140,0.3914,0.3844,0.4995,0.4606,0.4486,0.4035,0.4250
102,0.2977,0.2478,0.4089,0.3961,0.3770,0.4962,0.4364,0.4482,0.4025,0.4162
103,0.3039,0.2547,0.3995,0.3805,0.3945,0.4877,0.4598,0.4368,0.3989,0.4153
104,0.2906,0.2622,0.4147,0.3987,0.3860,0.4877,0.4490,0.4491,0.4018,0.4222
105,0.2894,0.2460,0.4079,0.3995,0.3724,0.4936,0.4394,0.4450,0.3902,0.4195
106,0.3016,0.2398,0.4063,0.3864,0.3694,0.4848,0.4435,0.4496,0.3990,0.4197
107,0.2899,0.2630,0.4065,0.3807,0.3844,0.4946,0.4516,0.4409,0.3947,0.4174
108,0.2945,0.2513,0.4107,0.3797,0.3648,0.4935,0.4317,0.4481,0.4003,0.4281
109,0.2917,0.2435,0.4000,0.3740,0.3726,0.4972,0.4471,0.4421,0.3998,0.4155
110,0.2974,0.2361,0.4012,0.3900,0.3739,0.4942,0.4456,0.4390,0.3970,0.4109
111,0.2918,0.2323,0.3936,0.3756,0.3844,0.4940,0.4461,0.4362,0.3896,0.4164
112,0.3065,0.2393,0.3977,0.3811,0.3674,0.5028,0.4358,0.4372,0.3952,0.4146
113,0.2905,0.2360,0.4052,0.3775,0.3716,0.4945,0.4341,0.4325,0.4009,0.4083
114,0.2900,0.2414,0.3991,0.3800,0.3628,0.5022,0.4425,0.4547,0.3912,0.4272
115,0.2787,0.2560,0.3813,0.3700,0.3723,0.4894,0.4399,0.4389,0.4080,0.4076
116,0.2886,0.2447,0.3972,0.3783,0.3563,0.4904,0.4372,0.4408,0.3964,0.4164
117,0.2906,0.2505,0.3902,0.3750,0.3614,0.4938,0.4348,0.4278,0.3835,0.4113
118,0.2783,0.2249,0.3925,0.3698,0.3607,0.4902,0.4272,0.4348,0.3934,0.4067
119,0.2852,0.2359,0.3925,0.3787,0.3549,0.4929,0.4325,0.4392,0.3920,0.4028
120,0.2682,0.2356,0.3946,0.3654,0.3636,0.4886,0.4233,0.4371,0.3921,0.4099
121,0.2925,0.2201,0.3951,0.3681,0.3558,0.4884,0.4168,0.4354,0.3942,0.4169
122,0.2756,0.2259,0.3794,0.3670,0.3609,0.4958,0.4375,0.4294,0.3823,0.4109
123,0.2786,0.2352,0.3748,0.3645,0.3675,0.4874,0.4283,0.4288,0.3966,0.4143
124,0.2927,0.2350,0.3754,0.3655,0.3584,0.4831,0.4303,0.4265,0.3966,0.4142
