Round,Subset,0,1,2,3,4,5,6,7,8,9
1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Aggregated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,10,0.169,0.0,0.001,0.001,0.007,0.092,0.006,0.001,0.0,1.0
2,Aggregated,0.162,0.0,0.0,0.0,0.008,0.087,0.006,0.001,0.0,1.0
3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,7,0.003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.003,0.0
3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,10,0.041,0.0,0.002,0.026,0.056,0.012,0.015,0.015,0.022,1.0
3,Aggregated,0.043,0.0,0.001,0.026,0.053,0.014,0.015,0.016,0.023,1.0
4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.002,0.0
4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.005,0.0
4,6,0.0,0.002,0.0,0.0,0.0,1.0,0.0,0.0,0.057,0.034
4,7,0.043,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.019,0.0
4,8,0.0,0.003,0.0,0.0,0.0,0.0,0.0,1.0,0.157,0.0
4,9,0.0,0.0,0.0,0.0,0.003,0.0,0.006,0.0,1.0,0.0
4,10,0.285,0.0,0.027,0.04,0.116,0.139,0.052,0.059,0.032,1.0
4,Aggregated,0.287,0.0,0.022,0.044,0.112,0.141,0.048,0.064,0.032,1.0
5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,0.067,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.138,0.006
5,5,0.0,0.002,0.0,0.0,0.997,0.0,0.0,0.0,0.146,0.003
5,6,0.088,0.084,0.0,0.0,0.0,0.998,0.0,0.0,0.043,0.038
5,7,0.039,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.208,0.0
5,8,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.155,0.0
5,9,0.0,0.0,0.0,0.015,0.015,0.0,0.156,0.0,0.998,0.0
5,10,0.215,0.0,0.073,0.016,0.382,0.092,0.04,0.044,0.025,0.999
5,Aggregated,0.219,0.0,0.08,0.017,0.375,0.096,0.043,0.048,0.025,0.999
6,1,1.0,0.0,0.0,0.0,0.0,0.004,0.008,0.0,0.0,0.0
6,2,0.0,1.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0
6,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,0.142,0.001,0.0,0.999,0.0,0.0,0.0,0.0,0.117,0.006
6,5,0.0,0.0,0.0,0.0,0.995,0.0,0.0,0.0,0.172,0.034
6,6,0.059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.093,0.006
6,7,0.451,0.029,0.0,0.0,0.0,0.0,0.997,0.0,0.065,0.15
6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.177,0.0
6,9,0.0,0.0,0.288,0.01,0.0,0.008,0.132,0.0,0.995,0.0
6,10,0.229,0.0,0.123,0.007,0.056,0.201,0.132,0.087,0.054,1.0
6,Aggregated,0.229,0.0,0.12,0.007,0.054,0.202,0.13,0.088,0.054,1.0
7,1,0.995,0.0,0.0,0.128,0.0,0.103,0.002,0.001,0.0,0.002
7,2,0.0,0.999,0.0,0.0,0.155,0.001,0.0,0.0,0.0,0.0
7,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
7,4,0.077,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.134,0.049
7,5,0.002,0.019,0.0,0.0,0.996,0.0,0.0,0.0,0.024,0.171
7,6,0.064,0.029,0.0,0.0,0.0,0.999,0.0,0.0,0.292,0.13
7,7,0.158,0.024,0.0,0.0,0.0,0.0,0.998,0.0,0.194,0.04
7,8,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.156,0.0
7,9,0.0,0.0,0.001,0.01,0.0,0.0,0.252,0.009,0.998,0.0
7,10,0.308,0.0,0.186,0.124,0.166,0.084,0.143,0.112,0.133,0.997
7,Aggregated,0.313,0.0,0.188,0.124,0.168,0.086,0.149,0.111,0.129,0.997
8,1,0.998,0.002,0.0,0.055,0.023,0.0,0.109,0.022,0.0,0.001
8,2,0.005,0.998,0.082,0.0,0.199,0.006,0.063,0.065,0.0,0.0
8,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.013,0.001
8,4,0.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.222,0.025
8,5,0.0,0.249,0.0,0.0,0.994,0.0,0.0,0.0,0.219,0.049
8,6,0.113,0.012,0.0,0.0,0.0,0.999,0.0,0.0,0.252,0.062
8,7,0.396,0.035,0.0,0.0,0.0,0.0,0.997,0.002,0.447,0.047
8,8,0.002,0.026,0.0,0.0,0.0,0.0,0.0,0.999,0.262,0.0
8,9,0.0,0.0,0.0,0.005,0.065,0.018,0.136,0.007,0.999,0.0
8,10,0.388,0.0,0.18,0.063,0.423,0.194,0.289,0.174,0.151,0.984
