Round,Subset,0,1,2,3,4,5,6,7,8,9
1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0018,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,7,0.0829,0.0099,0.0,0.0,0.0,0.0,0.9994999999999999,0.0,0.0154,0.008900000000000002
1,8,0.0021999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0005,0.0
1,9,0.0,0.0,0.0,0.0,0.0,0.00030000000000000003,0.0,0.0002,0.9998999999999999,0.0
1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Aggregated,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0001,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0107,0.0
2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.0004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0125,0.0004
2,5,0.0015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0004,0.0
2,6,0.007200000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0038,0.004399999999999999
2,7,0.14049999999999999,0.006500000000000001,0.0,0.0,0.0,0.0,0.9997,0.0,0.0399,0.0081
2,8,0.014500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.9998999999999999,0.00030000000000000003,0.0
2,9,0.0,0.0,0.01,0.00030000000000000003,0.0129,0.00030000000000000003,0.0637,0.00030000000000000003,0.9999,0.0
2,10,0.016,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,1.0
2,Aggregated,0.461,0.0,0.0,0.0,0.0,0.007,0.0,0.001,0.0,0.946
3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0.0036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0
3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.0022,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.003999999999999999,0.0
3,5,0.0001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,6,0.0063,0.0019,0.0,0.0,0.0,1.0,0.0,0.0,0.0008,0.0051
3,7,0.1125,0.005300000000000001,0.0,0.0,0.0,0.0,0.9995,0.0,0.0859,0.015000000000000003
3,8,0.005599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0064,0.0
3,9,0.0,0.0,0.019,0.0002,0.0,0.0002,0.0076,0.0034000000000000002,0.9999,0.0
3,10,0.02,0.0,0.0,0.001,0.03,0.001,0.0,0.0,0.0,1.0
3,Aggregated,0.315,0.001,0.0,0.0,0.0,0.037,0.0,0.007,0.0,0.993
4,1,1.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0
4,2,0.0002,1.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0
4,3,0.00030000000000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.018600000000000002,0.0001,0.0,0.9998000000000001,0.0,0.0,0.0,0.0,0.0196,0.0018
4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.004200000000000001,0.0004
4,6,0.020499999999999997,0.0017000000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0132,0.0045
4,7,0.18259999999999998,0.0032,0.0,0.0,0.0,0.0,0.9991000000000001,0.0,0.11949999999999998,0.014400000000000001
4,8,0.041100000000000005,0.0005,0.0,0.0,0.0,0.0,0.0,0.9992000000000001,0.027299999999999998,0.0
4,9,0.0,0.0,0.0,0.00030000000000000003,0.007600000000000001,0.0,0.0402,0.0012,0.9999,0.0
4,10,0.146,0.0,0.0,0.0,0.006,0.093,0.0,0.007,0.026,0.999
4,Aggregated,0.335,0.0,0.0,0.001,0.0,0.093,0.0,0.022,0.005,0.994
5,1,0.9999,0.0,0.0,0.0,0.0,0.0002,0.0144,0.0,0.0,0.0
5,2,0.0007,1.0,0.0,0.0006000000000000001,0.0,0.0027,0.0,0.0,0.0001,0.0
5,3,0.0005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00030000000000000003,0.0
5,4,0.0435,0.0016,0.0,0.9996,0.0,0.0,0.0,0.0,0.05750000000000001,0.0048000000000000004
5,5,0.0,0.0009,0.0,0.0,0.9998000000000001,0.0,0.0,0.0,0.019700000000000002,0.0026000000000000003
5,6,0.0152,0.0078,0.0,0.0,0.0,0.9998000000000001,0.0,0.0,0.0568,0.0091
5,7,0.2048,0.0184,0.0,0.0,0.0,0.0016,0.9991000000000001,0.0008,0.21569999999999995,0.045500000000000006
5,8,0.018099999999999998,0.004,0.0,0.0,0.0,0.0,0.0,0.9984999999999999,0.1008,0.0032
5,9,0.0,0.0001,0.0107,0.0015,0.0036000000000000003,0.0023,0.051500000000000004,0.0067,0.9998000000000001,0.0
5,10,0.242,0.0,0.026,0.004,0.052,0.061,0.0,0.0,0.005,1.0
5,Aggregated,0.35,0.0,0.001,0.005,0.009,0.091,0.0,0.025,0.085,0.99
6,1,0.9999,0.0,0.0,0.0,0.0001,0.0013,0.0,0.0,0.0,0.0
6,2,0.0047,1.0,0.0001,0.0005,0.0009000000000000001,0.0004,0.0,0.0023,0.0001,0.0
6,3,0.001,0.0001,0.9999,0.0,0.0,0.0,0.0,0.0,0.0007,0.0001
6,4,0.037,0.0127,0.0,0.9994999999999999,0.0,0.0,0.0,0.0,0.09140000000000001,0.0122
6,5,0.0,0.0,0.0,0.0,0.9998000000000001,0.0,0.0,0.0,0.013000000000000001,0.0007
6,6,0.039900000000000005,0.027800000000000002,0.0,0.0,0.0,0.9997,0.0,0.0,0.0937,0.03660000000000001
6,7,0.2088,0.03749999999999999,0.0,0.0,0.0,0.0031,0.9989000000000001,0.0,0.2411,0.0829
6,8,0.05439999999999999,0.0204,0.0,0.0,0.0,0.0,0.0,0.998,0.1103,0.002
6,9,0.0,0.0,0.016800000000000002,0.0043,0.0298,0.005,0.1376,0.012399999999999998,0.9987999999999999,0.0
6,10,0.342,0.0,0.014,0.059,0.228,0.097,0.171,0.007,0.002,0.993
6,Aggregated,0.391,0.0,0.014,0.017,0.214,0.184,0.011,0.046,0.062,0.988
7,1,0.9999,0.0,0.0,0.0,0.0,0.0023000000000000004,0.006500000000000001,0.0,0.0,0.0001
7,2,0.005200000000000001,0.9999,0.0188,0.0027,0.0132,0.0049,0.0002,0.006,0.0008,0.0
7,3,0.0,0.0007,1.0,0.0,0.0,0.0,0.0,0.0,0.0018000000000000002,0.0010999999999999998
7,4,0.1139,0.0401,0.0,0.9985000000000002,0.0,0.0,0.0,0.0,0.1117,0.0206
7,5,0.0005,0.0061,0.0,0.0,0.9996,0.0,0.0,0.0,0.017800000000000003,0.013300000000000001
7,6,0.0889,0.0267,0.0,0.0,0.0,0.9995,0.0,0.0,0.10669999999999999,0.027999999999999997
7,7,0.2601,0.0467,0.0,0.0,0.0,0.0023,0.9981,0.0002,0.2706,0.051500000000000004
7,8,0.07590000000000001,0.006799999999999999,0.0,0.0001,0.0,0.0,0.0,0.9972999999999999,0.1501,0.0060999999999999995
