Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Aggregated
1,0.1,0.1,0.1,0.1,0.1,0.1002,0.1117,0.1003,0.1,0.1,0.1007
2,0.1,0.1011,0.1,0.1013,0.1002,0.1015,0.1195,0.1015,0.1087,0.1041,0.1415
3,0.1,0.1004,0.1,0.1006,0.1,0.1014,0.1218,0.1012,0.103,0.1052,0.1353
4,0.1,0.1,0.1,0.104,0.1005,0.104,0.1319,0.1068,0.1049,0.1277,0.145
5,0.1014,0.1004,0.1001,0.1107,0.1023,0.1089,0.1486,0.1125,0.1076,0.139,0.1556
6,0.1001,0.1009,0.1002,0.1153,0.1013,0.1198,0.1572,0.1185,0.1205,0.1913,0.1927
7,0.1009,0.1052,0.1004,0.1285,0.1037,0.125,0.1629,0.1236,0.1237,0.1799,0.1964
8,0.1036,0.112,0.1035,0.1214,0.1072,0.1351,0.1625,0.126,0.1366,0.2255,0.2604
9,0.1043,0.1178,0.1085,0.1301,0.1124,0.1461,0.1848,0.1345,0.1446,0.2452,0.2714
10,0.1108,0.1254,0.1127,0.1314,0.1163,0.1392,0.1776,0.1398,0.1503,0.2744,0.2952
11,0.1076,0.138,0.1159,0.1485,0.1227,0.152,0.19,0.137,0.1541,0.2534,0.2804
12,0.1178,0.1434,0.1163,0.1459,0.131,0.1655,0.1967,0.1553,0.1659,0.2733,0.3078
13,0.1234,0.1586,0.1205,0.1356,0.1272,0.1693,0.1926,0.1524,0.1721,0.2568,0.299
14,0.1277,0.1648,0.1276,0.1484,0.1374,0.1723,0.2055,0.1582,0.1741,0.3028,0.3287
15,0.1265,0.1751,0.1339,0.1532,0.1414,0.1797,0.2126,0.1596,0.177,0.2813,0.3146
16,0.1198,0.1719,0.1217,0.1524,0.1363,0.1749,0.2142,0.1662,0.1821,0.3055,0.3312
17,0.125,0.1852,0.1307,0.1579,0.1381,0.1798,0.2091,0.1723,0.184,0.2678,0.3199
18,0.1307,0.196,0.1311,0.1601,0.1403,0.1846,0.2153,0.1733,0.1927,0.3157,0.3505
19,0.1406,0.197,0.1399,0.166,0.1411,0.2017,0.218,0.1802,0.1893,0.3181,0.3523
20,0.142,0.1976,0.1353,0.1671,0.1386,0.1967,0.2204,0.1676,0.193,0.2803,0.3353
21,0.1451,0.2017,0.1357,0.17,0.1494,0.1938,0.2204,0.187,0.1927,0.343,0.3797
22,0.1458,0.2089,0.1384,0.163,0.1536,0.1903,0.2207,0.1869,0.1974,0.3477,0.3883
23,0.1473,0.2198,0.1397,0.172,0.1513,0.1996,0.2229,0.1816,0.2031,0.3193,0.3818
24,0.1535,0.2083,0.1387,0.1611,0.154,0.2012,0.2263,0.1868,0.2128,0.312,0.376
25,0.1575,0.2243,0.1426,0.1668,0.154,0.211,0.2207,0.1761,0.2043,0.299,0.373
26,0.1515,0.2359,0.1421,0.1693,0.152,0.2061,0.2349,0.1976,0.2095,0.3489,0.3932
27,0.1651,0.2312,0.1451,0.1823,0.159,0.2143,0.2321,0.1963,0.2137,0.323,0.3756
28,0.1616,0.2196,0.1433,0.1662,0.158,0.2019,0.2324,0.2011,0.2215,0.3319,0.3933
29,0.1593,0.2327,0.1441,0.1721,0.1601,0.2151,0.2359,0.1914,0.2121,0.3346,0.3865
30,0.1647,0.2357,0.1476,0.1838,0.1604,0.2114,0.2376,0.195,0.2113,0.359,0.4068
31,0.1747,0.2365,0.1498,0.1837,0.1619,0.206,0.2449,0.2038,0.2176,0.362,0.4194
32,0.1712,0.24,0.1561,0.1892,0.16,0.2219,0.2364,0.2027,0.2258,0.3308,0.3923
