Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.982
2,0.043,0.0,0.0,0.028,0.0,0.0,0.0,0.012,0.981,0.118
3,0.304,0.0,0.0,0.07,0.013,0.012,0.001,0.042,0.861,0.454
4,0.141,0.0,0.0,0.124,0.004,0.011,0.084,0.078,0.454,0.876
5,0.239,0.003,0.006,0.076,0.025,0.037,0.076,0.09,0.666,0.783
6,0.169,0.0,0.007,0.049,0.117,0.066,0.188,0.095,0.707,0.794
7,0.215,0.002,0.021,0.077,0.102,0.073,0.281,0.176,0.673,0.858
8,0.235,0.006,0.016,0.043,0.137,0.111,0.378,0.146,0.796,0.766
9,0.186,0.02,0.012,0.08,0.17,0.189,0.389,0.236,0.754,0.846
10,0.148,0.018,0.019,0.103,0.201,0.272,0.465,0.304,0.797,0.826
11,0.172,0.026,0.059,0.084,0.095,0.221,0.525,0.321,0.808,0.834
12,0.157,0.025,0.057,0.119,0.263,0.192,0.526,0.342,0.833,0.827
13,0.141,0.05,0.084,0.089,0.387,0.265,0.486,0.354,0.823,0.835
14,0.181,0.051,0.145,0.11,0.246,0.308,0.537,0.42,0.827,0.832
15,0.125,0.05,0.112,0.099,0.276,0.307,0.568,0.425,0.838,0.826
16,0.229,0.051,0.207,0.152,0.351,0.288,0.549,0.433,0.837,0.812
17,0.177,0.047,0.192,0.14,0.306,0.341,0.562,0.43,0.875,0.799
18,0.141,0.078,0.269,0.189,0.209,0.325,0.541,0.464,0.838,0.853
19,0.163,0.075,0.296,0.132,0.312,0.388,0.507,0.415,0.884,0.786
20,0.176,0.117,0.16,0.165,0.315,0.44,0.574,0.497,0.83,0.849
21,0.162,0.102,0.198,0.141,0.418,0.398,0.555,0.401,0.871,0.833
22,0.2,0.102,0.235,0.187,0.224,0.432,0.646,0.446,0.854,0.835
23,0.163,0.082,0.269,0.185,0.296,0.429,0.61,0.463,0.858,0.84
24,0.198,0.112,0.173,0.22,0.275,0.306,0.615,0.52,0.859,0.854
25,0.219,0.132,0.301,0.22,0.295,0.327,0.611,0.48,0.851,0.856
26,0.211,0.198,0.154,0.194,0.374,0.294,0.634,0.481,0.867,0.841
27,0.183,0.189,0.185,0.194,0.433,0.33,0.599,0.479,0.87,0.857
28,0.198,0.214,0.267,0.232,0.351,0.419,0.558,0.52,0.857,0.838
29,0.2,0.215,0.255,0.201,0.41,0.326,0.513,0.519,0.871,0.849
30,0.255,0.189,0.223,0.223,0.406,0.387,0.544,0.51,0.862,0.845
31,0.253,0.182,0.209,0.255,0.437,0.465,0.495,0.543,0.86,0.825
32,0.224,0.212,0.32,0.282,0.339,0.404,0.468,0.537,0.855,0.846
33,0.289,0.194,0.271,0.266,0.392,0.421,0.499,0.513,0.867,0.842
34,0.214,0.232,0.212,0.28,0.439,0.418,0.577,0.522,0.839,0.839
35,0.287,0.195,0.324,0.262,0.393,0.411,0.442,0.473,0.889,0.835
36,0.252,0.256,0.206,0.225,0.393,0.416,0.565,0.518,0.859,0.845
37,0.333,0.231,0.177,0.255,0.434,0.366,0.589,0.563,0.842,0.839
38,0.3,0.299,0.203,0.352,0.375,0.388,0.582,0.485,0.843,0.844
39,0.301,0.291,0.234,0.285,0.39,0.385,0.657,0.542,0.83,0.828
40,0.282,0.23,0.295,0.277,0.379,0.416,0.462,0.561,0.867,0.845
41,0.325,0.311,0.326,0.241,0.308,0.413,0.503,0.58,0.86,0.821
42,0.237,0.213,0.263,0.259,0.428,0.439,0.518,0.536,0.863,0.847
43,0.328,0.258,0.285,0.291,0.413,0.416,0.468,0.528,0.867,0.838
44,0.307,0.294,0.254,0.289,0.387,0.401,0.506,0.574,0.852,0.838
45,0.311,0.273,0.229,0.339,0.41,0.378,0.528,0.551,0.843,0.839
46,0.308,0.29,0.278,0.276,0.397,0.369,0.567,0.529,0.866,0.839
47,0.343,0.328,0.249,0.306,0.328,0.397,0.536,0.498,0.858,0.838
48,0.324,0.287,0.256,0.292,0.314,0.452,0.497,0.536,0.887,0.816
49,0.325,0.301,0.355,0.304,0.354,0.397,0.452,0.56,0.854,0.834
50,0.309,0.312,0.338,0.326,0.351,0.433,0.51,0.532,0.845,0.835
51,0.282,0.299,0.277,0.333,0.366,0.436,0.591,0.533,0.846,0.825
52,0.29,0.337,0.345,0.324,0.308,0.391,0.548,0.538,0.842,0.843
53,0.325,0.299,0.275,0.308,0.35,0.413,0.611,0.569,0.85,0.809
54,0.279,0.359,0.315,0.312,0.309,0.373,0.552,0.534,0.834,0.848
55,0.328,0.279,0.33,0.299,0.28,0.446,0.573,0.586,0.83,0.848
56,0.258,0.272,0.297,0.261,0.31,0.411,0.632,0.52,0.874,0.847
57,0.385,0.332,0.276,0.299,0.316,0.427,0.556,0.55,0.834,0.841
58,0.335,0.288,0.277,0.337,0.366,0.381,0.555,0.577,0.824,0.843
59,0.317,0.379,0.273,0.321,0.312,0.393,0.593,0.545,0.846,0.827
60,0.315,0.331,0.322,0.299,0.348,0.433,0.62,0.526,0.836,0.83
61,0.303,0.318,0.296,0.288,0.359,0.446,0.6,0.526,0.846,0.83
62,0.327,0.302,0.296,0.338,0.354,0.424,0.614,0.532,0.829,0.846
63,0.299,0.331,0.316,0.285,0.375,0.451,0.605,0.502,0.834,0.85
64,0.28,0.305,0.274,0.321,0.357,0.407,0.592,0.495,0.833,0.867
65,0.31,0.29,0.28,0.3,0.412,0.375,0.581,0.546,0.85,0.848
66,0.278,0.342,0.285,0.32,0.368,0.363,0.635,0.526,0.845,0.858
67,0.297,0.304,0.281,0.312,0.405,0.404,0.535,0.51,0.851,0.85
68,0.27,0.264,0.336,0.288,0.408,0.398,0.566,0.545,0.838,0.856
69,0.251,0.272,0.327,0.308,0.354,0.406,0.584,0.553,0.837,0.863
70,0.31,0.35,0.285,0.313,0.335,0.393,0.643,0.548,0.836,0.846
71,0.333,0.313,0.294,0.315,0.36,0.39,0.613,0.562,0.852,0.837
72,0.336,0.305,0.329,0.294,0.322,0.428,0.593,0.595,0.824,0.834
73,0.327,0.282,0.309,0.316,0.368,0.426,0.559,0.553,0.833,0.858
74,0.275,0.278,0.308,0.306,0.378,0.392,0.619,0.566,0.851,0.839
75,0.276,0.279,0.29,0.272,0.394,0.435,0.648,0.526,0.833,0.861
76,0.306,0.292,0.355,0.305,0.382,0.398,0.574,0.516,0.845,0.822
77,0.332,0.304,0.332,0.289,0.356,0.365,0.639,0.508,0.846,0.838
78,0.254,0.268,0.31,0.291,0.358,0.42,0.621,0.512,0.853,0.863
79,0.344,0.262,0.33,0.276,0.405,0.453,0.573,0.489,0.838,0.846
80,0.367,0.257,0.31,0.3,0.428,0.434,0.609,0.424,0.832,0.85
81,0.278,0.283,0.379,0.283,0.369,0.441,0.666,0.468,0.827,0.853
82,0.346,0.289,0.342,0.313,0.327,0.406,0.657,0.483,0.829,0.862
83,0.259,0.348,0.34,0.283,0.42,0.41,0.628,0.469,0.856,0.822
84,0.282,0.309,0.341,0.326,0.346,0.445,0.585,0.481,0.832,0.861
85,0.281,0.279,0.344,0.292,0.402,0.399,0.647,0.478,0.853,0.841
86,0.363,0.294,0.328,0.304,0.381,0.388,0.574,0.478,0.855,0.862
87,0.352,0.308,0.344,0.269,0.36,0.415,0.59,0.49,0.835,0.867
88,0.305,0.235,0.341,0.275,0.39,0.451,0.539,0.479,0.85,0.855
89,0.272,0.29,0.315,0.283,0.366,0.427,0.634,0.482,0.832,0.873
90,0.25,0.254,0.303,0.305,0.404,0.471,0.553,0.476,0.867,0.839
91,0.253,0.305,0.274,0.289,0.396,0.407,0.673,0.506,0.841,0.857
92,0.287,0.293,0.263,0.309,0.345,0.412,0.691,0.498,0.84,0.856
93,0.314,0.321,0.323,0.294,0.389,0.423,0.589,0.504,0.837,0.845
