Round,Subset,0,1,2,3,4,5,6,7,8,9
1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0191,0.0,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,7,0.1369,0.0123,0.0,0.0,0.0,0.0,0.9981,0.0,0.0839,0.0024000000000000002
1,8,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0008,0.0
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Aggregated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.982
2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.0001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.027200000000000002,0.0,0.0,0.9998000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,6,0.0067,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.0014,0.0
2,7,0.13440000000000002,0.0005,0.0,0.0,0.0,0.0,0.9992000000000001,0.0,0.07980000000000001,0.0068000000000000005
2,8,0.027800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.9992000000000001,0.0026000000000000003,0.0
2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,1.0,0.0
2,10,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0
2,Aggregated,0.043,0.0,0.0,0.028,0.0,0.0,0.0,0.012,0.981,0.118
3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0.0010999999999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.0012000000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0066,0.0007
3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,6,0.020200000000000003,0.0,0.0,0.0,0.0,0.9997,0.0,0.0,0.0093,0.0052
3,7,0.1689,0.0067,0.0,0.0,0.0,0.0,0.9986,0.0,0.1,0.037200000000000004
3,8,0.0237,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.007800000000000001,0.0
3,9,0.0,0.0,0.0,0.0,0.07,0.0,0.206,0.0,1.0,0.0
3,10,0.134,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.999
3,Aggregated,0.304,0.0,0.0,0.07,0.013,0.012,0.001,0.042,0.861,0.454
4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0006000000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.0004,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
4,4,0.016800000000000002,0.0004,0.0,0.9998000000000001,0.0,0.0,0.0,0.0,0.0389,0.0019000000000000002
4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0004,0.0
4,6,0.016400000000000005,0.003,0.0,0.0,0.0,0.9999,0.0,0.0,0.0123,0.0093
4,7,0.1749,0.030400000000000003,0.0,0.0,0.0,0.0,0.9991000000000001,0.0,0.16319999999999998,0.033299999999999996
4,8,0.008,0.00030000000000000003,0.0,0.0,0.0,0.0,0.0,0.9997,0.03150000000000001,0.0
4,9,0.0,0.0,0.0,0.018,0.011,0.0,0.266,0.01,0.999,0.0
4,10,0.009,0.0,0.0,0.014,0.0,0.001,0.0,0.0,0.0,1.0
4,Aggregated,0.141,0.0,0.0,0.124,0.004,0.011,0.084,0.078,0.454,0.876
5,1,0.9999,0.0,0.0,0.0,0.0055,0.0,0.0013,0.0,0.0,0.0
5,2,0.010199999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0002,0.0
5,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
5,4,0.0324,0.0017000000000000001,0.0,0.9999,0.0,0.0,0.0,0.0,0.0414,0.0079
5,5,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.0,0.010499999999999999,0.00030000000000000003
5,6,0.04,0.013000000000000001,0.0,0.0,0.0,0.9999,0.0,0.0,0.041100000000000005,0.0216
5,7,0.1659,0.014100000000000001,0.0,0.0,0.0,0.0001,0.9994,0.0,0.14679999999999999,0.027099999999999996
5,8,0.0156,0.0034000000000000002,0.0,0.0,0.0,0.0,0.0,0.9991999999999999,0.05,0.0001
5,9,0.0,0.0,0.002,0.001,0.019,0.003,0.215,0.009,1.0,0.0
5,10,0.079,0.0,0.001,0.002,0.003,0.027,0.001,0.0,0.0,1.0
5,Aggregated,0.239,0.003,0.006,0.076,0.025,0.037,0.076,0.09,0.666,0.783
6,1,0.9998000000000001,0.0,0.0,0.0001,0.0,0.0012000000000000001,0.008499999999999999,0.0004,0.0,0.0
6,2,0.003,1.0,0.00030000000000000003,0.0002,0.0018,0.0028,0.0,0.0047,0.0018,0.0
6,3,0.0004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00030000000000000003,0.00030000000000000003
6,4,0.0259,0.0021,0.0,0.9997,0.0,0.0,0.0,0.0,0.0672,0.006
6,5,0.0001,0.0039,0.0,0.0,0.9996,0.0,0.0,0.0,0.012,0.0009000000000000001
6,6,0.0504,0.0108,0.0,0.0,0.0,0.9994999999999999,0.0,0.0,0.08449999999999999,0.0225
6,7,0.182,0.0655,0.0,0.0,0.0,0.0,0.9991,0.0002,0.23709999999999995,0.023
6,8,0.051500000000000004,0.002,0.0,0.0,0.0,0.0,0.0,0.9983000000000001,0.10369999999999999,0.0046
6,9,0.0,0.0,0.0,0.002,0.059,0.002,0.216,0.024,1.0,0.0
6,10,0.212,0.0,0.006,0.0,0.019,0.055,0.054,0.009,0.0,0.999
6,Aggregated,0.169,0.0,0.007,0.049,0.117,0.066,0.188,0.095,0.707,0.794
7,1,0.9995,0.0,0.0,0.0,0.0,0.0021999999999999997,0.0317,0.0,0.0,0.0
7,2,0.0063,0.9998000000000001,0.0006000000000000001,0.0005,0.0073999999999999995,0.0027,0.0039,0.0057,0.0077,0.0
7,3,0.0039,0.0004,0.9998000000000001,0.0,0.0,0.0,0.0,0.0,0.0038000000000000004,0.0023
7,4,0.036699999999999997,0.016000000000000004,0.0,0.9999,0.0,0.0,0.0,0.0,0.085,0.012399999999999998
7,5,0.0009000000000000001,0.0159,0.0,0.0,0.9995,0.0,0.0,0.0,0.0194,0.0023
7,6,0.0939,0.0364,0.0,0.0,0.0,0.9984,0.0,0.0001,0.089,0.063
7,7,0.25040000000000007,0.052700000000000004,0.0,0.0,0.0,0.0002,0.9982,0.0048000000000000004,0.24800000000000005,0.0796
7,8,0.0503,0.004600000000000001,0.0,0.0,0.0,0.0,0.0,0.9974999999999999,0.14179999999999998,0.0014
7,9,0.0,0.0,0.103,0.014,0.214,0.007,0.191,0.092,1.0,0.0
7,10,0.158,0.0,0.021,0.027,0.069,0.01,0.066,0.012,0.0,1.0
