Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332,0.903
2,0.0,0.0,0.0,0.0,0.0,0.014,0.002,0.033,0.829,0.611
3,0.108,0.0,0.002,0.154,0.038,0.005,0.079,0.013,0.7,0.73
4,0.16,0.0,0.0,0.011,0.006,0.085,0.306,0.113,0.782,0.662
5,0.32,0.004,0.013,0.011,0.053,0.218,0.527,0.249,0.537,0.824
6,0.242,0.0,0.093,0.044,0.119,0.178,0.527,0.21,0.864,0.578
7,0.221,0.013,0.071,0.126,0.339,0.137,0.453,0.311,0.595,0.881
8,0.261,0.011,0.111,0.111,0.207,0.153,0.46,0.229,0.855,0.678
9,0.18,0.039,0.215,0.092,0.108,0.285,0.555,0.376,0.671,0.866
10,0.173,0.055,0.353,0.165,0.234,0.188,0.335,0.34,0.887,0.656
11,0.2,0.043,0.124,0.202,0.379,0.215,0.374,0.426,0.741,0.867
12,0.193,0.025,0.261,0.144,0.348,0.306,0.456,0.34,0.889,0.712
13,0.256,0.017,0.171,0.17,0.392,0.292,0.484,0.4,0.796,0.832
14,0.199,0.056,0.318,0.114,0.197,0.301,0.585,0.407,0.853,0.798
15,0.233,0.112,0.187,0.271,0.221,0.325,0.48,0.502,0.781,0.862
16,0.259,0.142,0.232,0.324,0.342,0.283,0.398,0.422,0.849,0.803
17,0.317,0.108,0.202,0.235,0.303,0.304,0.596,0.521,0.851,0.782
18,0.242,0.126,0.369,0.173,0.237,0.406,0.486,0.533,0.841,0.812
19,0.311,0.151,0.24,0.142,0.303,0.404,0.608,0.416,0.837,0.839
20,0.32,0.187,0.209,0.243,0.386,0.404,0.474,0.467,0.825,0.839
21,0.227,0.2,0.264,0.174,0.33,0.425,0.626,0.49,0.823,0.831
22,0.303,0.353,0.221,0.234,0.296,0.352,0.63,0.459,0.826,0.807
23,0.377,0.238,0.216,0.265,0.348,0.515,0.526,0.44,0.767,0.851
24,0.292,0.282,0.311,0.316,0.316,0.419,0.314,0.545,0.88,0.776
25,0.365,0.307,0.234,0.361,0.242,0.369,0.465,0.492,0.815,0.848
26,0.237,0.24,0.214,0.246,0.361,0.364,0.662,0.478,0.838,0.848
27,0.314,0.316,0.165,0.253,0.344,0.393,0.485,0.475,0.833,0.856
28,0.357,0.303,0.247,0.29,0.274,0.44,0.654,0.532,0.824,0.807
29,0.355,0.335,0.343,0.237,0.277,0.382,0.615,0.434,0.855,0.817
30,0.314,0.285,0.199,0.244,0.287,0.423,0.599,0.545,0.823,0.862
31,0.38,0.408,0.271,0.303,0.342,0.382,0.586,0.533,0.836,0.753
32,0.363,0.301,0.36,0.346,0.202,0.294,0.552,0.506,0.851,0.847
33,0.384,0.384,0.215,0.186,0.389,0.412,0.646,0.458,0.855,0.804
34,0.35,0.237,0.23,0.314,0.426,0.397,0.604,0.47,0.818,0.876
35,0.302,0.411,0.236,0.298,0.302,0.39,0.632,0.51,0.836,0.809
36,0.315,0.387,0.289,0.352,0.406,0.296,0.558,0.511,0.827,0.818
37,0.378,0.285,0.373,0.28,0.305,0.36,0.559,0.463,0.837,0.861
38,0.366,0.432,0.238,0.274,0.396,0.392,0.583,0.493,0.838,0.781
39,0.272,0.368,0.328,0.292,0.345,0.311,0.612,0.532,0.848,0.816
40,0.393,0.328,0.29,0.257,0.427,0.426,0.602,0.462,0.825,0.805
41,0.339,0.386,0.258,0.29,0.338,0.447,0.572,0.494,0.849,0.814
42,0.336,0.354,0.308,0.253,0.23,0.351,0.622,0.538,0.833,0.845
43,0.335,0.312,0.255,0.285,0.379,0.407,0.552,0.505,0.826,0.838
44,0.369,0.365,0.227,0.297,0.424,0.409,0.657,0.423,0.813,0.825
45,0.387,0.339,0.212,0.327,0.314,0.385,0.562,0.546,0.819,0.838
46,0.341,0.356,0.238,0.315,0.391,0.333,0.559,0.464,0.84,0.844
47,0.282,0.264,0.328,0.289,0.427,0.387,0.598,0.535,0.846,0.808
48,0.3,0.279,0.243,0.187,0.39,0.489,0.629,0.486,0.857,0.838
49,0.356,0.309,0.27,0.259,0.367,0.344,0.618,0.502,0.868,0.843
50,0.365,0.315,0.215,0.184,0.336,0.535,0.616,0.517,0.847,0.826
51,0.312,0.209,0.283,0.24,0.481,0.416,0.527,0.524,0.841,0.826
52,0.329,0.314,0.275,0.274,0.324,0.354,0.674,0.56,0.848,0.824
53,0.354,0.32,0.266,0.218,0.438,0.364,0.616,0.471,0.852,0.835
54,0.342,0.233,0.263,0.282,0.44,0.387,0.621,0.57,0.827,0.83
55,0.303,0.345,0.302,0.256,0.402,0.372,0.668,0.503,0.852,0.803
56,0.327,0.289,0.212,0.236,0.43,0.37,0.629,0.454,0.867,0.846
57,0.298,0.302,0.315,0.244,0.35,0.426,0.626,0.489,0.879,0.833
58,0.312,0.346,0.261,0.266,0.38,0.396,0.634,0.471,0.855,0.829
59,0.351,0.366,0.269,0.267,0.299,0.392,0.648,0.468,0.877,0.808
60,0.315,0.311,0.272,0.288,0.353,0.36,0.636,0.543,0.875,0.831
61,0.414,0.298,0.243,0.265,0.37,0.41,0.635,0.547,0.819,0.84
62,0.285,0.276,0.321,0.28,0.428,0.374,0.599,0.497,0.855,0.83
63,0.33,0.342,0.225,0.288,0.425,0.418,0.598,0.49,0.858,0.828
64,0.426,0.366,0.29,0.282,0.351,0.314,0.639,0.542,0.828,0.822
65,0.306,0.29,0.322,0.275,0.411,0.329,0.563,0.534,0.847,0.863
66,0.299,0.325,0.219,0.339,0.379,0.461,0.567,0.474,0.836,0.859
67,0.346,0.307,0.262,0.238,0.322,0.383,0.673,0.544,0.872,0.834
68,0.312,0.251,0.234,0.302,0.411,0.428,0.596,0.463,0.856,0.849
69,0.344,0.356,0.211,0.312,0.421,0.415,0.62,0.429,0.859,0.813
70,0.375,0.314,0.272,0.254,0.403,0.372,0.574,0.476,0.848,0.852
71,0.403,0.305,0.251,0.324,0.351,0.366,0.573,0.484,0.858,0.835
72,0.353,0.346,0.301,0.276,0.414,0.353,0.654,0.515,0.855,0.797
73,0.416,0.396,0.215,0.291,0.308,0.39,0.579,0.487,0.859,0.796
74,0.394,0.336,0.306,0.234,0.307,0.393,0.616,0.468,0.856,0.834
75,0.3,0.315,0.304,0.3,0.349,0.387,0.568,0.455,0.853,0.843
76,0.293,0.267,0.321,0.309,0.373,0.42,0.559,0.415,0.85,0.867
77,0.308,0.247,0.324,0.278,0.455,0.336,0.502,0.498,0.86,0.856
78,0.373,0.3,0.278,0.292,0.376,0.345,0.634,0.451,0.877,0.829
79,0.38,0.326,0.28,0.326,0.338,0.412,0.612,0.406,0.844,0.853
80,0.384,0.321,0.238,0.316,0.37,0.396,0.636,0.431,0.851,0.837
81,0.39,0.393,0.286,0.261,0.41,0.382,0.615,0.457,0.86,0.792
82,0.394,0.338,0.283,0.257,0.366,0.462,0.541,0.475,0.821,0.854
83,0.419,0.3,0.29,0.245,0.358,0.411,0.57,0.438,0.852,0.836
84,0.372,0.335,0.327,0.336,0.348,0.376,0.627,0.45,0.837,0.842
85,0.322,0.325,0.298,0.253,0.356,0.464,0.547,0.517,0.85,0.869
86,0.321,0.282,0.233,0.232,0.434,0.489,0.535,0.518,0.844,0.848
87,0.347,0.335,0.265,0.293,0.326,0.403,0.621,0.552,0.838,0.841
88,0.355,0.352,0.304,0.281,0.287,0.406,0.623,0.553,0.867,0.817
89,0.374,0.292,0.266,0.248,0.326,0.46,0.602,0.454,0.842,0.864
90,0.332,0.302,0.309,0.3,0.348,0.44,0.505,0.456,0.861,0.855
91,0.382,0.278,0.3,0.274,0.411,0.383,0.585,0.477,0.872,0.865
92,0.38,0.389,0.283,0.379,0.375,0.355,0.596,0.51,0.842,0.808
93,0.294,0.277,0.226,0.339,0.377,0.364,0.576,0.458,0.882,0.855
94,0.356,0.284,0.267,0.301,0.326,0.353,0.63,0.477,0.874,0.853
95,0.383,0.273,0.28,0.264,0.326,0.476,0.525,0.499,0.842,0.877
96,0.276,0.261,0.274,0.236,0.414,0.416,0.57,0.531,0.872,0.855
97,0.325,0.404,0.248,0.307,0.287,0.463,0.467,0.457,0.835,0.85
98,0.334,0.378,0.299,0.289,0.333,0.401,0.592,0.509,0.856,0.841
99,0.384,0.3,0.327,0.28,0.368,0.414,0.614,0.471,0.845,0.837
100,0.346,0.343,0.287,0.301,0.497,0.382,0.56,0.484,0.862,0.827
