Round,Subset,0,1,2,3,4,5,6,7,8,9
1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Aggregated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332,0.903
2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.071,0.0
2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.0,1.0,0.0
2,10,0.034,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,1.0
2,Aggregated,0.0,0.0,0.0,0.0,0.0,0.014,0.002,0.033,0.829,0.611
3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0.116,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,6,0.042,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.004
3,7,0.073,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.075,0.0
3,8,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.994,0.094,0.0
3,9,0.0,0.0,0.0,0.002,0.0,0.0,0.021,0.008,1.0,0.0
3,10,0.046,0.0,0.0,0.039,0.001,0.002,0.0,0.0,0.0,1.0
3,Aggregated,0.108,0.0,0.002,0.154,0.038,0.005,0.079,0.013,0.7,0.73
4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,7,0.217,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.147,0.019
4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,9,0.0,0.0,0.0,0.004,0.0,0.002,0.226,0.024,0.999,0.0
4,10,0.112,0.0,0.0,0.0,0.013,0.035,0.003,0.0,0.0,1.0
4,Aggregated,0.16,0.0,0.0,0.011,0.006,0.085,0.306,0.113,0.782,0.662
5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.019,0.001,0.0,0.0
5,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,0.176,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.088,0.0
5,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,6,0.023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.001
5,7,0.285,0.0,0.0,0.0,0.0,0.0,0.997,0.0,0.261,0.007
5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,9,0.0,0.0,0.001,0.0,0.281,0.091,0.06,0.096,0.999,0.0
5,10,0.208,0.0,0.001,0.01,0.005,0.044,0.012,0.033,0.0,0.999
5,Aggregated,0.32,0.004,0.013,0.011,0.053,0.218,0.527,0.249,0.537,0.824
6,1,1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
6,2,0.015,1.0,0.002,0.0,0.003,0.001,0.0,0.0,0.0,0.0
6,3,0.0,0.001,1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
6,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.013,0.0
6,7,0.232,0.001,0.001,0.0,0.0,0.0,1.0,0.0,0.101,0.036
6,8,0.024,0.006,0.0,0.0,0.0,0.0,0.0,0.996,0.105,0.013
6,9,0.0,0.0,0.0,0.002,0.309,0.038,0.192,0.113,0.999,0.0
6,10,0.219,0.0,0.094,0.016,0.031,0.064,0.089,0.012,0.0,1.0
6,Aggregated,0.242,0.0,0.093,0.044,0.119,0.178,0.527,0.21,0.864,0.578
7,1,1.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0
7,2,0.0,1.0,0.004,0.002,0.006,0.001,0.0,0.002,0.0,0.0
7,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.032,0.002
7,4,0.171,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.275,0.009
7,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001
7,6,0.0,0.001,0.0,0.0,0.0,1.0,0.0,0.0,0.002,0.012
7,7,0.027,0.008,0.0,0.0,0.0,0.0,1.0,0.0,0.071,0.008
7,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7,9,0.0,0.0,0.053,0.076,0.17,0.045,0.356,0.288,0.997,0.0
7,10,0.171,0.0,0.027,0.048,0.237,0.036,0.016,0.058,0.0,1.0
7,Aggregated,0.221,0.013,0.071,0.126,0.339,0.137,0.453,0.311,0.595,0.881
8,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,0.0,0.016,0.998,0.0,0.0,0.0,0.0,0.005,0.0,0.023
8,4,0.0,0.003,0.0,1.0,0.0,0.0,0.0,0.0,0.021,0.002
8,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,6,0.013,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27,0.008
8,7,0.237,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.067,0.0
8,8,0.053,0.001,0.0,0.0,0.0,0.0,0.0,0.999,0.092,0.003
8,9,0.0,0.002,0.066,0.051,0.018,0.036,0.278,0.094,1.0,0.0
8,10,0.236,0.0,0.115,0.048,0.197,0.071,0.044,0.053,0.0,1.0
