Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
1,0.007,0.409,0.086,0.004,0.363,0.015,0.317,0.106,0.244,0.206
2,0.271,0.178,0.021,0.069,0.232,0.218,0.062,0.207,0.515,0.432
3,0.566,0.31,0.084,0.186,0.32,0.264,0.153,0.118,0.407,0.229
4,0.531,0.251,0.042,0.161,0.183,0.272,0.433,0.249,0.519,0.312
5,0.501,0.352,0.132,0.067,0.437,0.3,0.312,0.289,0.486,0.353
6,0.515,0.361,0.129,0.143,0.477,0.141,0.377,0.395,0.481,0.408
7,0.433,0.38,0.088,0.204,0.495,0.175,0.466,0.368,0.496,0.391
8,0.532,0.424,0.218,0.13,0.458,0.203,0.396,0.401,0.417,0.42
9,0.469,0.457,0.129,0.105,0.461,0.284,0.499,0.373,0.514,0.428
10,0.464,0.501,0.198,0.115,0.36,0.289,0.473,0.434,0.477,0.472
11,0.467,0.468,0.265,0.153,0.308,0.203,0.46,0.473,0.494,0.515
12,0.461,0.516,0.236,0.145,0.375,0.274,0.444,0.444,0.51,0.496
13,0.508,0.465,0.267,0.154,0.316,0.315,0.428,0.468,0.487,0.513
14,0.468,0.492,0.273,0.174,0.339,0.315,0.445,0.455,0.501,0.507
15,0.459,0.529,0.291,0.157,0.294,0.315,0.451,0.465,0.535,0.498
16,0.49,0.477,0.271,0.138,0.325,0.264,0.523,0.478,0.554,0.464
17,0.469,0.565,0.313,0.123,0.311,0.335,0.46,0.47,0.491,0.493
18,0.498,0.588,0.239,0.137,0.402,0.334,0.487,0.433,0.473,0.466
19,0.493,0.559,0.261,0.181,0.298,0.295,0.504,0.475,0.468,0.549
20,0.479,0.525,0.26,0.232,0.394,0.254,0.446,0.48,0.527,0.49
21,0.482,0.534,0.257,0.145,0.388,0.344,0.468,0.466,0.497,0.511
22,0.468,0.573,0.273,0.164,0.351,0.354,0.489,0.456,0.513,0.47
23,0.483,0.523,0.288,0.177,0.376,0.315,0.472,0.448,0.527,0.533
24,0.515,0.591,0.276,0.162,0.335,0.307,0.519,0.472,0.509,0.496
25,0.484,0.561,0.267,0.191,0.364,0.338,0.475,0.478,0.533,0.5
26,0.479,0.578,0.328,0.196,0.31,0.289,0.498,0.472,0.541,0.494
27,0.48,0.558,0.332,0.182,0.343,0.331,0.476,0.478,0.559,0.459
28,0.464,0.6,0.293,0.223,0.355,0.306,0.482,0.478,0.535,0.486
29,0.488,0.585,0.275,0.21,0.353,0.287,0.518,0.484,0.518,0.51
30,0.489,0.651,0.317,0.241,0.353,0.303,0.48,0.434,0.494,0.458
31,0.497,0.579,0.345,0.202,0.34,0.295,0.502,0.465,0.521,0.502
32,0.503,0.574,0.325,0.205,0.352,0.317,0.498,0.468,0.517,0.496
33,0.48,0.608,0.34,0.215,0.33,0.297,0.505,0.477,0.528,0.499
34,0.497,0.631,0.322,0.243,0.33,0.298,0.495,0.474,0.507,0.494
35,0.506,0.603,0.332,0.204,0.334,0.29,0.571,0.462,0.511,0.498
36,0.523,0.583,0.328,0.213,0.343,0.332,0.512,0.462,0.499,0.52
37,0.513,0.594,0.376,0.196,0.335,0.268,0.524,0.468,0.51,0.536
38,0.537,0.61,0.291,0.244,0.404,0.257,0.524,0.455,0.498,0.503
39,0.517,0.611,0.349,0.21,0.315,0.322,0.532,0.483,0.511,0.495
40,0.538,0.581,0.341,0.231,0.311,0.312,0.535,0.47,0.541,0.524
41,0.515,0.598,0.322,0.186,0.306,0.351,0.576,0.472,0.515,0.498
42,0.515,0.622,0.336,0.247,0.283,0.296,0.555,0.492,0.516,0.49
43,0.559,0.598,0.324,0.176,0.316,0.342,0.569,0.47,0.514,0.501
44,0.513,0.581,0.341,0.182,0.353,0.31,0.569,0.452,0.525,0.513
45,0.5,0.608,0.337,0.222,0.325,0.328,0.529,0.479,0.492,0.538
46,0.542,0.602,0.339,0.24,0.335,0.318,0.541,0.46,0.531,0.497
47,0.537,0.589,0.351,0.238,0.286,0.332,0.551,0.473,0.548,0.486
48,0.515,0.595,0.349,0.229,0.315,0.327,0.558,0.467,0.499,0.505
49,0.523,0.608,0.339,0.208,0.358,0.294,0.545,0.479,0.546,0.474
50,0.571,0.586,0.371,0.223,0.321,0.301,0.552,0.449,0.533,0.497
51,0.541,0.58,0.362,0.241,0.281,0.31,0.59,0.491,0.504,0.508
52,0.575,0.567,0.368,0.201,0.348,0.347,0.552,0.445,0.536,0.488
53,0.539,0.577,0.365,0.222,0.329,0.318,0.553,0.47,0.52,0.512
54,0.56,0.56,0.347,0.201,0.312,0.342,0.58,0.478,0.508,0.543
55,0.552,0.549,0.358,0.206,0.31,0.301,0.616,0.487,0.532,0.499
56,0.568,0.628,0.373,0.215,0.323,0.31,0.555,0.465,0.499,0.466
57,0.567,0.587,0.343,0.24,0.325,0.304,0.554,0.483,0.525,0.481
