Round,Subset,0,1,2,3,4,5,6,7,8,9
1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Aggregated,0.007,0.409,0.086,0.004,0.363,0.015,0.317,0.106,0.244,0.206
2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,Aggregated,0.271,0.178,0.021,0.069,0.232,0.218,0.062,0.207,0.515,0.432
3,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003,0.0
3,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,9,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,1.0,0.0
3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,Aggregated,0.566,0.31,0.084,0.186,0.32,0.264,0.153,0.118,0.407,0.229
4,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.014,0.0
4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008,0.0
4,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.038,0.0
4,7,0.103,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.393,0.0
4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014,0.0
4,9,0.0,0.0,0.0,0.022,0.0,0.0,0.019,0.0,0.999,0.0
4,10,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,1.0
4,Aggregated,0.531,0.251,0.042,0.161,0.183,0.272,0.433,0.249,0.519,0.312
5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0
5,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.078,0.001
5,5,0.0,0.001,0.0,0.0,1.0,0.0,0.0,0.0,0.011,0.007
5,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.077,0.002
5,7,0.228,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.131,0.059
5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.106,0.0
5,9,0.0,0.0,0.045,0.002,0.152,0.026,0.005,0.015,0.999,0.0
5,10,0.0,0.0,0.0,0.0,0.028,0.0,0.003,0.0,0.0,1.0
5,Aggregated,0.501,0.352,0.132,0.067,0.437,0.3,0.312,0.289,0.486,0.353
6,1,1.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0
6,2,0.0,1.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0
6,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,0.079,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.201,0.011
6,5,0.0,0.001,0.0,0.0,0.999,0.0,0.0,0.0,0.148,0.009
6,6,0.152,0.018,0.0,0.0,0.0,0.998,0.0,0.0,0.119,0.122
6,7,0.131,0.053,0.0,0.0,0.0,0.0,0.998,0.005,0.389,0.075
6,8,0.001,0.001,0.0,0.0,0.0,0.0,0.0,1.0,0.144,0.01
6,9,0.0,0.0,0.004,0.083,0.117,0.001,0.371,0.048,0.992,0.0
6,10,0.0,0.0,0.0,0.006,0.101,0.006,0.0,0.0,0.0,0.999
6,Aggregated,0.515,0.361,0.129,0.143,0.477,0.141,0.377,0.395,0.481,0.408
7,1,0.999,0.0,0.0,0.007,0.019,0.02,0.118,0.0,0.0,0.0
7,2,0.0,0.999,0.001,0.002,0.151,0.0,0.0,0.0,0.0,0.0
7,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0
7,4,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.262,0.001
7,5,0.0,0.004,0.0,0.0,0.998,0.0,0.0,0.0,0.058,0.05
7,6,0.014,0.041,0.0,0.0,0.0,0.999,0.0,0.0,0.221,0.114
7,7,0.002,0.008,0.0,0.0,0.0,0.0,1.0,0.0,0.273,0.031
7,8,0.0,0.003,0.0,0.0,0.0,0.0,0.0,1.0,0.124,0.0
7,9,0.0,0.0,0.003,0.003,0.27,0.073,0.167,0.159,0.994,0.0
7,10,0.0,0.0,0.008,0.126,0.212,0.003,0.008,0.012,0.0,0.997
7,Aggregated,0.433,0.38,0.088,0.204,0.495,0.175,0.466,0.368,0.496,0.391
8,1,1.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0
8,2,0.0,1.0,0.133,0.007,0.112,0.0,0.029,0.022,0.0,0.0
8,3,0.009,0.002,1.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0
8,4,0.131,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.145,0.039
8,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.015,0.04
8,6,0.065,0.017,0.0,0.0,0.0,0.999,0.0,0.0,0.318,0.01
8,7,0.108,0.062,0.0,0.0,0.0,0.0,0.998,0.0,0.286,0.097
8,8,0.009,0.004,0.0,0.0,0.0,0.0,0.0,1.0,0.15,0.019
8,9,0.0,0.0,0.004,0.016,0.362,0.008,0.012,0.074,0.998,0.0
8,10,0.008,0.0,0.015,0.046,0.442,0.021,0.002,0.04,0.0,0.997
