Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
1,0.538,0.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.903,0.458,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0
3,0.563,0.973,0.002,0.048,0.16,0.007,0.004,0.06,0.0,0.0
4,0.734,0.93,0.115,0.162,0.143,0.183,0.269,0.257,0.039,0.003
5,0.725,0.928,0.15,0.186,0.209,0.26,0.469,0.299,0.08,0.055
6,0.734,0.932,0.034,0.061,0.263,0.315,0.474,0.362,0.139,0.078
7,0.712,0.946,0.143,0.185,0.283,0.302,0.467,0.417,0.152,0.053
8,0.834,0.87,0.129,0.21,0.333,0.293,0.528,0.458,0.189,0.217
9,0.836,0.916,0.258,0.148,0.232,0.331,0.494,0.504,0.184,0.123
10,0.787,0.885,0.17,0.23,0.355,0.359,0.629,0.53,0.213,0.36
11,0.806,0.898,0.271,0.153,0.318,0.417,0.534,0.606,0.304,0.24
12,0.841,0.9,0.299,0.218,0.38,0.344,0.604,0.505,0.299,0.27
13,0.829,0.926,0.216,0.229,0.366,0.318,0.634,0.566,0.26,0.27
14,0.862,0.874,0.245,0.306,0.479,0.449,0.597,0.525,0.264,0.368
15,0.844,0.87,0.181,0.374,0.474,0.385,0.61,0.6,0.337,0.417
16,0.842,0.882,0.274,0.23,0.399,0.525,0.535,0.561,0.464,0.317
17,0.834,0.914,0.275,0.346,0.433,0.351,0.629,0.601,0.385,0.438
18,0.848,0.91,0.28,0.26,0.46,0.515,0.643,0.453,0.423,0.289
19,0.862,0.902,0.293,0.243,0.325,0.509,0.635,0.608,0.326,0.428
20,0.849,0.907,0.279,0.375,0.466,0.447,0.571,0.54,0.421,0.399
21,0.832,0.91,0.358,0.334,0.532,0.444,0.68,0.505,0.398,0.386
22,0.876,0.873,0.307,0.424,0.423,0.468,0.659,0.491,0.368,0.38
23,0.814,0.893,0.356,0.316,0.545,0.369,0.684,0.556,0.569,0.418
24,0.869,0.881,0.373,0.374,0.422,0.428,0.632,0.589,0.481,0.358
25,0.845,0.852,0.374,0.382,0.468,0.466,0.639,0.58,0.501,0.464
26,0.838,0.887,0.353,0.24,0.492,0.391,0.738,0.597,0.53,0.468
27,0.857,0.888,0.391,0.338,0.423,0.431,0.726,0.553,0.453,0.435
28,0.853,0.897,0.38,0.374,0.498,0.356,0.707,0.558,0.491,0.397
29,0.883,0.899,0.321,0.431,0.45,0.374,0.698,0.53,0.46,0.43
30,0.858,0.909,0.394,0.289,0.441,0.476,0.593,0.657,0.422,0.375
31,0.859,0.902,0.386,0.388,0.461,0.42,0.635,0.563,0.508,0.434
32,0.877,0.874,0.268,0.367,0.502,0.509,0.623,0.495,0.546,0.431
33,0.842,0.891,0.394,0.382,0.466,0.403,0.64,0.604,0.541,0.465
34,0.851,0.898,0.361,0.308,0.407,0.45,0.709,0.604,0.498,0.483
35,0.855,0.901,0.412,0.334,0.423,0.459,0.667,0.564,0.525,0.344
36,0.878,0.894,0.34,0.291,0.497,0.503,0.6,0.577,0.495,0.422
37,0.862,0.908,0.314,0.269,0.479,0.532,0.569,0.555,0.507,0.409
38,0.856,0.895,0.333,0.289,0.491,0.435,0.652,0.581,0.56,0.444
39,0.852,0.908,0.341,0.34,0.46,0.449,0.691,0.555,0.504,0.428
40,0.865,0.892,0.361,0.301,0.469,0.53,0.65,0.532,0.561,0.425
41,0.842,0.887,0.355,0.327,0.457,0.483,0.586,0.616,0.601,0.41
42,0.855,0.88,0.346,0.323,0.424,0.437,0.737,0.584,0.593,0.487
43,0.87,0.875,0.322,0.26,0.568,0.499,0.623,0.61,0.487,0.463
44,0.825,0.886,0.317,0.315,0.49,0.52,0.685,0.591,0.613,0.402
45,0.867,0.856,0.348,0.274,0.497,0.453,0.707,0.592,0.547,0.523
46,0.872,0.892,0.362,0.284,0.422,0.491,0.667,0.625,0.487,0.478
47,0.872,0.887,0.372,0.292,0.509,0.453,0.649,0.55,0.503,0.44
48,0.853,0.892,0.336,0.343,0.466,0.428,0.632,0.582,0.512,0.448
49,0.83,0.88,0.41,0.32,0.415,0.445,0.747,0.539,0.52,0.472
50,0.869,0.883,0.32,0.298,0.485,0.489,0.642,0.605,0.52,0.483
51,0.855,0.87,0.351,0.358,0.478,0.455,0.653,0.593,0.525,0.485
52,0.856,0.884,0.387,0.318,0.465,0.39,0.702,0.58,0.544,0.404
53,0.87,0.887,0.361,0.392,0.407,0.481,0.648,0.551,0.395,0.464
54,0.875,0.892,0.309,0.371,0.383,0.397,0.625,0.595,0.524,0.405
55,0.872,0.892,0.345,0.34,0.384,0.495,0.645,0.573,0.53,0.464
56,0.862,0.886,0.35,0.343,0.399,0.487,0.619,0.576,0.543,0.396
57,0.869,0.895,0.308,0.315,0.418,0.513,0.68,0.503,0.565,0.389
58,0.855,0.9,0.353,0.376,0.396,0.401,0.586,0.566,0.571,0.44
59,0.854,0.891,0.251,0.33,0.391,0.474,0.675,0.608,0.602,0.446
60,0.879,0.917,0.344,0.32,0.394,0.471,0.576,0.514,0.566,0.302
61,0.871,0.896,0.355,0.279,0.428,0.535,0.647,0.528,0.526,0.428
62,0.892,0.89,0.345,0.307,0.316,0.496,0.667,0.541,0.56,0.389
63,0.874,0.905,0.322,0.336,0.388,0.486,0.691,0.553,0.44,0.449
64,0.836,0.905,0.368,0.361,0.378,0.453,0.63,0.54,0.525,0.44
65,0.863,0.912,0.362,0.402,0.414,0.43,0.624,0.607,0.487,0.404
66,0.873,0.903,0.355,0.379,0.415,0.483,0.596,0.555,0.486,0.412
67,0.854,0.882,0.319,0.37,0.476,0.475,0.659,0.569,0.485,0.452
68,0.875,0.909,0.26,0.38,0.455,0.442,0.621,0.557,0.463,0.429
69,0.887,0.92,0.37,0.225,0.409,0.564,0.617,0.528,0.429,0.384
70,0.875,0.888,0.345,0.27,0.495,0.464,0.595,0.612,0.537,0.424
