Round,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
1,0.341,0.052,0.927,0.0,0.0,0.007,0.0,0.0,0.0,0.0
2,0.787,0.087,0.556,0.011,0.2,0.203,0.0,0.02,0.083,0.086
3,0.606,0.325,0.235,0.187,0.537,0.091,0.0,0.126,0.427,0.33
4,0.747,0.426,0.372,0.142,0.489,0.139,0.078,0.317,0.226,0.293
5,0.688,0.537,0.261,0.17,0.624,0.141,0.069,0.324,0.32,0.379
6,0.649,0.619,0.351,0.177,0.516,0.239,0.125,0.393,0.383,0.333
7,0.698,0.632,0.387,0.191,0.477,0.252,0.14,0.387,0.399,0.39
8,0.717,0.694,0.372,0.216,0.495,0.284,0.229,0.425,0.392,0.397
9,0.709,0.751,0.453,0.263,0.449,0.303,0.263,0.427,0.372,0.394
10,0.702,0.739,0.315,0.293,0.556,0.346,0.358,0.465,0.4,0.45
11,0.736,0.796,0.432,0.346,0.42,0.348,0.355,0.465,0.399,0.457
12,0.711,0.787,0.483,0.378,0.406,0.319,0.455,0.545,0.325,0.505
13,0.757,0.793,0.461,0.341,0.476,0.411,0.46,0.508,0.37,0.464
14,0.763,0.811,0.471,0.399,0.4,0.425,0.436,0.547,0.404,0.468
15,0.762,0.822,0.501,0.393,0.424,0.372,0.489,0.538,0.405,0.433
16,0.768,0.811,0.494,0.374,0.458,0.363,0.573,0.575,0.415,0.457
17,0.766,0.836,0.515,0.353,0.455,0.379,0.563,0.579,0.461,0.424
18,0.785,0.827,0.494,0.426,0.493,0.352,0.48,0.567,0.497,0.426
19,0.774,0.84,0.507,0.394,0.474,0.366,0.578,0.566,0.519,0.462
20,0.786,0.835,0.482,0.434,0.508,0.371,0.57,0.574,0.52,0.471
21,0.782,0.834,0.544,0.415,0.445,0.351,0.584,0.605,0.537,0.489
22,0.765,0.831,0.511,0.432,0.528,0.39,0.582,0.604,0.562,0.533
23,0.804,0.855,0.488,0.422,0.56,0.377,0.558,0.598,0.518,0.493
24,0.785,0.836,0.464,0.425,0.61,0.38,0.573,0.585,0.593,0.526
25,0.81,0.839,0.522,0.444,0.52,0.401,0.543,0.593,0.596,0.529
26,0.818,0.845,0.534,0.456,0.576,0.386,0.588,0.561,0.574,0.486
27,0.826,0.837,0.575,0.387,0.574,0.405,0.568,0.574,0.586,0.538
28,0.807,0.849,0.58,0.402,0.563,0.413,0.585,0.565,0.62,0.535
29,0.847,0.798,0.537,0.462,0.602,0.379,0.543,0.608,0.55,0.54
30,0.819,0.813,0.565,0.486,0.56,0.374,0.56,0.609,0.61,0.548
31,0.827,0.836,0.592,0.415,0.569,0.38,0.55,0.579,0.627,0.507
32,0.838,0.83,0.581,0.403,0.601,0.395,0.575,0.623,0.557,0.535
33,0.793,0.857,0.601,0.406,0.577,0.383,0.592,0.658,0.608,0.522
34,0.827,0.845,0.611,0.414,0.592,0.371,0.543,0.627,0.593,0.502
35,0.818,0.86,0.583,0.447,0.581,0.386,0.633,0.634,0.593,0.45
36,0.82,0.825,0.591,0.44,0.62,0.399,0.635,0.598,0.562,0.551
37,0.846,0.839,0.597,0.404,0.619,0.357,0.594,0.666,0.591,0.471
38,0.812,0.849,0.558,0.449,0.627,0.39,0.642,0.616,0.622,0.511
39,0.815,0.842,0.569,0.448,0.636,0.406,0.623,0.61,0.619,0.455
40,0.829,0.829,0.567,0.424,0.643,0.395,0.633,0.611,0.598,0.515
41,0.808,0.83,0.568,0.438,0.643,0.422,0.626,0.652,0.609,0.525
42,0.764,0.835,0.597,0.456,0.634,0.376,0.7,0.611,0.616,0.502
43,0.76,0.82,0.599,0.417,0.668,0.413,0.633,0.63,0.613,0.525
44,0.736,0.828,0.577,0.441,0.658,0.384,0.723,0.63,0.62,0.53
45,0.757,0.818,0.569,0.428,0.693,0.411,0.682,0.589,0.63,0.503
46,0.748,0.818,0.56,0.452,0.681,0.446,0.653,0.586,0.597,0.54
47,0.759,0.83,0.567,0.436,0.658,0.42,0.672,0.57,0.652,0.53
48,0.714,0.807,0.585,0.444,0.654,0.462,0.655,0.562,0.698,0.565
49,0.745,0.831,0.565,0.422,0.652,0.46,0.646,0.582,0.668,0.548
50,0.719,0.822,0.534,0.458,0.668,0.451,0.672,0.59,0.624,0.584
51,0.733,0.803,0.578,0.426,0.655,0.434,0.672,0.597,0.69,0.545
52,0.737,0.81,0.555,0.405,0.689,0.435,0.646,0.636,0.656,0.573
53,0.712,0.822,0.584,0.413,0.694,0.435,0.662,0.624,0.595,0.55
54,0.701,0.816,0.608,0.407,0.709,0.423,0.637,0.567,0.686,0.51
55,0.703,0.782,0.576,0.441,0.685,0.425,0.669,0.596,0.672,0.563
56,0.674,0.794,0.558,0.494,0.666,0.43,0.673,0.59,0.692,0.587
57,0.643,0.788,0.603,0.463,0.668,0.414,0.698,0.574,0.659,0.519
58,0.659,0.808,0.586,0.461,0.676,0.419,0.669,0.583,0.681,0.482
59,0.605,0.797,0.6,0.466,0.699,0.417,0.646,0.573,0.67,0.488
60,0.638,0.798,0.574,0.441,0.73,0.412,0.673,0.588,0.65,0.552
61,0.614,0.81,0.583,0.431,0.713,0.392,0.683,0.597,0.643,0.512
62,0.631,0.798,0.592,0.423,0.715,0.389,0.667,0.592,0.639,0.527
63,0.694,0.811,0.583,0.432,0.714,0.412,0.656,0.597,0.661,0.563
64,0.637,0.802,0.602,0.463,0.696,0.431,0.649,0.563,0.659,0.526
65,0.644,0.805,0.593,0.47,0.717,0.419,0.629,0.568,0.691,0.532
66,0.595,0.796,0.601,0.427,0.709,0.451,0.621,0.559,0.694,0.546
67,0.631,0.819,0.569,0.461,0.707,0.458,0.646,0.573,0.666,0.552
68,0.618,0.806,0.568,0.458,0.718,0.435,0.644,0.573,0.666,0.547
69,0.666,0.825,0.592,0.463,0.689,0.447,0.597,0.582,0.673,0.51
70,0.643,0.827,0.566,0.419,0.722,0.446,0.669,0.566,0.677,0.489
71,0.616,0.795,0.575,0.423,0.717,0.435,0.66,0.58,0.675,0.514
72,0.629,0.835,0.568,0.431,0.699,0.466,0.649,0.591,0.648,0.518
73,0.663,0.826,0.56,0.446,0.709,0.433,0.678,0.564,0.638,0.52
74,0.667,0.804,0.543,0.447,0.717,0.419,0.719,0.526,0.647,0.486
75,0.607,0.816,0.575,0.437,0.695,0.43,0.676,0.596,0.668,0.521
76,0.621,0.807,0.575,0.427,0.734,0.412,0.693,0.538,0.649,0.527
77,0.629,0.819,0.616,0.433,0.704,0.428,0.641,0.562,0.682,0.478
78,0.703,0.818,0.586,0.439,0.692,0.433,0.605,0.57,0.671,0.499
79,0.669,0.803,0.592,0.453,0.682,0.419,0.682,0.544,0.711,0.508
80,0.644,0.791,0.569,0.428,0.691,0.454,0.665,0.574,0.638,0.531
81,0.698,0.815,0.588,0.428,0.673,0.431,0.671,0.58,0.658,0.499
82,0.668,0.833,0.562,0.41,0.73,0.414,0.654,0.57,0.658,0.453
83,0.649,0.825,0.542,0.411,0.705,0.452,0.72,0.558,0.648,0.535
84,0.658,0.83,0.562,0.424,0.689,0.44,0.696,0.564,0.633,0.52
85,0.656,0.842,0.506,0.442,0.714,0.46,0.672,0.575,0.651,0.486
86,0.721,0.837,0.522,0.449,0.714,0.448,0.652,0.548,0.665,0.511
87,0.67,0.839,0.556,0.453,0.687,0.436,0.643,0.591,0.675,0.469
88,0.719,0.862,0.514,0.443,0.673,0.489,0.634,0.59,0.682,0.503
89,0.722,0.808,0.527,0.429,0.707,0.453,0.691,0.558,0.708,0.518
90,0.684,0.827,0.562,0.445,0.657,0.47,0.678,0.557,0.696,0.536
91,0.674,0.854,0.55,0.47,0.663,0.446,0.675,0.56,0.671,0.5
92,0.648,0.836,0.544,0.429,0.682,0.449,0.732,0.539,0.681,0.502
93,0.679,0.847,0.539,0.46,0.655,0.461,0.697,0.498,0.676,0.479
94,0.68,0.831,0.541,0.447,0.699,0.452,0.683,0.516,0.67,0.494
95,0.707,0.815,0.568,0.428,0.689,0.431,0.719,0.522,0.674,0.508
96,0.656,0.842,0.565,0.404,0.707,0.466,0.72,0.544,0.683,0.467
97,0.698,0.836,0.544,0.452,0.669,0.45,0.72,0.533,0.682,0.511
98,0.687,0.816,0.553,0.439,0.685,0.457,0.73,0.552,0.652,0.509
99,0.685,0.815,0.553,0.416,0.701,0.434,0.712,0.561,0.653,0.548
100,0.707,0.827,0.562,0.453,0.669,0.452,0.66,0.562,0.663,0.551
