Round,Subset 1,Subset 2,Subset 3,Subset 4,Subset 5,Subset 6,Subset 7,Subset 8,Subset 9,Subset 10,Average Test Acc,Aggregated Test Acc
1,0.6179,0.6052,0.5259,0.5251,0.5269,0.5364,0.5197,0.4836,0.5262,0.5267,0.53936,0.5573
2,0.7023,0.6816,0.5789,0.5693,0.5769,0.5821,0.5610,0.5527,0.5661,0.5722,0.60421,0.6377
3,0.7301,0.7311,0.5882,0.5780,0.5964,0.6052,0.5947,0.5838,0.5830,0.5964,0.61869,0.6682
4,0.7392,0.7533,0.5870,0.6028,0.5939,0.6145,0.5980,0.5850,0.5922,0.5965,0.62674,0.6803
5,0.7499,0.7565,0.6108,0.5904,0.6144,0.6065,0.6179,0.6107,0.6017,0.6131,0.64719,0.6927
6,0.7540,0.7535,0.6110,0.6220,0.6139,0.6252,0.6135,0.6178,0.6169,0.6103,0.63381,0.6875
7,0.7548,0.7712,0.6208,0.6310,0.6119,0.6347,0.5980,0.6222,0.6323,0.6234,0.63003,0.6926
8,0.7595,0.7569,0.6196,0.6265,0.6229,0.6423,0.6340,0.6242,0.6232,0.6184,0.65275,0.6989
9,0.7558,0.7588,0.6044,0.6257,0.6389,0.6333,0.6254,0.6190,0.6350,0.6288,0.63651,0.6842
10,0.7584,0.7590,0.6299,0.6352,0.6235,0.6421,0.6406,0.6363,0.6344,0.6256,0.63450,0.6833
11,0.7644,0.7564,0.6362,0.6397,0.6188,0.6308,0.6375,0.6364,0.6408,0.6195,0.63705,0.6811
12,0.7652,0.7634,0.6409,0.6292,0.6402,0.6400,0.6427,0.6381,0.6386,0.6330,0.63913,0.6843
13,0.7470,0.7572,0.6292,0.6349,0.6408,0.6479,0.6347,0.6302,0.6441,0.6199,0.64059,0.6768
14,0.7589,0.7505,0.6364,0.6273,0.6377,0.6251,0.6413,0.6371,0.6470,0.6374,0.64416,0.6793
15,0.7537,0.7592,0.6367,0.6376,0.6436,0.6399,0.6363,0.6435,0.6410,0.6338,0.64253,0.6766
16,0.7557,0.7468,0.6384,0.6307,0.6343,0.6483,0.6388,0.6445,0.6405,0.6372,0.63152,0.6828
17,0.7515,0.7546,0.6403,0.6438,0.6373,0.6419,0.6517,0.6413,0.6379,0.6429,0.64631,0.6821
18,0.7586,0.7576,0.6414,0.6293,0.6489,0.6439,0.6401,0.6470,0.6397,0.6462,0.64127,0.6864
19,0.7535,0.7372,0.6503,0.6346,0.6464,0.6407,0.6362,0.6412,0.6461,0.6412,0.65237,0.6846
20,0.7555,0.7520,0.6413,0.6419,0.6410,0.6534,0.6466,0.6491,0.6502,0.6374,0.64811,0.6795
